  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
24 Moritz Wagner ORL 26 66 39 27 18.1 113.2 111.8 1.5 10.6 0.98 11.2 8.6 16.9 12.8 11.5 62.8 67.0 21.8 99.38 13.6 2477
24 Nikola Jokic DEN 29 66 46 20 34.3 121.9 111.2 10.7 39.9 3.08 28.4 8.9 26.8 18.2 9.2 60.9 64.9 28.7 98.15 21.1 4642
24 Paolo Banchero ORL 21 66 39 27 34.9 112.2 112.3 -0.1 24.9 1.71 18.2 3.1 17.2 10.0 10.6 50.7 55.3 29.1 98.38 13.6 4725
24 Pascal Siakam IND 29 66 29 37 33.9 116.8 115.8 1.0 19.9 2.50 19.0 4.7 15.1 9.9 7.6 56.8 60.2 24.5 100.69 13.0 4691
24 Peyton Watson DEN 21 66 46 20 18.4 110.6 111.2 -0.6 7.7 1.40 12.7 3.4 11.4 7.6 9.1 52.5 54.8 16.3 98.98 7.5 2483
24 Sam Hauser BOS 26 66 53 13 21.2 120.6 107.1 13.5 5.8 2.18 11.9 2.5 12.1 7.4 5.4 64.6 65.2 13.7 98.72 8.6 2867
24 Shai Gilgeous-Alexander OKC 25 66 47 19 34.5 121.7 110.5 11.2 29.2 2.93 19.7 2.6 13.1 8.1 6.7 57.7 64.4 31.8 102.28 19.1 4846
24 Simone Fontecchio DET 28 66 29 37 24.9 113.0 114.5 -1.5 8.4 1.49 13.6 3.7 10.7 7.1 9.1 58.2 60.0 15.9 102.49 7.7 3521
24 Tyus Jones WAS 27 66 11 55 29.3 110.6 122.5 -11.9 33.1 7.35 39.3 1.0 8.1 4.5 5.4 56.9 57.8 16.1 104.37 11.1 4204
44 Brook Lopez MIL 35 65 43 22 31.0 118.2 111.2 7.0 7.2 1.83 13.0 4.8 11.3 8.2 7.1 57.3 59.8 15.3 102.94 8.4 4323
44 Jonathan Kuminga GSW 21 65 34 31 26.1 114.8 112.1 2.7 11.8 1.26 12.1 4.8 12.6 8.7 9.6 56.1 60.0 23.9 102.36 11.0 3628
44 Kyle Kuzma WAS 28 65 11 54 32.2 109.9 121.6 -11.7 20.1 1.55 15.4 2.8 16.6 9.7 9.9 52.4 55.2 29.8 103.75 11.5 4513
44 Luguentz Dort OKC 24 65 45 20 28.6 120.3 112.1 8.3 5.9 1.61 12.3 3.8 8.8 6.4 7.7 57.1 60.3 14.7 102.04 6.0 3935
44 Malik Beasley MIL 27 65 41 24 29.7 119.3 111.5 7.8 6.2 2.04 12.7 2.0 9.9 6.1 6.2 62.0 62.2 14.0 102.93 6.9 4138
44 Malik Monk SAC 26 65 38 27 26.2 116.1 115.7 0.4 29.4 2.53 25.3 1.5 10.0 5.6 10.0 53.8 57.3 24.7 102.09 11.2 3630
44 Norman Powell LAC 30 65 41 24 26.0 117.9 113.3 4.6 6.0 1.19 8.3 0.8 8.9 5.0 7.0 59.8 62.9 19.5 100.54 8.8 3532
44 Royce O'Neale PHX 30 65 28 37 25.4 113.3 111.8 1.5 15.4 3.10 26.6 2.9 15.0 8.9 8.6 52.8 53.5 13.3 100.98 7.7 3478
44 Taurean Prince LAL 29 65 34 31 28.3 113.7 117.7 -4.0 7.4 1.89 15.8 0.9 9.1 5.1 8.3 56.3 57.5 13.0 102.13 5.4 3915
44 Tim Hardaway Jr. DAL 32 65 38 27 27.9 116.7 116.8 -0.1 8.8 1.82 10.2 1.1 10.7 5.9 5.6 51.7 55.1 22.5 102.19 8.6 3877
54 Aaron Holiday HOU 27 64 31 33 16.3 108.9 107.1 1.8 15.6 2.43 21.9 1.4 8.0 4.6 9.0 54.7 57.4 15.6 102.28 7.7 2221
54 Aaron Wiggins OKC 25 64 46 18 14.4 114.7 109.8 4.8 8.5 1.39 14.7 5.4 9.8 7.8 10.6 65.5 67.1 15.5 100.79 9.2 1914
54 Anthony Davis LAL 31 64 35 29 35.6 116.1 115.5 0.6 15.5 1.83 14.3 9.0 24.7 17.2 7.8 56.1 61.6 26.0 101.86 16.5 4828
54 Anthony Edwards MIN 22 64 44 20 35.1 116.9 107.7 9.2 23.3 1.61 16.3 1.8 12.9 7.6 10.1 52.8 58.0 31.7 98.31 14.6 4617
54 Bogdan Bogdanovic ATL 31 64 29 35 29.7 117.5 114.4 3.1 14.5 2.23 15.9 2.0 9.2 5.5 7.1 53.1 56.0 21.9 101.88 9.0 4043
54 Cedi Osman SAS 28 64 14 50 17.4 106.4 120.2 -13.8 13.3 2.49 21.0 1.9 12.3 6.9 8.4 58.4 59.5 14.8 104.46 7.7 2428
54 Dejounte Murray ATL 27 64 28 36 35.4 116.9 119.3 -2.5 25.1 2.44 21.0 1.9 12.7 7.0 8.6 53.2 56.3 25.2 101.78 12.1 4807
54 Giannis Antetokounmpo MIL 29 64 41 23 35.0 120.5 113.5 7.0 31.0 1.87 19.3 7.2 23.6 15.7 10.3 63.0 65.6 32.2 102.54 19.8 4777
54 Grant Williams CHA 25 64 31 33 27.5 110.9 114.8 -3.8 9.4 1.32 16.2 3.9 10.5 7.1 12.3 55.0 58.1 15.1 100.37 5.9 3689
54 Jayson Tatum BOS 26 64 51 13 35.7 122.3 109.7 12.7 20.9 1.94 16.6 2.5 19.0 11.2 8.6 55.6 60.7 29.6 99.28 15.6 4723
54 Jevon Carter CHI 28 64 31 33 13.7 109.4 108.3 1.1 12.1 2.26 17.8 0.8 5.2 2.9 7.9 48.9 49.1 16.8 99.16 5.2 1816
54 Jusuf Nurkic PHX 29 64 39 25 27.3 120.8 112.2 8.6 17.9 1.65 23.4 11.4 28.2 20.2 14.2 54.2 57.0 19.2 100.30 12.2 3646
54 Kyle Anderson MIN 30 64 45 19 22.5 109.9 105.3 4.6 26.1 3.41 36.5 3.4 11.9 7.8 10.7 47.8 51.9 13.6 100.66 9.6 3018
54 Myles Turner IND 27 64 36 28 27.4 120.5 116.1 4.4 6.3 0.87 7.8 5.8 19.6 12.8 8.9 58.2 62.4 23.3 102.81 11.4 3753
54 Toumani Camara POR 23 64 19 45 24.5 106.8 111.4 -4.7 6.9 1.00 12.8 7.2 12.4 9.7 12.8 50.1 53.4 13.4 99.33 6.3 3240
69 Alperen Sengun HOU 21 63 29 34 32.5 113.9 113.2 0.8 24.8 1.93 19.4 8.6 19.3 13.9 10.1 55.3 58.5 27.0 99.22 14.9 4236
