IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
1, Buddy Hield , PHI, 31, 77, 39, 38, 26.2, 2.5, 1.1, 2.5, 3.2, 8.9, 7.8, 8.0, 31.0, 0.5, 0.4, 2.1, 0.5
2, Andre Drummond , CHI, 30, 75, 36, 39, 17.0, 1.2, 3.3, 0.3, 6.6, 5.5, 4.9, 4.5, 15.3, 0.6, 0.6, 1.8, 2.3
2, Austin Reaves , LAL, 25, 75, 42, 33, 32.2, 1.9, 0.8, 2.3, 6.2, 11.0, 9.6, 11.0, 34.1, 0.3, 0.6, 1.8, 3.0
2, Christian Braun , DEN, 22, 75, 52, 23, 19.6, 1.3, 0.7, 1.7, 3.7, 6.8, 6.1, 4.8, 19.4, 0.4, 0.6, 1.7, 1.0
2, Collin Sexton , UTA, 25, 75, 29, 46, 26.6, 3.0, 2.1, 3.4, 8.9, 10.6, 7.5, 10.1, 28.3, 0.2, 1.4, 2.0, 3.8
2, Dennis Schroder , BKN, 30, 75, 27, 48, 31.0, 1.8, 1.1, 0.9, 4.7, 9.7, 9.0, 9.2, 33.1, 0.2, 0.8, 2.0, 2.3
2, Georges Niang , CLE, 30, 75, 45, 30, 22.6, 0.9, 0.8, 1.0, 2.9, 8.0, 6.3, 6.7, 21.9, 0.2, 0.2, 2.3, 0.7
2, Mikal Bridges , BKN, 27, 75, 29, 46, 35.5, 2.9, 1.9, 2.7, 7.1, 10.9, 10.3, 11.3, 36.2, 0.4, 0.7, 1.5, 3.3
2, Obi Toppin , IND, 26, 75, 42, 33, 21.3, 1.7, 1.3, 2.0, 5.3, 7.3, 6.2, 6.9, 27.5, 0.5, 0.4, 1.7, 1.1
2, Paul Reed , PHI, 24, 75, 40, 35, 19.3, 1.0, 2.1, 0.3, 5.1, 5.5, 5.6, 6.0, 20.6, 1.0, 0.5, 2.4, 1.2
2, Reggie Jackson , DEN, 33, 75, 52, 23, 22.1, 1.4, 0.5, 0.8, 4.3, 7.8, 6.2, 5.6, 22.2, 0.1, 0.4, 1.8, 1.2
12, Bobby Portis , MIL, 29, 74, 47, 27, 24.2, 1.6, 2.2, 1.0, 6.2, 6.7, 6.9, 6.7, 26.1, 0.4, 0.4, 2.4, 1.3
12, Cason Wallace , OKC, 20, 74, 52, 22, 20.6, 1.2, 0.5, 1.5, 2.5, 6.7, 6.9, 4.8, 21.3, 0.4, 0.2, 1.6, 0.5
12, Chet Holmgren , OKC, 21, 74, 52, 22, 29.9, 2.1, 2.2, 1.4, 8.5, 8.4, 10.2, 7.7, 29.2, 2.4, 0.8, 2.4, 3.0
12, Domantas Sabonis , SAC, 27, 74, 43, 31, 35.8, 2.3, 3.5, 1.4, 14.1, 12.3, 7.7, 8.9, 37.1, 0.6, 1.0, 3.1, 4.5
12, Harrison Barnes , SAC, 31, 74, 43, 31, 29.3, 1.6, 1.3, 1.1, 4.3, 10.0, 6.2, 7.3, 31.1, 0.1, 0.3, 1.2, 2.0
12, Jalen Green , HOU, 22, 74, 38, 36, 31.7, 3.1, 1.2, 3.2, 7.3, 9.4, 9.0, 7.7, 32.4, 0.4, 1.4, 1.4, 3.5
12, Jeremy Sochan , SAS, 20, 74, 18, 56, 29.6, 1.4, 1.6, 1.7, 6.9, 11.9, 8.3, 9.0, 34.6, 0.5, 0.9, 2.3, 1.8
12, Jonas Valanciunas , NOP, 31, 74, 45, 29, 24.0, 1.1, 3.0, 0.3, 7.7, 7.3, 6.2, 7.0, 22.5, 0.9, 0.6, 2.7, 2.4
12, Michael Porter Jr. , DEN, 25, 74, 52, 22, 31.7, 2.6, 2.3, 2.5, 4.8, 9.7, 7.9, 9.3, 33.3, 0.6, 0.4, 1.8, 1.2
12, Nickeil Alexander-Walker , MIN, 25, 74, 51, 23, 23.5, 1.1, 0.8, 0.9, 2.1, 7.4, 6.0, 6.1, 21.9, 0.5, 0.3, 1.8, 1.0
12, Payton Pritchard , BOS, 26, 74, 58, 16, 21.5, 1.0, 1.2, 1.1, 2.2, 5.8, 5.6, 5.6, 21.4, 0.1, 0.2, 1.3, 0.7
23, Ayo Dosunmu , CHI, 24, 73, 36, 37, 28.8, 2.3, 1.0, 3.0, 5.6, 9.1, 8.3, 7.9, 27.4, 0.5, 0.8, 2.2, 1.1
23, Cole Anthony , ORL, 23, 73, 43, 30, 22.9, 1.9, 1.0, 1.2, 4.6, 7.8, 6.0, 6.5, 22.3, 0.5, 0.4, 2.3, 2.1
23, Corey Kispert , WAS, 25, 73, 14, 59, 24.7, 1.8, 0.8, 1.8, 4.6, 9.5, 8.4, 7.7, 29.8, 0.2, 0.6, 1.7, 1.4
23, DeMar DeRozan , CHI, 34, 73, 35, 38, 37.6, 3.1, 1.9, 0.9, 8.3, 11.6, 10.3, 9.8, 34.8, 0.6, 1.0, 2.0, 5.5
23, Donte DiVincenzo , NYK, 27, 73, 44, 29, 28.0, 2.5, 1.9, 2.5, 3.5, 8.8, 7.2, 8.5, 27.3, 0.4, 0.4, 2.1, 1.5
23, Jordan Poole , WAS, 24, 73, 14, 59, 29.7, 2.5, 1.0, 2.7, 6.2, 10.2, 10.4, 9.5, 36.7, 0.3, 1.0, 3.2, 2.7
23, Josh Giddey , OKC, 21, 73, 52, 21, 24.8, 1.7, 1.2, 1.9, 7.0, 7.4, 8.4, 6.7, 25.6, 0.6, 0.8, 1.3, 1.1
23, Josh Hart , NYK, 29, 73, 43, 30, 33.0, 1.5, 1.0, 1.8, 4.7, 9.6, 8.2, 9.0, 31.2, 0.3, 0.7, 2.0, 1.5
23, Naz Reid , MIN, 24, 73, 51, 22, 24.0, 1.9, 1.7, 1.5, 5.6, 7.8, 6.5, 6.4, 22.5, 0.9, 0.7, 2.1, 1.3
23, Pascal Siakam , IND, 29, 73, 33, 40, 33.6, 2.5, 2.8, 3.3, 13.1, 10.3, 9.4, 9.0, 38.1, 0.3, 0.6, 2.3, 4.1
23, Peyton Watson , DEN, 21, 73, 51, 22, 18.2, 1.0, 0.5, 1.5, 3.6, 6.6, 5.7, 4.7, 18.7, 1.0, 0.4, 1.7, 1.0
34, Coby White , CHI, 24, 72, 34, 38, 36.7, 3.2, 1.5, 3.2, 6.8, 11.6, 10.3, 9.8, 34.4, 0.2, 0.8, 2.4, 3.9
34, Kelly Olynyk , TOR, 32, 72, 29, 43, 22.0, 1.1, 1.8, 0.9, 4.9, 9.8, 7.5, 7.8, 24.4, 0.4, 0.3, 2.9, 2.4
34, Luguentz Dort , OKC, 24, 72, 50, 22, 28.5, 1.8, 0.9, 1.5, 2.8, 8.6, 9.2, 7.9, 27.5, 0.6, 0.4, 3.0, 2.1
34, Malik Monk , SAC, 26, 72, 42, 30, 26.0, 2.1, 1.3, 2.4, 5.6, 9.0, 6.4, 6.3, 26.3, 0.5, 0.8, 2.2, 2.3
34, Moritz Wagner , ORL, 26, 72, 42, 30, 17.9, 1.7, 1.8, 0.4, 7.3, 6.2, 4.5, 5.6, 17.8, 0.3, 0.5, 2.0, 2.4
34, Nikola Jokic , DEN, 29, 72, 50, 22, 34.5, 2.7, 3.9, 0.9, 16.6, 10.8, 8.3, 10.2, 36.3, 0.9, 0.8, 2.4, 5.4
34, Ochai Agbaji , TOR, 23, 72, 29, 43, 20.2, 0.8, 0.7, 1.3, 2.7, 8.2, 6.9, 6.6, 22.7, 0.5, 0.5, 1.4, 0.6
34, Paolo Banchero , ORL, 21, 72, 42, 30, 34.8, 3.8, 2.2, 2.9, 9.9, 11.8, 9.0, 10.9, 35.1, 0.6, 1.1, 1.9, 4.7
42, Aaron Holiday , HOU, 27, 71, 37, 34, 16.5, 0.9, 0.7, 0.6, 2.0, 5.1, 4.6, 3.9, 16.1, 0.1, 0.2, 1.5, 0.9
42, Anthony Edwards , MIN, 22, 71, 49, 22, 35.2, 4.2, 1.7, 4.0, 10.8, 11.8, 9.0, 9.3, 33.8, 0.6, 0.8, 1.8, 4.2
42, Bogdan Bogdanovic , ATL, 31, 71, 33, 38, 30.2, 2.6, 1.8, 2.7, 4.6, 9.8, 7.9, 9.8, 31.5, 0.3, 0.7, 2.3, 1.6
42, Brook Lopez , MIL, 36, 71, 46, 25, 30.8, 0.8, 1.5, 0.2, 5.1, 9.7, 8.8, 9.5, 32.9, 2.4, 0.2, 2.5, 1.5
42, Cameron Payne , PHI, 29, 71, 39, 32, 16.4, 0.8, 0.4, 0.6, 2.3, 4.4, 4.9, 4.5, 17.4, 0.1, 0.3, 1.6, 0.8
42, Cedi Osman , SAS, 28, 71, 17, 54, 17.6, 0.9, 0.5, 1.3, 2.5, 6.8, 5.6, 5.6, 19.6, 0.2, 0.2, 1.5, 1.0
42, Dejounte Murray , ATL, 27, 71, 32, 39, 35.7, 3.0, 1.7, 2.6, 9.0, 12.5, 10.6, 12.3, 40.6, 0.3, 0.9, 1.7, 2.5
42, Kyle Anderson , MIN, 30, 71, 50, 21, 22.9, 0.7, 0.7, 0.5, 4.4, 7.8, 6.1, 6.0, 21.2, 0.6, 0.3, 1.5, 1.4
42, Malik Beasley , MIL, 27, 71, 44, 27, 29.9, 2.0, 1.5, 1.6, 1.9, 8.9, 8.3, 9.0, 32.0, 0.1, 0.4, 2.0, 0.5
42, Myles Turner , IND, 28, 71, 40, 31, 27.3, 1.6, 2.4, 1.2, 8.1, 8.4, 7.6, 7.2, 33.2, 1.8, 0.6, 3.1, 3.4
42, Royce O'Neale , PHX, 30, 71, 32, 39, 24.8, 1.4, 0.9, 0.9, 1.4, 9.2, 6.8, 7.7, 23.6, 0.6, 0.2, 2.2, 0.6
42, Sam Hauser , BOS, 26, 71, 56, 15, 21.4, 1.0, 1.2, 1.3, 1.0, 6.0, 5.8, 4.9, 21.2, 0.3, 0.1, 1.3, 0.2
42, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 34.4, 5.1, 1.7, 3.5, 14.5, 9.9, 10.9, 8.6, 33.0, 0.9, 1.0, 2.5, 6.5
42, Taurean Prince , LAL, 30, 71, 39, 32, 27.6, 1.2, 0.3, 1.3, 2.6, 9.5, 8.9, 9.9, 30.1, 0.5, 0.3, 2.0, 0.9
42, Tim Hardaway Jr. , DAL, 32, 71, 44, 27, 27.5, 2.1, 1.7, 2.3, 2.8, 8.3, 8.9, 8.7, 30.1, 0.1, 0.4, 1.4, 2.1
57, Aaron Wiggins , OKC, 25, 70, 50, 20, 14.8, 1.1, 1.1, 0.9, 3.3, 4.2, 5.2, 3.3, 14.8, 0.2, 0.3, 1.1, 0.7
57, Anthony Davis , LAL, 31, 70, 40, 30, 35.9, 3.4, 4.5, 1.8, 15.8, 12.0, 10.8, 11.8, 36.9, 2.4, 1.1, 2.3, 5.3
57, Grant Williams , CHA, 25, 70, 32, 38, 27.5, 1.4, 1.4, 1.0, 3.3, 9.1, 8.0, 8.9, 30.9, 0.5, 0.4, 2.9, 2.1
57, Isaiah Joe , OKC, 24, 70, 49, 21, 18.4, 1.5, 0.8, 1.2, 1.2, 6.3, 5.5, 4.3, 16.6, 0.3, 0.2, 1.1, 1.2
57, Jarrett Allen , CLE, 25, 70, 43, 27, 31.6, 1.8, 3.0, 1.1, 12.6, 11.3, 8.5, 9.1, 30.9, 1.1, 0.9, 2.0, 4.4
57, Jeff Green , HOU, 37, 70, 36, 34, 16.6, 0.8, 0.6, 0.5, 2.5, 4.9, 4.6, 4.0, 17.3, 0.4, 0.2, 1.3, 1.4
57, Jonathan Kuminga , GSW, 21, 70, 36, 34, 26.3, 2.3, 1.7, 2.7, 10.2, 8.8, 7.3, 8.1, 27.6, 0.5, 1.0, 2.3, 3.0
57, Klay Thompson , GSW, 34, 70, 36, 34, 29.6, 2.3, 2.1, 2.1, 2.9, 10.4, 8.3, 9.2, 32.3, 0.4, 0.3, 1.7, 1.2
57, Malaki Branham , SAS, 20, 70, 16, 54, 20.4, 1.5, 0.7, 1.0, 3.9, 8.1, 6.3, 6.3, 23.7, 0.1, 0.5, 1.2, 0.8
57, Nikola Vucevic , CHI, 33, 70, 34, 36, 34.2, 2.0, 2.6, 0.3, 10.3, 10.9, 9.6, 9.3, 32.1, 0.8, 0.6, 2.5, 1.9
57, Norman Powell , LAC, 30, 70, 44, 26, 26.1, 2.1, 1.4, 1.8, 4.7, 8.7, 7.8, 8.2, 27.1, 0.3, 0.5, 1.8, 2.0
57, Toumani Camara , POR, 23, 70, 19, 51, 24.8, 1.2, 2.2, 1.2, 3.9, 9.8, 7.1, 8.8, 26.5, 0.5, 0.4, 2.5, 1.6
57, Tre Jones , SAS, 24, 70, 17, 53, 27.2, 1.5, 0.9, 1.7, 5.6, 10.4, 7.9, 7.4, 30.4, 0.1, 0.4, 1.2, 1.8
70, D'Angelo Russell , LAL, 28, 69, 41, 28, 32.4, 2.4, 1.0, 2.6, 5.7, 10.0, 10.6, 10.6, 35.7, 0.5, 0.5, 2.1, 2.3
70, Derrick Jones Jr. , DAL, 27, 69, 42, 27, 23.3, 1.4, 1.0, 1.4, 4.1, 7.6, 6.8, 7.9, 25.4, 0.6, 0.3, 1.6, 1.6
70, Giannis Antetokounmpo , MIL, 29, 69, 44, 25, 35.2, 3.9, 3.6, 5.6, 20.3, 10.7, 9.5, 9.1, 37.0, 1.0, 1.2, 2.9, 8.4
70, Jaden Ivey , DET, 22, 69, 13, 56, 28.6, 1.9, 1.3, 3.2, 6.7, 11.8, 8.0, 8.4, 32.8, 0.6, 1.1, 2.8, 3.0
70, Jalen Brunson , NYK, 27, 69, 43, 26, 35.1, 3.5, 2.1, 2.5, 11.1, 10.2, 9.1, 10.9, 34.9, 0.2, 0.8, 1.9, 6.0
70, Jayson Tatum , BOS, 26, 69, 54, 15, 35.9, 4.2, 2.1, 3.1, 9.6, 9.7, 10.3, 9.4, 35.9, 0.6, 0.9, 2.0, 4.7
70, Jusuf Nurkic , PHX, 29, 69, 42, 27, 27.1, 1.3, 2.3, 0.2, 8.0, 10.0, 6.7, 8.1, 28.3, 1.0, 0.8, 3.3, 3.0
70, Keegan Murray , SAC, 23, 69, 40, 29, 33.3, 2.5, 2.2, 2.4, 5.4, 11.4, 7.1, 7.7, 34.0, 0.7, 0.5, 2.7, 1.3
70, Kentavious Caldwell-Pope , DEN, 31, 69, 49, 20, 31.8, 1.7, 0.7, 2.0, 2.3, 10.0, 8.4, 9.2, 33.7, 0.5, 0.2, 2.0, 1.4
70, Kyle Kuzma , WAS, 28, 69, 13, 56, 32.5, 3.5, 1.4, 3.9, 11.4, 10.8, 11.7, 10.4, 41.5, 0.7, 0.8, 2.2, 2.8
70, Mike Conley , MIN, 36, 69, 49, 20, 28.9, 1.4, 0.7, 1.4, 2.7, 10.1, 8.0, 7.8, 28.1, 0.2, 0.2, 1.7, 1.5
70, Spencer Dinwiddie , LAL, 30, 69, 33, 36, 28.9, 0.7, 0.8, 1.0, 3.3, 8.4, 8.6, 8.8, 30.2, 0.3, 0.3, 1.9, 1.9
82, Aaron Gordon , DEN, 28, 68, 46, 22, 31.5, 1.5, 2.5, 1.7, 9.6, 10.4, 8.0, 9.1, 34.3, 0.6, 0.8, 1.9, 3.0
82, Damian Lillard , MIL, 33, 68, 46, 22, 35.3, 2.6, 1.5, 1.9, 6.9, 10.9, 9.8, 10.8, 38.6, 0.2, 1.2, 1.8, 4.8
82, Deni Avdija , WAS, 23, 68, 13, 55, 29.6, 1.8, 1.3, 2.6, 7.8, 11.0, 10.0, 9.4, 36.7, 0.4, 1.0, 2.5, 3.2
82, Derrick White , BOS, 29, 68, 55, 13, 32.7, 1.8, 1.6, 1.9, 4.9, 8.6, 9.4, 8.6, 32.5, 1.2, 0.4, 2.1, 2.2
82, Devin Vassell , SAS, 23, 68, 17, 51, 33.1, 2.2, 1.2, 3.0, 6.7, 13.5, 9.7, 10.1, 39.5, 0.3, 0.5, 1.1, 2.2
82, Drew Eubanks , PHX, 27, 68, 37, 31, 15.7, 0.4, 1.0, 0.1, 4.1, 5.8, 5.1, 5.2, 15.1, 0.9, 0.3, 1.5, 1.2
82, Grayson Allen , PHX, 28, 68, 40, 28, 33.6, 1.6, 1.4, 1.8, 3.5, 12.8, 10.0, 9.9, 35.9, 0.6, 0.3, 2.1, 1.8
82, Herbert Jones , NOP, 25, 68, 42, 26, 30.0, 2.3, 1.4, 2.4, 4.5, 9.3, 7.7, 8.0, 28.3, 0.9, 0.5, 2.9, 1.8
82, Isaiah Hartenstein , NYK, 25, 68, 42, 26, 25.0, 0.9, 2.2, 0.4, 5.9, 7.0, 6.1, 7.4, 24.1, 1.1, 0.4, 2.8, 1.8
82, Jabari Smith Jr. , HOU, 20, 68, 36, 32, 31.7, 1.6, 2.3, 1.8, 4.8, 9.3, 9.1, 7.3, 31.6, 0.8, 0.8, 2.7, 1.8
82, John Collins , UTA, 26, 68, 27, 41, 28.0, 1.8, 2.9, 1.5, 8.6, 10.6, 7.8, 11.3, 31.0, 0.9, 1.1, 2.8, 2.4
82, Kawhi Leonard , LAC, 32, 68, 44, 24, 34.3, 3.8, 2.4, 2.9, 10.6, 10.0, 9.5, 9.3, 33.4, 0.9, 0.4, 1.4, 4.2
82, Keldon Johnson , SAS, 24, 68, 17, 51, 29.6, 2.1, 2.1, 2.2, 7.2, 10.6, 9.2, 8.9, 33.5, 0.3, 0.8, 2.1, 2.4
82, Keyonte George , UTA, 20, 68, 25, 43, 26.8, 1.7, 0.8, 1.6, 3.5, 10.8, 7.9, 11.3, 29.6, 0.1, 0.7, 1.2, 2.7
82, Pat Connaughton , MIL, 31, 68, 43, 25, 21.7, 0.9, 0.4, 0.4, 1.7, 6.4, 6.2, 6.3, 22.9, 0.2, 0.1, 1.2, 0.8
82, Patrick Beverley , MIL, 35, 68, 41, 27, 19.6, 0.8, 0.7, 0.4, 2.5, 5.8, 6.0, 5.3, 18.6, 0.4, 0.2, 1.8, 1.3
82, Paul George , LAC, 33, 68, 44, 24, 34.2, 3.2, 1.6, 2.4, 5.8, 10.1, 9.4, 9.5, 33.4, 0.5, 0.8, 2.8, 3.0
82, Rudy Gobert , MIN, 31, 68, 48, 20, 34.1, 2.0, 4.2, 0.7, 10.5, 11.8, 8.7, 9.0, 30.9, 2.1, 0.8, 3.1, 5.1
