PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
1, Joel Embiid , PHI, 30, 34, 26, 8, 34.0, 35.3, 11.8, 22.2, 53.3, 1.2, 3.3, 36.6, 10.5, 11.9, 88.3, 2.6, 8.7, 11.3, 5.7, 3.7, 1.1, 1.8, 2.9, 62.4, 27.0, 2.0, 6.9
2, Luka Doncic , DAL, 25, 65, 42, 23, 37.4, 34.0, 11.6, 23.6, 48.9, 4.0, 10.4, 38.0, 6.9, 8.9, 78.2, 0.8, 8.3, 9.1, 9.8, 4.0, 1.5, 0.5, 2.1, 61.7, 45.0, 19.0, 3.7
3, Giannis Antetokounmpo , MIL, 29, 69, 44, 25, 35.2, 30.8, 11.5, 18.8, 61.4, 0.5, 1.7, 28.6, 7.2, 11.0, 65.9, 2.7, 8.8, 11.5, 6.4, 3.4, 1.2, 1.0, 2.9, 57.5, 55.0, 9.0, 4.7
4, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 34.4, 30.3, 10.7, 19.9, 53.9, 1.3, 3.5, 36.5, 7.5, 8.6, 87.2, 0.9, 4.7, 5.5, 6.3, 2.2, 2.1, 0.9, 2.5, 53.1, 8.0, 0.0, 7.6
5, Jalen Brunson , NYK, 27, 69, 43, 26, 35.1, 27.9, 10.0, 21.0, 47.8, 2.7, 6.8, 40.0, 5.1, 6.1, 84.0, 0.6, 3.0, 3.6, 6.5, 2.4, 0.9, 0.2, 1.9, 42.9, 5.0, 0.0, 6.4
6, Kevin Durant , PHX, 35, 67, 38, 29, 37.1, 27.6, 10.1, 19.1, 53.0, 2.2, 5.3, 42.5, 5.1, 5.9, 85.4, 0.5, 6.2, 6.7, 5.2, 3.3, 0.9, 1.3, 1.7, 46.7, 14.0, 1.0, 3.5
7, Jayson Tatum , BOS, 26, 69, 54, 15, 35.9, 27.3, 9.2, 19.5, 47.4, 3.1, 8.3, 37.9, 5.7, 6.8, 83.2, 0.9, 7.3, 8.2, 4.9, 2.6, 1.0, 0.6, 2.0, 46.7, 24.0, 0.0, 8.8
8, Devin Booker , PHX, 27, 60, 37, 23, 35.7, 27.0, 9.5, 19.4, 49.2, 2.1, 5.9, 36.2, 5.8, 6.6, 88.1, 0.8, 4.0, 4.8, 6.9, 2.5, 0.9, 0.4, 3.1, 44.4, 12.0, 0.0, 4.3
9, Donovan Mitchell , CLE, 27, 51, 34, 17, 35.2, 26.8, 9.2, 19.9, 46.3, 3.3, 9.0, 36.9, 5.1, 5.8, 86.6, 0.8, 4.3, 5.2, 6.1, 2.8, 1.7, 0.5, 2.2, 46.0, 6.0, 0.0, 6.1
10, Stephen Curry , GSW, 36, 68, 39, 29, 32.7, 26.6, 8.8, 19.6, 44.9, 4.8, 12.0, 40.3, 4.1, 4.4, 92.4, 0.5, 3.8, 4.3, 5.0, 2.8, 0.7, 0.3, 1.6, 39.6, 7.0, 0.0, 2.3
11, De'Aaron Fox , SAC, 26, 66, 39, 27, 35.7, 26.4, 9.7, 20.8, 46.5, 2.8, 7.6, 36.3, 4.4, 6.0, 73.3, 1.0, 3.6, 4.6, 5.7, 2.7, 2.0, 0.4, 2.6, 45.1, 6.0, 0.0, 2.9
12, Trae Young , ATL, 25, 51, 22, 29, 36.5, 26.4, 8.2, 19.3, 42.6, 3.3, 8.9, 37.1, 6.6, 7.8, 85.6, 0.4, 2.3, 2.7, 10.8, 4.3, 1.4, 0.2, 2.1, 46.4, 35.0, 0.0, -2.2
13, Nikola Jokic , DEN, 29, 72, 50, 22, 34.5, 26.1, 10.3, 17.8, 57.9, 1.0, 2.9, 34.6, 4.6, 5.6, 82.3, 2.8, 9.4, 12.3, 9.0, 2.9, 1.3, 0.9, 2.4, 58.0, 61.0, 23.0, 8.3
14, Anthony Edwards , MIN, 22, 71, 49, 22, 35.2, 26.1, 9.2, 19.9, 46.3, 2.4, 6.7, 36.3, 5.2, 6.3, 82.7, 0.6, 4.9, 5.6, 5.2, 3.1, 1.3, 0.6, 1.8, 42.9, 9.0, 0.0, 6.3
15, Tyrese Maxey , PHI, 23, 65, 38, 27, 37.5, 25.6, 9.0, 20.1, 44.5, 3.0, 8.1, 37.4, 4.7, 5.4, 86.4, 0.5, 3.2, 3.7, 6.2, 1.7, 1.0, 0.5, 2.1, 42.1, 8.0, 0.0, 3.5
16, LeBron James , LAL, 39, 65, 36, 29, 35.2, 25.4, 9.5, 17.8, 53.3, 2.2, 5.3, 41.6, 4.2, 5.6, 75.2, 0.8, 6.5, 7.3, 8.1, 3.4, 1.2, 0.6, 1.1, 48.1, 24.0, 4.0, 2.7
17, Kyrie Irving , DAL, 32, 52, 34, 18, 34.5, 25.3, 9.7, 19.6, 49.4, 3.0, 7.2, 41.1, 3.1, 3.4, 90.3, 0.8, 4.2, 5.0, 5.3, 1.7, 1.2, 0.4, 1.9, 42.5, 5.0, 0.0, 4.0
18, Ja Morant , MEM, 24, 9, 6, 3, 35.3, 25.1, 8.9, 18.9, 47.1, 1.6, 5.7, 27.5, 5.8, 7.1, 81.3, 0.7, 4.9, 5.6, 8.1, 3.0, 0.8, 0.6, 2.1, 44.9, 3.0, 0.0, 1.2
19, Anthony Davis , LAL, 31, 70, 40, 30, 35.9, 24.7, 9.4, 17.0, 55.5, 0.4, 1.3, 28.7, 5.4, 6.7, 81.6, 3.1, 9.6, 12.7, 3.6, 2.1, 1.2, 2.4, 2.3, 53.8, 59.0, 2.0, 1.1
20, Damian Lillard , MIL, 33, 68, 46, 22, 35.3, 24.4, 7.5, 17.6, 42.6, 3.1, 8.6, 35.8, 6.3, 6.8, 92.3, 0.5, 3.9, 4.4, 7.1, 2.5, 1.0, 0.2, 1.8, 41.4, 12.0, 0.0, 5.8
