IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
383, Josh Minott, MIN, 26, 20, 6, 42.4, 33.7, 71.7, 47.1, 6.0, 23.5, 25.6, 23.5, 33.7, 69.6, 9.0, 33.7, 42.8, 21.7, 16.3, 6.0, 5.4, 4.8, 17.5, 21.1, 97.0, -0.6
383, Jontay Porter, TOR, 26, 6, 20, 46.2, 43.0, 87.2, 49.3, 13.0, 32.6, 39.8, 16.0, 20.2, 79.6, 9.1, 33.1, 42.2, 26.6, 13.5, 8.2, 5.9, 5.0, 14.8, 18.7, 115.0, 9.2
383, Neemias Queta, BOS, 26, 22, 4, 49.4, 39.2, 88.8, 44.2, 14.4, 40.2, 35.7, 17.0, 21.9, 77.9, 12.4, 29.0, 41.4, 23.9, 12.5, 5.7, 4.3, 5.2, 17.9, 19.7, 109.8, -19.0
392, Precious Achiuwa, TOR, 25, 8, 17, 47.3, 43.7, 89.9, 48.6, 12.0, 33.3, 36.0, 14.9, 19.3, 77.5, 10.9, 33.9, 44.8, 27.9, 12.4, 6.7, 4.4, 4.5, 17.6, 17.1, 114.4, 5.7
392, Gordon Hayward, CHA, 25, 7, 18, 47.9, 44.2, 89.0, 49.7, 13.6, 34.8, 39.2, 18.1, 23.2, 78.2, 11.4, 33.0, 44.4, 27.6, 13.8, 7.3, 5.3, 5.4, 18.0, 19.1, 120.2, 8.0
392, Buddy Hield, PHI, 25, 10, 15, 49.8, 42.1, 87.3, 48.2, 12.5, 34.1, 36.7, 17.2, 21.8, 79.0, 9.8, 35.3, 45.1, 26.6, 14.2, 7.0, 7.0, 6.1, 15.1, 20.3, 113.9, 4.9
392, Zach LaVine, CHI, 25, 10, 15, 49.0, 41.1, 88.9, 46.2, 15.3, 42.0, 36.5, 17.6, 22.7, 77.5, 11.9, 36.2, 48.1, 28.3, 14.1, 6.2, 4.2, 4.4, 17.8, 19.4, 115.1, 5.2
392, Nathan Mensah, CHA, 25, 3, 22, 48.4, 40.8, 83.4, 48.9, 13.9, 35.5, 39.1, 20.5, 25.6, 80.2, 9.8, 37.6, 47.4, 27.2, 15.2, 7.9, 6.0, 4.4, 18.0, 21.3, 116.0, 21.0
392, Brice Sensabaugh, UTA, 25, 6, 19, 47.3, 45.5, 88.9, 51.2, 16.7, 38.8, 43.1, 16.2, 21.4, 75.7, 9.6, 31.9, 41.5, 31.4, 11.1, 7.9, 5.1, 4.2, 18.1, 16.2, 124.0, 13.9
398, Dalano Banton, BOS, 24, 18, 6, 47.8, 38.0, 88.5, 42.9, 11.2, 36.0, 31.0, 17.9, 24.0, 74.4, 12.3, 30.7, 43.0, 24.9, 10.9, 7.3, 5.6, 5.9, 18.4, 19.8, 105.0, -5.6
