IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
1, Mikal Bridges, BKN, 79, 31, 48, 48.7, 42.3, 89.3, 47.4, 12.7, 33.9, 37.6, 16.9, 21.1, 80.1, 10.3, 35.1, 45.5, 25.8, 12.6, 6.8, 4.9, 5.4, 18.4, 18.5, 114.3, 3.0
1, Georges Niang, CLE, 79, 46, 33, 48.6, 41.6, 88.2, 47.1, 12.9, 35.0, 36.8, 17.8, 23.0, 77.5, 10.3, 33.0, 43.3, 25.6, 12.7, 7.7, 4.5, 4.6, 18.6, 19.2, 113.8, -0.1
1, Austin Reaves, LAL, 79, 45, 34, 47.0, 43.6, 91.2, 47.8, 14.1, 37.1, 38.0, 13.7, 17.1, 80.3, 10.3, 32.4, 42.7, 28.0, 12.5, 8.0, 4.5, 5.5, 20.1, 14.8, 115.0, 0.6
1, Paul Reed, PHI, 79, 44, 35, 49.4, 41.6, 86.2, 48.2, 12.1, 33.7, 35.9, 18.4, 23.5, 78.1, 10.9, 33.2, 44.1, 26.9, 16.2, 6.4, 7.0, 6.2, 17.3, 21.3, 113.7, -2.9
1, Obi Toppin, IND, 79, 45, 34, 45.7, 43.4, 85.9, 50.5, 9.6, 27.2, 35.5, 20.2, 25.3, 79.9, 10.0, 30.1, 40.2, 23.2, 13.5, 6.6, 5.2, 5.7, 18.3, 21.4, 116.6, -3.3
6, Nickeil Alexander-Walker, MIN, 78, 54, 24, 47.9, 38.0, 85.4, 44.4, 11.5, 32.4, 35.5, 17.9, 23.1, 77.8, 10.2, 31.5, 41.8, 23.8, 15.1, 7.5, 4.0, 6.2, 18.6, 19.4, 105.3, -7.8
6, Harrison Barnes, SAC, 78, 45, 33, 47.6, 42.6, 86.4, 49.3, 13.4, 33.7, 39.8, 17.2, 21.6, 79.7, 8.5, 34.7, 43.2, 28.1, 13.2, 7.2, 4.5, 3.4, 17.6, 18.7, 115.8, 2.2
6, Christian Braun, DEN, 78, 54, 24, 48.7, 39.8, 89.7, 44.3, 11.8, 32.4, 36.4, 19.4, 25.1, 77.6, 12.1, 32.7, 44.8, 24.7, 12.4, 6.9, 6.2, 6.5, 18.6, 20.6, 110.8, 1.3
6, Andre Drummond, CHI, 78, 37, 41, 49.0, 40.8, 86.7, 47.1, 14.9, 39.8, 37.5, 16.6, 20.8, 79.9, 10.3, 29.7, 39.9, 27.0, 14.1, 7.3, 5.7, 5.5, 22.8, 18.9, 113.2, -0.9
6, Jalen Green, HOU, 78, 38, 40, 47.8, 41.2, 87.4, 47.1, 12.7, 35.5, 35.8, 18.2, 23.8, 76.3, 10.4, 34.1, 44.5, 25.1, 13.0, 7.0, 5.8, 4.0, 19.7, 19.6, 113.3, -0.7
6, Chet Holmgren, OKC, 78, 53, 25, 46.9, 39.8, 88.4, 45.0, 13.4, 36.7, 36.6, 17.4, 21.8, 80.1, 12.1, 31.4, 43.5, 25.9, 14.5, 6.6, 5.3, 7.3, 18.8, 18.0, 110.4, -7.6
6, Reggie Jackson, DEN, 78, 54, 24, 48.1, 40.1, 87.8, 45.7, 11.6, 31.8, 36.7, 18.3, 24.0, 76.0, 11.2, 32.0, 43.2, 25.8, 11.8, 7.1, 4.8, 5.4, 18.1, 20.0, 110.1, -2.4
6, Bobby Portis, MIL, 78, 47, 31, 47.7, 43.1, 89.5, 48.1, 12.2, 34.4, 35.6, 17.9, 22.1, 80.9, 10.2, 32.6, 42.8, 26.8, 12.1, 6.2, 4.2, 4.6, 18.2, 20.3, 116.3, 0.1
6, Payton Pritchard, BOS, 78, 62, 16, 49.8, 42.2, 91.8, 45.9, 12.4, 35.4, 35.0, 13.9, 18.1, 76.9, 11.2, 31.5, 42.7, 25.0, 11.8, 5.6, 4.0, 6.2, 17.5, 16.9, 110.6, -11.6
6, Domantas Sabonis, SAC, 78, 45, 33, 48.1, 42.0, 86.1, 48.8, 13.2, 33.1, 39.8, 17.8, 22.0, 81.0, 8.6, 33.3, 41.8, 28.0, 13.5, 7.4, 4.6, 3.7, 18.2, 19.1, 115.0, -1.0
6, Collin Sexton, UTA, 78, 29, 49, 47.2, 44.0, 88.7, 49.6, 14.8, 36.0, 41.2, 17.5, 22.5, 77.9, 10.5, 29.8, 40.3, 29.7, 12.4, 7.8, 7.0, 5.1, 19.1, 18.5, 120.3, 3.3
6, Jonas Valanciunas, NOP, 78, 46, 32, 48.7, 41.8, 89.6, 46.7, 14.9, 40.1, 37.1, 14.9, 19.4, 76.4, 9.6, 31.6, 41.3, 28.7, 12.5, 6.5, 5.2, 5.3, 18.5, 18.7, 113.4, -4.0
6, Cason Wallace, OKC, 78, 53, 25, 47.5, 40.6, 87.0, 46.7, 12.7, 34.5, 36.8, 18.3, 22.9, 79.9, 12.1, 32.1, 44.1, 26.9, 16.4, 7.4, 5.1, 6.4, 17.6, 19.3, 112.3, -1.6
19, Cole Anthony, ORL, 77, 46, 31, 49.1, 40.2, 85.0, 47.2, 11.4, 33.7, 33.9, 17.6, 23.1, 76.0, 9.7, 30.4, 40.1, 23.9, 15.0, 7.9, 4.8, 5.6, 21.6, 21.5, 109.3, -2.9
19, Donte DiVincenzo, NYK, 77, 46, 31, 49.4, 42.2, 87.7, 48.1, 13.8, 35.6, 38.8, 15.9, 20.4, 77.6, 10.2, 31.1, 41.3, 27.9, 13.9, 6.6, 4.8, 4.4, 19.4, 18.2, 114.1, -3.5
19, Josh Giddey, OKC, 77, 53, 24, 46.9, 40.9, 88.1, 46.5, 13.2, 35.8, 36.8, 16.6, 21.1, 78.6, 11.8, 31.6, 43.4, 27.7, 14.4, 7.1, 5.4, 6.9, 18.2, 17.8, 111.6, -8.1
19, Josh Hart, NYK, 77, 45, 32, 50.1, 41.1, 88.3, 46.5, 13.2, 35.8, 37.0, 15.1, 19.9, 75.8, 10.2, 31.1, 41.2, 25.9, 13.9, 6.7, 5.6, 4.4, 19.8, 17.9, 110.5, -6.2
19, Corey Kispert, WAS, 77, 15, 62, 46.1, 44.2, 89.5, 49.4, 11.9, 33.6, 35.5, 17.6, 22.7, 77.8, 11.5, 35.2, 46.7, 27.4, 12.5, 8.0, 6.2, 4.2, 17.7, 19.4, 118.0, 9.9
19, Jordan Poole, WAS, 77, 15, 62, 45.8, 44.5, 89.3, 49.8, 11.7, 32.2, 36.2, 18.5, 23.5, 78.8, 11.5, 35.8, 47.3, 28.1, 13.0, 7.5, 5.3, 5.0, 16.7, 19.5, 119.1, 10.8
19, Michael Porter Jr., DEN, 77, 54, 23, 48.8, 41.5, 88.4, 46.9, 11.3, 31.6, 35.7, 16.9, 21.5, 78.5, 10.1, 31.5, 41.6, 27.0, 12.0, 7.2, 4.9, 4.9, 18.7, 17.1, 111.1, -8.6
19, Naz Reid, MIN, 77, 54, 23, 48.0, 37.8, 86.5, 43.8, 11.1, 32.5, 34.0, 17.5, 22.4, 78.3, 10.6, 32.0, 42.6, 23.9, 14.7, 7.2, 4.6, 6.7, 18.8, 18.8, 104.2, -7.2
27, Paolo Banchero, ORL, 76, 45, 31, 48.9, 40.9, 85.1, 48.1, 11.6, 31.4, 36.9, 18.1, 23.1, 78.4, 9.1, 32.3, 41.4, 24.8, 15.5, 8.4, 4.7, 5.3, 21.5, 19.7, 111.6, -0.6
27, DeMar DeRozan, CHI, 76, 36, 40, 49.0, 41.4, 87.4, 47.3, 14.7, 39.9, 36.8, 17.0, 21.8, 78.0, 10.0, 33.7, 43.8, 27.9, 13.6, 6.4, 4.8, 4.8, 19.6, 18.6, 114.4, 1.2
27, Luguentz Dort, OKC, 76, 51, 25, 47.2, 40.5, 87.8, 46.1, 13.7, 37.3, 36.7, 18.2, 23.2, 78.5, 11.5, 31.9, 43.4, 26.9, 15.2, 6.7, 4.9, 6.5, 19.1, 19.0, 112.9, -6.7
27, Ayo Dosunmu, CHI, 76, 37, 39, 48.9, 41.6, 88.8, 46.9, 14.4, 39.6, 36.4, 17.4, 22.4, 77.6, 10.8, 33.8, 44.6, 28.1, 13.5, 6.9, 5.2, 5.0, 17.8, 19.3, 115.1, 3.5
27, Moritz Wagner, ORL, 76, 45, 31, 48.5, 40.8, 84.4, 48.4, 11.8, 34.1, 34.6, 17.4, 23.1, 75.4, 9.1, 28.9, 38.0, 24.9, 14.8, 7.8, 4.8, 4.7, 21.6, 21.2, 110.8, -3.3
27, Peyton Watson, DEN, 76, 53, 23, 48.9, 39.8, 91.1, 43.7, 11.1, 32.4, 34.3, 20.8, 26.9, 77.3, 13.1, 32.8, 46.0, 24.2, 11.9, 7.3, 5.5, 7.1, 17.4, 21.6, 111.5, 2.3
