IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
293, Justin Champagnie , WAS, 22, 13, 3, 10, 15.1, 6.0, 2.1, 4.8, 42.9, 1.0, 3.1, 32.5, 0.8, 1.1, 78.6, 1.3, 1.9, 3.2, 1.2, 0.8, 0.6, 0.5, 1.0, 14.4, 0.0, 0.0, -4.3
294, Patrick Beverley , MIL, 35, 69, 41, 28, 19.7, 5.9, 2.1, 5.1, 40.6, 0.8, 2.4, 32.0, 1.0, 1.2, 81.4, 0.6, 2.4, 3.1, 2.8, 0.9, 0.6, 0.4, 1.8, 16.1, 1.0, 0.0, -1.1
295, Tosan Evbuomwan , DET, 23, 17, 1, 16, 21.6, 5.9, 2.1, 4.2, 50.7, 0.7, 1.9, 37.5, 1.0, 1.5, 68.0, 1.1, 2.5, 3.5, 0.9, 0.5, 0.4, 0.3, 1.4, 13.0, 0.0, 0.0, -7.5
296, Matt Ryan , NOP, 26, 26, 13, 13, 14.8, 5.8, 1.9, 4.3, 43.4, 1.6, 3.5, 45.1, 0.5, 0.5, 92.9, 0.2, 1.3, 1.5, 0.7, 0.7, 0.2, 0.0, 1.2, 8.7, 0.0, 0.0, 0.7
297, Bruno Fernando , ATL, 25, 41, 20, 21, 14.5, 5.8, 2.3, 4.0, 57.6, 0.0, 0.1, 0.0, 1.2, 1.8, 65.3, 1.4, 2.9, 4.3, 1.0, 1.0, 0.6, 0.7, 2.3, 15.5, 0.0, 0.0, -1.4
298, Dyson Daniels , NOP, 21, 57, 31, 26, 22.1, 5.8, 2.3, 5.1, 44.7, 0.7, 2.2, 31.2, 0.6, 0.9, 63.5, 1.0, 2.8, 3.8, 2.6, 1.0, 1.4, 0.4, 1.7, 18.8, 1.0, 0.0, 1.3
299, Ochai Agbaji , TOR, 23, 74, 31, 43, 20.5, 5.8, 2.3, 5.5, 41.5, 0.8, 2.7, 30.0, 0.4, 0.7, 64.0, 0.9, 1.8, 2.8, 1.0, 0.8, 0.6, 0.5, 1.5, 13.3, 0.0, 0.0, -2.9
300, Craig Porter Jr. , CLE, 24, 49, 29, 20, 13.0, 5.8, 2.3, 4.6, 50.9, 0.2, 0.7, 35.3, 0.8, 1.1, 73.2, 0.4, 1.7, 2.2, 2.4, 0.9, 0.4, 0.3, 0.8, 13.1, 0.0, 0.0, -0.6
300, Torrey Craig , CHI, 33, 49, 20, 29, 19.9, 5.8, 2.1, 4.8, 42.8, 1.1, 3.0, 38.1, 0.5, 0.7, 75.8, 1.3, 2.6, 3.9, 1.1, 0.6, 0.6, 0.4, 2.0, 14.3, 0.0, 0.0, -3.9
302, Ricky Council IV , PHI, 22, 29, 12, 17, 9.3, 5.8, 1.8, 3.7, 49.1, 0.3, 1.0, 34.5, 1.8, 2.4, 74.6, 0.5, 1.0, 1.5, 0.5, 0.1, 0.2, 0.0, 0.5, 9.0, 1.0, 0.0, 0.4
303, Pat Connaughton , MIL, 31, 72, 43, 29, 22.2, 5.7, 2.0, 4.6, 43.8, 1.1, 3.2, 35.2, 0.6, 0.8, 76.4, 0.7, 2.5, 3.2, 2.1, 0.6, 0.5, 0.3, 1.3, 14.5, 0.0, 0.0, -0.1
304, Larry Nance Jr. , NOP, 31, 59, 33, 26, 19.8, 5.7, 2.3, 3.9, 57.6, 0.4, 1.1, 41.9, 0.7, 1.0, 75.4, 1.5, 3.5, 5.0, 1.8, 0.8, 1.0, 0.3, 1.6, 17.6, 2.0, 0.0, 1.2
305, Jared Butler , WAS, 23, 37, 6, 31, 13.1, 5.7, 2.2, 4.5, 48.2, 0.6, 1.9, 30.0, 0.7, 0.8, 90.0, 0.2, 1.1, 1.3, 2.9, 1.2, 0.7, 0.2, 1.3, 12.9, 0.0, 0.0, -0.7
306, Kris Murray , POR, 23, 58, 12, 46, 20.3, 5.7, 2.2, 5.5, 40.6, 0.7, 2.7, 26.9, 0.5, 0.8, 60.0, 1.2, 2.1, 3.3, 1.3, 0.8, 0.9, 0.3, 1.3, 14.1, 1.0, 0.0, -2.1
307, Mitchell Robinson , NYK, 26, 27, 15, 12, 26.0, 5.7, 2.4, 4.4, 55.9, 0.0, 0.0, 0.0, 0.8, 2.1, 36.8, 4.9, 4.3, 9.2, 0.7, 0.9, 1.3, 1.2, 1.9, 24.3, 2.0, 0.0, 0.8
308, Bones Hyland , LAC, 23, 34, 19, 15, 13.2, 5.6, 2.1, 5.8, 36.7, 1.0, 3.2, 31.5, 0.4, 0.5, 77.8, 0.1, 1.0, 1.1, 2.2, 1.1, 0.6, 0.1, 1.3, 11.2, 1.0, 0.0, -0.9
309, Danilo Gallinari , MIL, 35, 48, 15, 33, 12.7, 5.6, 1.7, 3.8, 44.0, 0.6, 1.9, 33.0, 1.6, 1.9, 84.9, 0.4, 1.8, 2.2, 1.1, 0.4, 0.3, 0.1, 1.0, 10.7, 0.0, 0.0, -1.8
310, Cam Reddish , LAL, 24, 47, 27, 20, 20.7, 5.5, 1.9, 4.9, 39.2, 0.8, 2.3, 33.6, 0.9, 1.1, 75.9, 0.6, 1.5, 2.1, 1.0, 0.7, 1.0, 0.3, 1.3, 12.8, 0.0, 0.0, -1.0
311, Dexter Dennis , DAL, 25, 4, 1, 3, 7.5, 5.5, 2.5, 4.8, 52.6, 0.3, 2.0, 12.5, 0.3, 0.8, 33.3, 0.3, 2.0, 2.3, 1.0, 0.8, 0.0, 0.3, 0.3, 9.7, 0.0, 0.0, -2.3
311, Sasha Vezenkov , SAC, 28, 40, 21, 19, 12.2, 5.5, 2.1, 4.6, 44.6, 1.1, 2.9, 38.3, 0.3, 0.4, 80.0, 0.8, 1.6, 2.3, 0.5, 0.3, 0.5, 0.2, 1.0, 10.7, 0.0, 0.0, 0.1
313, Nicolas Batum , PHI, 35, 57, 33, 24, 25.4, 5.5, 2.0, 4.3, 46.5, 1.3, 3.1, 40.7, 0.3, 0.4, 71.4, 1.2, 3.0, 4.1, 2.1, 0.7, 0.8, 0.6, 1.8, 17.3, 0.0, 0.0, 2.8
314, Nick Smith Jr. , CHA, 19, 48, 8, 40, 13.8, 5.5, 2.1, 5.3, 38.8, 1.1, 2.7, 42.2, 0.2, 0.3, 84.6, 0.4, 1.0, 1.3, 1.1, 0.8, 0.2, 0.1, 1.1, 8.9, 0.0, 0.0, -3.8
315, Doug McDermott , IND, 32, 61, 20, 41, 14.3, 5.5, 1.9, 4.4, 43.0, 1.5, 3.6, 41.1, 0.2, 0.3, 57.9, 0.1, 0.8, 1.0, 1.1, 0.5, 0.2, 0.0, 1.0, 8.6, 0.0, 0.0, -2.6
316, Matisse Thybulle , POR, 27, 65, 18, 47, 22.9, 5.4, 1.9, 4.9, 39.7, 1.2, 3.6, 34.6, 0.3, 0.4, 75.9, 0.5, 1.6, 2.1, 1.4, 0.6, 1.7, 0.8, 1.4, 16.9, 0.0, 0.0, -3.6
317, Bol Bol , PHX, 24, 40, 26, 14, 11.3, 5.4, 2.3, 3.7, 61.6, 0.6, 1.3, 44.0, 0.4, 0.5, 78.9, 0.8, 2.6, 3.3, 0.4, 0.4, 0.2, 0.6, 1.0, 12.2, 1.0, 0.0, 0.7
318, Kris Dunn , UTA, 30, 66, 25, 41, 18.9, 5.4, 2.2, 4.7, 47.0, 0.6, 1.7, 36.9, 0.3, 0.5, 68.8, 0.8, 2.1, 2.9, 3.8, 1.2, 1.0, 0.4, 2.0, 17.8, 1.0, 0.0, 0.2
319, Dean Wade , CLE, 27, 54, 36, 18, 20.5, 5.4, 1.8, 4.3, 41.4, 1.5, 3.7, 39.1, 0.4, 0.5, 76.9, 0.7, 3.4, 4.0, 0.8, 0.4, 0.7, 0.5, 1.7, 14.7, 0.0, 0.0, 3.3
320, Thomas Bryant , MIA, 26, 37, 21, 16, 11.3, 5.4, 2.1, 3.8, 56.1, 0.1, 0.6, 19.0, 1.1, 1.2, 86.7, 1.0, 2.5, 3.5, 0.6, 0.5, 0.3, 0.4, 1.2, 12.0, 1.0, 0.0, 0.0
