IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
364, Robert Covington , PHI, 33, 29, 20, 9, 16.8, 4.4, 1.5, 3.4, 43.9, 0.7, 1.9, 33.9, 0.8, 0.9, 84.6, 1.1, 2.3, 3.3, 0.8, 0.4, 1.3, 0.6, 1.9, 15.2, 0.0, 0.0, 3.6
365, Dominick Barlow , SAS, 20, 33, 7, 26, 12.7, 4.4, 1.7, 3.4, 49.6, 0.1, 0.3, 33.3, 0.9, 1.3, 69.0, 1.4, 2.1, 3.4, 1.1, 0.3, 0.4, 0.4, 1.4, 12.2, 0.0, 0.0, -1.0
366, Max Christie , LAL, 21, 65, 37, 28, 14.5, 4.3, 1.6, 3.7, 42.5, 0.6, 1.8, 35.6, 0.6, 0.7, 78.3, 0.2, 1.9, 2.2, 0.9, 0.5, 0.3, 0.3, 0.9, 9.5, 0.0, 0.0, -0.2
367, Dru Smith , MIA, 26, 9, 7, 2, 14.5, 4.3, 1.7, 3.7, 45.5, 0.8, 1.9, 41.2, 0.2, 0.2, 100, 0.7, 0.9, 1.6, 1.6, 0.6, 1.0, 0.3, 1.3, 12.0, 0.0, 0.0, -4.8
368, Jaxson Hayes , LAL, 23, 67, 39, 28, 12.4, 4.3, 1.8, 2.5, 71.9, 0.0, 0.1, 0.0, 0.7, 1.2, 62.5, 1.0, 2.0, 3.0, 0.5, 0.6, 0.5, 0.4, 1.8, 10.7, 2.0, 0.0, -1.6
369, Troy Brown Jr. , DET, 24, 55, 29, 26, 13.3, 4.3, 1.5, 3.7, 39.0, 0.9, 2.4, 35.3, 0.5, 0.6, 85.7, 0.4, 1.9, 2.3, 1.0, 0.5, 0.3, 0.0, 0.7, 9.2, 0.0, 0.0, -1.9
370, Skylar Mays , LAL, 26, 36, 13, 23, 11.9, 4.3, 1.8, 4.4, 39.9, 0.4, 1.5, 29.6, 0.4, 0.5, 76.5, 0.3, 0.9, 1.2, 2.3, 0.6, 0.6, 0.1, 0.7, 10.8, 2.0, 0.0, -2.8
371, Lester Quinones , GSW, 23, 35, 22, 13, 10.7, 4.3, 1.5, 3.7, 39.2, 0.9, 2.3, 37.0, 0.5, 0.8, 66.7, 0.6, 1.4, 2.0, 0.9, 0.5, 0.2, 0.1, 1.2, 8.3, 0.0, 0.0, 0.3
372, MarJon Beauchamp , MIL, 23, 46, 30, 16, 12.9, 4.3, 1.6, 3.4, 47.8, 0.6, 1.6, 38.9, 0.4, 0.6, 67.9, 0.5, 1.6, 2.1, 0.7, 0.6, 0.3, 0.1, 1.2, 8.4, 0.0, 0.0, -0.2
373, Ben Sheppard , IND, 22, 54, 30, 24, 13.8, 4.3, 1.5, 3.9, 39.4, 0.8, 2.6, 31.2, 0.4, 0.5, 88.5, 0.2, 1.3, 1.5, 0.9, 0.2, 0.6, 0.0, 1.6, 8.9, 0.0, 0.0, 0.8
374, Maxi Kleber , DAL, 32, 40, 25, 15, 20.5, 4.3, 1.4, 3.5, 40.6, 0.7, 2.2, 32.2, 0.8, 1.1, 68.9, 0.6, 2.7, 3.3, 1.6, 0.7, 0.4, 0.7, 1.9, 13.2, 1.0, 0.0, 2.5
375, John Konchar , MEM, 28, 55, 18, 37, 21.3, 4.3, 1.6, 3.8, 42.3, 0.7, 2.2, 31.7, 0.4, 0.5, 84.0, 1.3, 3.4, 4.7, 2.0, 0.8, 0.9, 0.9, 1.4, 17.6, 1.0, 0.0, -2.7
376, Bismack Biyombo , OKC, 31, 38, 18, 20, 20.0, 4.3, 1.8, 3.3, 55.6, 0.0, 0.0, 0.0, 0.6, 1.3, 48.0, 1.6, 3.6, 5.2, 1.4, 1.1, 0.3, 0.9, 2.3, 15.1, 2.0, 0.0, -1.9
377, Brandon Boston Jr. , LAC, 22, 28, 16, 12, 8.9, 4.3, 1.6, 3.9, 42.2, 0.4, 1.3, 28.6, 0.6, 0.9, 68.0, 0.4, 0.8, 1.2, 0.3, 0.4, 0.1, 0.3, 1.1, 6.9, 0.0, 0.0, -3.2
378, Danuel House Jr. , PHI, 30, 34, 21, 13, 15.0, 4.2, 1.4, 3.1, 44.8, 0.4, 1.5, 30.0, 1.0, 1.4, 76.1, 0.5, 1.2, 1.7, 0.8, 0.6, 0.4, 0.1, 1.3, 8.7, 0.0, 0.0, 0.6
379, Jamal Cain , MIA, 25, 23, 12, 11, 11.1, 4.2, 1.5, 3.4, 43.0, 0.5, 1.3, 35.5, 0.8, 1.0, 78.3, 0.7, 0.9, 1.6, 0.4, 0.3, 0.4, 0.2, 0.9, 8.4, 0.0, 0.0, -0.7
380, Delon Wright , MIA, 31, 44, 13, 31, 15.3, 4.2, 1.5, 3.9, 37.6, 0.5, 1.3, 34.5, 0.8, 1.0, 81.4, 0.4, 1.4, 1.8, 2.5, 0.3, 1.1, 0.2, 0.7, 13.7, 0.0, 0.0, -0.7
381, Armoni Brooks , BKN, 25, 10, 3, 7, 10.4, 4.2, 1.5, 4.6, 32.6, 1.1, 3.2, 34.4, 0.1, 0.2, 50.0, 0.7, 1.1, 1.8, 0.5, 0.3, 0.1, 0.1, 0.3, 7.4, 0.0, 0.0, 2.8
382, Eugene Omoruyi , WAS, 27, 40, 5, 35, 8.6, 4.2, 1.6, 3.5, 46.4, 0.2, 0.9, 16.7, 0.8, 1.2, 66.0, 0.8, 1.2, 2.0, 0.8, 0.5, 0.7, 0.1, 1.5, 9.5, 1.0, 0.0, -3.3
383, Ashton Hagans , POR, 24, 18, 3, 15, 16.8, 4.2, 1.5, 3.7, 40.3, 0.4, 1.2, 31.8, 0.8, 0.9, 82.4, 0.7, 1.7, 2.4, 2.8, 1.6, 0.6, 0.5, 2.2, 12.8, 0.0, 0.0, -0.4
384, T.J. Warren , MIN, 30, 10, 6, 4, 12.3, 4.1, 1.8, 4.1, 43.9, 0.2, 1.3, 15.4, 0.3, 0.4, 75.0, 0.5, 1.7, 2.2, 0.9, 0.4, 0.4, 0.1, 1.1, 9.2, 0.0, 0.0, 5.7
385, Jae'Sean Tate , HOU, 28, 65, 32, 33, 15.9, 4.1, 1.7, 3.5, 47.2, 0.4, 1.2, 29.9, 0.4, 0.6, 66.7, 0.9, 2.1, 3.0, 1.0, 0.6, 0.6, 0.2, 2.1, 11.3, 0.0, 0.0, 1.2
386, Chris Duarte , SAC, 26, 57, 34, 23, 12.4, 4.0, 1.4, 3.6, 39.0, 0.8, 2.2, 35.8, 0.5, 0.6, 78.8, 0.5, 1.4, 1.8, 0.8, 0.4, 0.5, 0.1, 1.4, 8.8, 0.0, 0.0, -1.0
387, Omer Yurtseven , UTA, 25, 44, 15, 29, 10.1, 4.0, 1.8, 3.3, 54.5, 0.1, 0.5, 25.0, 0.3, 0.5, 63.6, 1.3, 2.4, 3.7, 0.5, 0.7, 0.1, 0.4, 1.1, 10.2, 0.0, 0.0, -2.6
388, Blake Wesley , SAS, 21, 57, 16, 41, 13.7, 4.0, 1.5, 3.3, 47.3, 0.1, 0.8, 17.0, 0.8, 1.2, 64.3, 0.3, 1.1, 1.4, 2.7, 0.8, 0.5, 0.2, 1.4, 10.8, 0.0, 0.0, -2.5
389, Buddy Boeheim , DET, 24, 7, 0, 7, 9.5, 4.0, 1.1, 3.6, 32.0, 1.0, 3.0, 33.3, 0.7, 0.7, 100, 0.1, 1.0, 1.1, 0.4, 0.0, 0.0, 0.1, 0.6, 6.4, 0.0, 0.0, 2.7
389, Izaiah Brockington , NOP, 24, 1, 1, 0, 3.4, 4.0, 2.0, 5.0, 40.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.4, 0.0, 0.0, 3.0
389, Matt Hurt , MEM, 23, 8, 2, 6, 14.2, 4.0, 1.5, 4.3, 35.3, 0.6, 2.5, 25.0, 0.4, 0.4, 100, 1.1, 0.9, 2.0, 0.5, 0.3, 0.4, 0.4, 1.0, 9.2, 0.0, 0.0, -1.5
389, Patty Mills , MIA, 35, 30, 14, 16, 13.2, 4.0, 1.5, 4.1, 35.5, 0.8, 2.7, 28.4, 0.3, 0.3, 100, 0.3, 0.8, 1.1, 1.1, 0.5, 0.7, 0.0, 1.0, 8.6, 0.0, 0.0, 1.1
393, Justin Holiday , DEN, 35, 54, 35, 19, 14.8, 4.0, 1.5, 3.3, 46.0, 0.9, 2.2, 40.8, 0.1, 0.1, 75.0, 0.2, 1.1, 1.2, 1.1, 0.2, 0.6, 0.2, 1.2, 9.3, 0.0, 0.0, 1.0
394, DeAndre Jordan , DEN, 35, 36, 24, 12, 11.0, 3.9, 1.6, 2.6, 62.4, 0.0, 0.0, 0.0, 0.7, 1.5, 49.1, 1.5, 2.9, 4.4, 0.7, 0.6, 0.2, 0.4, 1.6, 11.5, 1.0, 0.0, -2.4
395, Terquavion Smith , PHI, 21, 13, 5, 8, 5.8, 3.9, 1.4, 3.3, 41.9, 1.0, 2.5, 39.4, 0.2, 0.2, 66.7, 0.0, 0.2, 0.2, 0.8, 0.4, 0.6, 0.0, 0.5, 6.9, 0.0, 0.0, 0.1
396, Luka Garza , MIN, 25, 23, 17, 6, 5.0, 3.9, 1.4, 3.1, 45.8, 0.4, 1.4, 28.1, 0.7, 1.0, 68.2, 0.7, 0.5, 1.2, 0.2, 0.3, 0.1, 0.0, 1.0, 5.9, 0.0, 0.0, -0.2
397, JaVale McGee , SAC, 36, 45, 27, 18, 7.4, 3.9, 1.7, 2.8, 60.0, 0.0, 0.1, 16.7, 0.6, 1.0, 58.1, 0.9, 1.8, 2.6, 0.3, 0.7, 0.3, 0.4, 1.0, 9.1, 0.0, 0.0, 0.2
398, Ousmane Dieng , OKC, 20, 31, 19, 12, 11.0, 3.9, 1.4, 3.4, 41.3, 0.6, 2.2, 29.9, 0.5, 0.5, 87.5, 0.3, 1.3, 1.6, 1.1, 0.5, 0.2, 0.1, 0.6, 7.6, 0.0, 0.0, 0.0
399, Jaylin Williams , OKC, 21, 65, 44, 21, 12.9, 3.8, 1.3, 3.2, 39.8, 0.7, 2.1, 35.6, 0.5, 0.6, 82.5, 0.5, 2.8, 3.3, 1.6, 0.5, 0.4, 0.4, 1.4, 12.0, 0.0, 0.0, 1.2
400, Rayan Rupert , POR, 19, 35, 7, 28, 14.4, 3.8, 1.3, 3.7, 35.9, 0.7, 1.7, 39.7, 0.5, 0.6, 81.0, 0.5, 1.6, 2.2, 1.4, 0.7, 0.3, 0.1, 1.5, 8.9, 0.0, 0.0, -2.9
401, KJ Martin , PHI, 23, 60, 33, 27, 12.4, 3.7, 1.6, 3.0, 53.6, 0.1, 0.5, 28.6, 0.4, 0.7, 53.7, 0.7, 1.5, 2.2, 0.9, 0.5, 0.4, 0.2, 1.7, 8.8, 1.0, 0.0, -0.1
402, Ryan Rollins , MIL, 21, 11, 1, 10, 6.1, 3.7, 1.2, 2.3, 52.0, 0.2, 0.3, 66.7, 1.2, 1.5, 76.5, 0.2, 0.8, 1.0, 1.0, 0.6, 0.7, 0.3, 0.6, 8.8, 0.0, 0.0, 4.9
403, Keita Bates-Diop , BKN, 28, 53, 29, 24, 12.5, 3.7, 1.4, 3.1, 43.4, 0.4, 1.3, 30.4, 0.6, 0.8, 76.2, 0.6, 1.5, 2.1, 0.7, 0.3, 0.5, 0.4, 0.7, 9.7, 0.0, 0.0, -1.0
404, Collin Gillespie , DEN, 24, 24, 15, 9, 9.4, 3.6, 1.3, 2.9, 46.4, 0.6, 1.6, 39.5, 0.3, 0.5, 66.7, 0.0, 0.8, 0.9, 1.1, 0.6, 0.5, 0.0, 1.0, 7.4, 0.0, 0.0, 0.6
404, Gabe Vincent , LAL, 27, 8, 5, 3, 21.3, 3.6, 1.6, 4.9, 33.3, 0.3, 2.5, 10.0, 0.1, 0.3, 50.0, 0.4, 0.5, 0.9, 2.3, 0.5, 0.9, 0.0, 2.0, 10.2, 0.0, 0.0, 0.8
406, Jarace Walker , IND, 20, 31, 16, 15, 10.6, 3.6, 1.4, 3.4, 40.0, 0.6, 1.7, 38.5, 0.3, 0.3, 88.9, 0.4, 1.5, 1.9, 1.3, 0.5, 0.5, 0.4, 0.9, 9.6, 0.0, 0.0, 0.5
407, Darius Bazley , UTA, 23, 5, 0, 5, 14.7, 3.6, 1.2, 2.4, 50.0, 0.2, 0.6, 33.3, 1.0, 1.4, 71.4, 0.6, 1.6, 2.2, 0.8, 1.0, 0.6, 0.6, 0.2, 10.0, 0.0, 0.0, -3.8
408, Oshae Brissett , BOS, 25, 52, 44, 8, 11.4, 3.6, 1.2, 2.6, 45.6, 0.3, 1.0, 28.3, 0.9, 1.4, 64.0, 1.0, 1.8, 2.8, 0.8, 0.3, 0.3, 0.1, 1.0, 9.1, 0.0, 0.0, 2.5
409, James Bouknight , CHA, 23, 14, 0, 14, 5.8, 3.6, 1.3, 2.9, 43.9, 0.9, 2.1, 43.3, 0.1, 0.1, 50.0, 0.1, 0.6, 0.6, 0.4, 0.1, 0.1, 0.1, 0.2, 5.3, 0.0, 0.0, -0.8
410, Jared Rhoden , DET, 24, 13, 1, 12, 11.8, 3.5, 1.4, 2.9, 47.4, 0.4, 1.2, 31.3, 0.4, 0.6, 62.5, 0.2, 1.4, 1.5, 0.8, 0.5, 0.2, 0.5, 1.5, 8.5, 0.0, 0.0, -1.8
411, Onuralp Bitim , CHI, 25, 21, 9, 12, 11.5, 3.5, 1.4, 3.4, 41.7, 0.5, 1.8, 29.7, 0.1, 0.2, 75.0, 0.3, 1.1, 1.4, 0.6, 0.3, 0.1, 0.1, 1.0, 6.5, 0.0, 0.0, -1.7
412, Nassir Little , PHX, 24, 42, 26, 16, 10.7, 3.5, 1.3, 2.8, 45.4, 0.5, 1.6, 30.9, 0.4, 0.5, 85.0, 0.3, 1.5, 1.8, 0.5, 0.3, 0.2, 0.2, 0.9, 7.5, 0.0, 0.0, -2.1
413, Theo Maledon , PHX, 22, 17, 5, 12, 12.5, 3.5, 1.2, 4.1, 28.6, 0.3, 1.8, 16.7, 0.8, 0.9, 93.3, 0.2, 1.2, 1.4, 1.6, 1.1, 0.4, 0.0, 1.2, 7.8, 0.0, 0.0, -3.8
414, Jordan McLaughlin , MIN, 27, 52, 33, 19, 10.9, 3.5, 1.2, 2.6, 47.1, 0.8, 1.7, 48.8, 0.2, 0.3, 71.4, 0.3, 1.0, 1.3, 1.9, 0.3, 0.6, 0.1, 0.6, 9.8, 0.0, 0.0, 2.4
415, Yuta Watanabe , MEM, 29, 34, 18, 16, 13.7, 3.4, 1.2, 3.4, 35.3, 0.7, 2.5, 29.4, 0.3, 0.5, 58.8, 0.3, 1.3, 1.6, 0.4, 0.6, 0.4, 0.2, 1.1, 7.1, 0.0, 0.0, -1.9
416, Wenyen Gabriel , MEM, 27, 5, 1, 4, 16.2, 3.4, 1.6, 4.4, 36.4, 0.2, 1.2, 16.7, 0.0, 1.0, 0.0, 1.4, 3.6, 5.0, 0.6, 1.6, 0.4, 0.4, 2.0, 11.1, 0.0, 0.0, -3.2
417, Patrick Baldwin Jr. , WAS, 21, 35, 6, 29, 10.9, 3.4, 1.1, 3.5, 33.1, 0.6, 2.1, 28.0, 0.5, 0.7, 68.0, 0.4, 2.4, 2.8, 0.6, 0.5, 0.4, 0.4, 1.3, 9.4, 1.0, 0.0, -0.3
418, Anthony Gill , WAS, 31, 47, 9, 38, 8.4, 3.4, 1.3, 2.8, 47.4, 0.2, 0.7, 25.0, 0.5, 0.7, 77.4, 0.7, 1.0, 1.7, 0.6, 0.5, 0.3, 0.2, 0.9, 7.1, 0.0, 0.0, 0.7
419, Sandro Mamukelashvili , SAS, 24, 42, 9, 33, 8.2, 3.3, 1.3, 2.7, 47.4, 0.3, 1.1, 25.5, 0.5, 0.6, 76.9, 0.9, 1.5, 2.4, 1.0, 0.3, 0.2, 0.2, 0.7, 8.6, 1.0, 0.0, 1.4
420, Charles Bassey , SAS, 23, 19, 3, 16, 10.8, 3.3, 1.5, 2.1, 72.5, 0.0, 0.1, 0.0, 0.3, 0.3, 83.3, 1.2, 2.8, 4.0, 1.1, 0.8, 0.4, 0.9, 1.6, 12.9, 0.0, 0.0, -2.4
421, Dwight Powell , DAL, 32, 61, 38, 23, 12.9, 3.3, 1.1, 1.7, 68.3, 0.0, 0.0, 50.0, 1.0, 1.5, 70.8, 1.4, 1.8, 3.2, 1.3, 0.5, 0.4, 0.3, 1.8, 10.8, 1.0, 0.0, 0.8
422, Oscar Tshiebwe , IND, 24, 8, 2, 6, 5.2, 3.3, 1.3, 2.5, 50.0, 0.0, 0.0, 0.0, 0.8, 1.0, 75.0, 1.0, 1.0, 2.0, 0.3, 0.0, 0.3, 0.1, 0.4, 7.2, 0.0, 0.0, 1.8
423, Jules Bernard , WAS, 24, 17, 2, 15, 6.9, 3.2, 1.2, 3.0, 41.2, 0.5, 1.5, 36.0, 0.2, 0.5, 50.0, 0.4, 0.6, 1.0, 0.8, 0.2, 0.1, 0.1, 0.7, 5.9, 0.0, 0.0, 1.1
424, Jalen McDaniels , TOR, 26, 47, 12, 35, 10.3, 3.2, 1.3, 3.7, 34.9, 0.2, 1.4, 16.4, 0.4, 0.6, 72.4, 0.3, 1.2, 1.6, 0.7, 0.6, 0.4, 0.1, 1.0, 7.1, 0.0, 0.0, -3.3
425, Ish Smith , CHA, 35, 43, 6, 37, 17.2, 3.2, 1.5, 3.7, 41.8, 0.1, 0.2, 50.0, 0.1, 0.1, 75.0, 0.3, 1.5, 1.8, 3.4, 1.1, 0.4, 0.1, 1.1, 10.8, 0.0, 0.0, -6.5
426, Tristan Thompson , CLE, 33, 48, 28, 20, 11.2, 3.2, 1.5, 2.3, 62.5, 0.0, 0.0, 0.0, 0.3, 1.0, 30.0, 1.5, 2.1, 3.6, 1.1, 0.6, 0.3, 0.3, 1.2, 10.1, 1.0, 0.0, 0.2
427, Zeke Nnaji , DEN, 23, 54, 38, 16, 9.9, 3.2, 1.2, 2.6, 45.3, 0.1, 0.4, 27.3, 0.8, 1.1, 71.2, 1.1, 1.1, 2.1, 0.6, 0.5, 0.3, 0.7, 1.4, 9.0, 0.0, 0.0, -2.9
428, Gui Santos , GSW, 21, 21, 15, 6, 7.9, 3.2, 1.0, 2.1, 50.0, 0.4, 1.0, 40.9, 0.7, 0.7, 93.3, 0.7, 1.4, 2.1, 0.6, 0.3, 0.1, 0.1, 1.0, 6.9, 0.0, 0.0, 0.0
429, Mike Muscala , OKC, 32, 49, 13, 36, 11.5, 3.2, 1.1, 3.1, 36.7, 0.6, 1.9, 29.8, 0.3, 0.5, 68.0, 0.7, 1.6, 2.3, 0.7, 0.4, 0.2, 0.3, 1.0, 8.0, 0.0, 0.0, -1.8
430, A.J. Lawson , DAL, 23, 38, 25, 13, 6.8, 3.2, 1.2, 2.6, 47.0, 0.3, 1.1, 30.2, 0.3, 0.6, 61.9, 0.3, 0.7, 1.0, 0.4, 0.3, 0.3, 0.1, 0.5, 5.7, 0.0, 0.0, 0.9
431, Lindy Waters III , OKC, 26, 35, 22, 13, 7.1, 3.1, 1.1, 2.5, 44.9, 0.8, 2.0, 39.4, 0.1, 0.1, 100, 0.2, 0.9, 1.1, 0.6, 0.2, 0.1, 0.2, 0.6, 6.0, 0.0, 0.0, -0.8
432, Saben Lee , PHX, 24, 22, 13, 9, 8.1, 3.1, 0.9, 2.5, 35.2, 0.1, 0.7, 12.5, 1.3, 1.8, 74.4, 0.4, 1.0, 1.4, 1.4, 0.4, 0.3, 0.1, 0.6, 7.9, 0.0, 0.0, 0.8
433, Jaden Springer , BOS, 21, 46, 30, 16, 9.8, 3.1, 1.1, 3.0, 38.2, 0.2, 1.0, 18.2, 0.7, 0.8, 83.3, 0.7, 0.8, 1.5, 0.9, 0.7, 0.6, 0.3, 1.3, 8.3, 0.0, 0.0, -1.2
434, Jeremiah Robinson-Earl , NOP, 23, 35, 19, 16, 9.2, 3.1, 1.2, 2.5, 47.2, 0.3, 1.1, 32.4, 0.3, 0.4, 80.0, 0.6, 1.5, 2.1, 0.6, 0.4, 0.3, 0.1, 0.7, 7.3, 0.0, 0.0, -0.2
434, Wesley Matthews , ATL, 37, 35, 11, 24, 11.7, 3.1, 1.0, 2.8, 35.1, 0.7, 2.0, 34.8, 0.5, 0.6, 72.7, 0.3, 1.3, 1.5, 0.6, 0.2, 0.4, 0.3, 1.2, 7.8, 0.0, 0.0, -1.9
436, Svi Mykhailiuk , BOS, 26, 37, 30, 7, 8.7, 3.1, 1.1, 2.8, 38.5, 0.8, 2.3, 35.7, 0.1, 0.2, 57.1, 0.2, 0.8, 1.1, 0.7, 0.3, 0.3, 0.0, 0.4, 6.0, 0.0, 0.0, 2.6
437, Trevelin Queen , ORL, 27, 13, 5, 8, 12.5, 3.1, 1.1, 2.9, 36.8, 0.2, 1.3, 17.6, 0.7, 0.9, 75.0, 0.2, 1.2, 1.5, 1.4, 0.5, 0.5, 0.4, 1.2, 9.1, 0.0, 0.0, -0.7
438, Drew Peterson , BOS, 24, 1, 1, 0, 2.6, 3.0, 1.0, 1.0, 100, 1.0, 1.0, 100, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 4.5, 0.0, 0.0, 2.0
438, Orlando Robinson , MIA, 23, 33, 18, 15, 9.1, 3.0, 1.1, 2.2, 50.0, 0.2, 0.5, 53.3, 0.6, 0.8, 76.0, 0.8, 1.7, 2.5, 1.0, 0.5, 0.2, 0.2, 1.1, 8.4, 1.0, 0.0, 0.7
440, Garrett Temple , TOR, 37, 24, 5, 19, 9.2, 3.0, 1.0, 2.5, 41.0, 0.4, 1.3, 32.3, 0.5, 0.6, 78.6, 0.5, 1.0, 1.4, 0.7, 0.4, 0.4, 0.1, 1.0, 6.9, 0.0, 0.0, -2.7
441, Luka Samanic , UTA, 24, 39, 13, 26, 7.2, 2.9, 1.0, 2.7, 35.8, 0.3, 1.2, 23.9, 0.7, 0.9, 77.8, 0.3, 1.6, 1.9, 0.3, 0.4, 0.1, 0.2, 0.7, 5.9, 0.0, 0.0, -0.6
442, Micah Potter , UTA, 26, 14, 2, 12, 11.2, 2.9, 1.0, 2.2, 45.2, 0.5, 1.2, 41.2, 0.4, 0.4, 100, 0.6, 1.9, 2.4, 0.4, 0.3, 0.3, 0.3, 0.6, 7.8, 0.0, 0.0, -1.5
443, Moses Brown , POR, 24, 20, 4, 16, 8.5, 2.9, 1.3, 2.7, 49.1, 0.0, 0.0, 0.0, 0.3, 1.3, 24.0, 1.5, 2.0, 3.5, 0.4, 0.4, 0.2, 0.4, 1.2, 8.7, 0.0, 0.0, -2.8
444, Kira Lewis Jr. , UTA, 23, 27, 10, 17, 8.8, 2.8, 1.0, 3.0, 35.0, 0.1, 1.1, 12.9, 0.6, 0.7, 84.2, 0.3, 0.6, 0.9, 1.3, 0.5, 0.3, 0.1, 0.4, 6.4, 0.0, 0.0, -1.7
445, Cole Swider , MIA, 24, 15, 6, 9, 5.5, 2.8, 1.0, 2.4, 41.7, 0.7, 1.9, 35.7, 0.1, 0.1, 100, 0.1, 0.4, 0.5, 0.3, 0.5, 0.1, 0.1, 0.1, 3.6, 0.0, 0.0, -0.7
446, Damian Jones , CLE, 28, 37, 23, 14, 6.9, 2.8, 1.1, 1.8, 60.3, 0.1, 0.3, 16.7, 0.5, 0.6, 85.7, 0.5, 1.1, 1.7, 0.4, 0.4, 0.2, 0.4, 0.7, 6.6, 0.0, 0.0, -1.9
447, D.J. Carton , TOR, 23, 4, 2, 2, 8.9, 2.8, 0.8, 2.0, 37.5, 0.3, 1.0, 25.0, 1.0, 1.3, 80.0, 0.5, 0.5, 1.0, 0.8, 0.3, 0.3, 0.0, 0.8, 5.6, 0.0, 0.0, -7.8
448, JT Thor , CHA, 21, 59, 14, 45, 11.9, 2.7, 1.1, 2.7, 40.1, 0.4, 1.2, 32.4, 0.2, 0.3, 56.3, 0.7, 1.5, 2.1, 0.4, 0.2, 0.2, 0.4, 0.9, 7.4, 0.0, 0.0, -1.2
449, Kenneth Lofton Jr. , UTA, 21, 18, 5, 13, 6.6, 2.7, 1.0, 2.8, 36.0, 0.2, 0.8, 28.6, 0.4, 0.8, 53.3, 0.2, 0.9, 1.1, 0.8, 0.4, 0.2, 0.2, 0.8, 5.7, 0.0, 0.0, -0.7
450, Moussa Diabate , LAC, 22, 11, 7, 4, 5.8, 2.6, 0.9, 1.7, 52.6, 0.0, 0.0, 0.0, 0.8, 1.3, 64.3, 1.4, 0.8, 2.2, 0.4, 0.2, 0.5, 0.1, 0.4, 7.3, 0.0, 0.0, -0.2
451, Emoni Bates , CLE, 20, 13, 7, 6, 7.8, 2.6, 0.9, 2.8, 32.4, 0.7, 2.2, 32.1, 0.1, 0.3, 25.0, 0.1, 0.8, 0.8, 0.5, 0.2, 0.1, 0.2, 0.4, 5.0, 0.0, 0.0, -4.5
452, Otto Porter Jr. , TOR, 30, 15, 6, 9, 11.6, 2.6, 0.9, 2.2, 42.4, 0.5, 1.5, 34.8, 0.2, 0.2, 100, 0.4, 1.5, 1.9, 0.5, 0.1, 0.3, 0.3, 1.3, 7.6, 0.0, 0.0, 1.5
453, Alex Len , SAC, 30, 44, 23, 21, 9.2, 2.6, 1.1, 1.8, 61.5, 0.0, 0.1, 0.0, 0.4, 0.7, 60.0, 1.0, 1.8, 2.8, 1.0, 0.5, 0.3, 0.7, 1.3, 9.7, 0.0, 0.0, 3.1
454, Johnny Davis , WAS, 22, 47, 8, 39, 11.5, 2.6, 1.1, 2.9, 37.2, 0.2, 0.7, 26.5, 0.2, 0.4, 58.8, 0.4, 1.0, 1.4, 0.6, 0.2, 0.3, 0.2, 1.0, 6.6, 0.0, 0.0, -2.9
455, Dalen Terry , CHI, 21, 55, 25, 30, 10.8, 2.6, 1.0, 2.4, 40.8, 0.3, 1.2, 21.2, 0.4, 0.6, 61.8, 0.4, 1.3, 1.8, 1.3, 0.5, 0.4, 0.2, 1.2, 8.1, 0.0, 0.0, 0.7
456, Harry Giles III , LAL, 25, 22, 10, 12, 4.5, 2.5, 1.0, 2.3, 46.0, 0.1, 0.6, 21.4, 0.3, 0.6, 53.8, 0.5, 0.7, 1.3, 0.3, 0.3, 0.1, 0.1, 0.7, 4.9, 0.0, 0.0, -1.6
456, Markieff Morris , DAL, 34, 22, 13, 9, 7.9, 2.5, 0.9, 2.5, 37.0, 0.6, 1.5, 38.2, 0.1, 0.2, 75.0, 0.2, 1.2, 1.4, 0.5, 0.5, 0.2, 0.0, 0.5, 5.4, 0.0, 0.0, -1.9
458, Furkan Korkmaz , PHI, 26, 35, 22, 13, 8.6, 2.5, 0.9, 2.2, 39.5, 0.4, 1.1, 35.0, 0.4, 0.6, 70.0, 0.1, 0.7, 0.9, 0.7, 0.3, 0.4, 0.1, 0.5, 5.8, 0.0, 0.0, 1.3
459, Greg Brown III , DAL, 22, 6, 3, 3, 6.6, 2.5, 0.8, 1.8, 45.5, 0.2, 0.5, 33.3, 0.7, 1.5, 44.4, 0.5, 1.0, 1.5, 0.7, 0.7, 0.0, 0.7, 0.8, 6.6, 0.0, 0.0, -1.5
459, Nate Williams , HOU, 25, 20, 9, 11, 5.4, 2.5, 1.1, 2.1, 51.2, 0.1, 0.2, 25.0, 0.4, 0.5, 70.0, 0.6, 0.5, 1.0, 0.4, 0.1, 0.2, 0.0, 0.5, 4.6, 0.0, 0.0, 0.8
461, Boban Marjanovic , HOU, 35, 13, 8, 5, 4.5, 2.5, 0.9, 2.0, 46.2, 0.0, 0.2, 0.0, 0.6, 0.8, 72.7, 0.5, 1.3, 1.8, 0.4, 0.2, 0.0, 0.1, 0.4, 5.3, 0.0, 0.0, -2.2
