IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
21, Naz Reid , MIN, 24, 77, 54, 23, 24.4, 111.4, 104.6, 6.8, 8.4, 0.96, 9.4, 3.9, 17.0, 10.6, 9.8, 58.3, 60.2, 22.0, 99.90, 11.8, 3914
21, Pascal Siakam , IND, 30, 77, 36, 41, 33.4, 116.9, 115.2, 1.8, 19.4, 2.48, 18.1, 5.0, 15.9, 10.5, 7.3, 56.7, 59.9, 25.0, 100.85, 13.2, 5403
30, Ayo Dosunmu , CHI, 24, 76, 37, 39, 29.1, 111.6, 114.9, -3.3, 15.7, 2.35, 21.8, 2.4, 7.2, 4.8, 9.3, 58.3, 60.4, 16.8, 98.13, 8.3, 4520
30, DeMar DeRozan , CHI, 34, 76, 36, 40, 37.7, 113.2, 114.4, -1.2, 22.0, 3.15, 19.5, 1.4, 10.0, 5.7, 6.2, 50.3, 58.1, 25.0, 97.99, 12.7, 5851
30, Luguentz Dort , OKC, 24, 76, 51, 25, 28.6, 119.5, 112.3, 7.2, 6.0, 1.43, 12.1, 3.6, 9.0, 6.4, 8.4, 55.5, 59.1, 15.1, 101.98, 5.9, 4613
30, Moritz Wagner , ORL, 26, 76, 45, 31, 17.6, 114.2, 111.1, 3.1, 11.0, 1.01, 11.7, 8.8, 16.9, 12.9, 11.6, 63.1, 67.2, 22.0, 98.78, 13.8, 2763
30, Paolo Banchero , ORL, 21, 76, 45, 31, 34.9, 112.2, 111.6, 0.6, 25.1, 1.72, 18.4, 2.9, 17.3, 10.0, 10.7, 50.2, 54.9, 29.1, 98.22, 13.4, 5430
30, Peyton Watson , DEN, 21, 76, 53, 23, 18.4, 109.2, 110.0, -0.8, 7.8, 1.40, 12.8, 3.7, 11.8, 8.0, 9.2, 51.8, 54.2, 16.2, 98.94, 7.5, 2855
36, Aaron Holiday , HOU, 27, 75, 37, 38, 16.2, 110.1, 107.7, 2.4, 15.9, 2.70, 22.6, 1.6, 7.6, 4.5, 8.4, 54.6, 57.7, 15.5, 102.24, 7.8, 2590
36, Anthony Edwards , MIN, 22, 75, 52, 23, 35.1, 115.7, 107.5, 8.2, 24.0, 1.68, 16.8, 2.0, 13.2, 7.8, 10.0, 52.0, 57.2, 31.4, 98.26, 14.5, 5405
36, Bogdan Bogdanovic , ATL, 31, 75, 35, 40, 30.4, 117.0, 114.0, 2.9, 14.6, 2.25, 16.2, 2.1, 9.3, 5.6, 7.2, 53.9, 56.9, 21.7, 101.45, 9.2, 4830
36, Brook Lopez , MIL, 36, 75, 46, 29, 30.7, 117.4, 111.9, 5.5, 7.1, 1.58, 12.6, 4.8, 11.3, 8.2, 8.0, 58.2, 60.8, 15.4, 102.55, 8.3, 4921
36, Cameron Payne , PHI, 29, 75, 43, 32, 16.6, 112.4, 114.0, -1.5, 22.2, 3.00, 25.8, 1.5, 7.3, 4.3, 8.6, 53.7, 56.4, 18.9, 100.54, 8.2, 2614
36, Coby White , CHI, 24, 75, 35, 40, 36.4, 114.5, 115.5, -1.0, 20.7, 2.44, 21.6, 1.5, 11.1, 6.3, 8.8, 53.2, 57.0, 22.3, 97.46, 9.9, 5549
36, Dejounte Murray , ATL, 27, 75, 34, 41, 35.6, 117.1, 119.5, -2.4, 27.2, 2.52, 22.2, 1.9, 12.9, 7.1, 8.8, 52.8, 55.6, 25.8, 101.45, 12.2, 5654
36, Kelly Olynyk , TOR, 32, 75, 31, 44, 22.4, 111.8, 118.6, -6.8, 27.8, 2.34, 32.7, 6.1, 16.5, 11.4, 14.0, 61.4, 65.8, 17.0, 102.01, 11.5, 3570
36, Kyle Anderson , MIN, 30, 75, 53, 22, 22.8, 110.5, 104.5, 6.0, 26.6, 3.65, 36.2, 3.5, 11.8, 7.8, 9.9, 48.2, 52.2, 14.0, 99.98, 10.1, 3548
36, Malik Beasley , MIL, 27, 75, 44, 31, 29.8, 118.8, 112.4, 6.3, 6.0, 2.02, 12.2, 1.8, 9.8, 5.9, 6.0, 60.1, 60.6, 14.2, 102.58, 6.5, 4783
36, Nikola Jokic , DEN, 29, 75, 52, 23, 34.6, 122.0, 110.5, 11.5, 39.7, 3.04, 27.9, 8.6, 27.3, 18.3, 9.2, 60.7, 64.6, 29.0, 98.12, 21.2, 5314
36, Royce O'Neale , PHX, 30, 75, 35, 40, 24.6, 113.3, 110.6, 2.6, 14.8, 2.89, 25.7, 3.0, 15.2, 9.1, 8.9, 54.4, 55.0, 13.4, 100.67, 8.0, 3862
36, Sam Hauser , BOS, 26, 75, 60, 15, 21.7, 120.5, 107.5, 13.0, 6.0, 2.35, 11.9, 2.4, 12.2, 7.5, 5.0, 63.6, 64.1, 14.2, 98.49, 8.6, 3327
36, Taurean Prince , LAL, 30, 75, 42, 33, 27.3, 113.7, 116.6, -2.9, 7.4, 1.69, 15.4, 1.0, 9.6, 5.4, 9.1, 57.0, 58.3, 13.4, 102.59, 5.6, 4369
36, Tim Hardaway Jr. , DAL, 32, 75, 47, 28, 27.3, 116.1, 115.8, 0.3, 9.3, 2.00, 11.0, 1.0, 10.5, 5.8, 5.5, 51.2, 54.5, 22.0, 102.20, 8.4, 4362
51, Aaron Wiggins , OKC, 25, 74, 51, 23, 15.5, 115.4, 112.2, 3.2, 9.3, 1.44, 15.4, 5.3, 9.4, 7.5, 10.7, 64.1, 66.0, 16.2, 100.57, 9.1, 2385
51, Anthony Davis , LAL, 31, 74, 43, 31, 35.5, 116.3, 114.0, 2.4, 15.0, 1.70, 13.9, 9.2, 25.2, 17.6, 8.2, 56.5, 61.9, 25.9, 102.09, 16.8, 5583
51, Grant Williams , CHA, 25, 74, 33, 41, 28.0, 110.4, 116.0, -5.6, 11.2, 1.57, 18.1, 4.0, 11.0, 7.4, 11.5, 55.8, 58.5, 15.6, 99.77, 6.5, 4310
51, Isaiah Joe , OKC, 24, 74, 50, 24, 18.8, 116.7, 108.6, 8.1, 9.2, 2.19, 15.1, 2.1, 9.8, 6.0, 6.9, 61.1, 62.9, 15.7, 103.23, 9.0, 3015
51, Jarrett Allen , CLE, 25, 74, 44, 30, 31.7, 115.1, 110.4, 4.6, 12.7, 1.74, 16.2, 10.2, 23.1, 16.8, 9.3, 62.7, 66.0, 19.1, 98.64, 14.9, 4808
51, Jeff Green , HOU, 37, 74, 36, 38, 16.8, 109.5, 112.9, -3.4, 7.6, 1.45, 12.5, 3.3, 9.6, 6.4, 8.6, 52.5, 58.6, 15.1, 100.66, 7.3, 2600
51, Jeremy Sochan , SAS, 20, 74, 18, 56, 29.6, 108.1, 115.0, -7.0, 16.1, 1.78, 20.3, 6.0, 15.3, 10.6, 11.4, 48.3, 51.3, 18.7, 101.92, 8.2, 4648
51, Klay Thompson , GSW, 34, 74, 39, 35, 29.6, 115.3, 116.0, -0.8, 11.0, 1.50, 12.0, 1.4, 9.3, 5.4, 8.0, 54.7, 57.2, 23.3, 101.88, 8.9, 4666
51, Myles Turner , IND, 28, 74, 43, 31, 27.1, 120.1, 115.4, 4.6, 6.3, 0.90, 7.8, 5.5, 19.6, 12.7, 8.7, 58.0, 62.1, 23.3, 102.44, 11.4, 4276
51, Norman Powell , LAC, 30, 74, 47, 27, 26.2, 118.2, 113.3, 4.9, 5.9, 1.23, 8.3, 0.8, 8.5, 4.8, 6.7, 60.0, 63.2, 19.4, 100.32, 8.9, 4059
51, Ochai Agbaji , TOR, 23, 74, 31, 43, 20.5, 110.3, 116.8, -6.5, 6.8, 1.31, 13.8, 4.4, 8.5, 6.5, 10.5, 49.0, 50.2, 13.2, 101.59, 4.7, 3216
62, D'Angelo Russell , LAL, 28, 73, 44, 29, 32.5, 116.1, 113.6, 2.6, 26.4, 2.99, 26.5, 1.2, 8.0, 4.8, 8.9, 56.4, 59.0, 22.6, 103.08, 10.4, 5116
62, Derrick Jones Jr. , DAL, 27, 73, 45, 28, 23.5, 113.9, 112.7, 1.1, 5.3, 1.10, 10.4, 4.4, 9.1, 6.8, 9.5, 56.9, 59.6, 14.5, 101.99, 6.9, 3649
62, Jaden Ivey , DET, 22, 73, 13, 60, 28.8, 110.5, 118.1, -7.6, 19.4, 1.58, 18.6, 3.9, 8.3, 6.0, 11.8, 49.1, 53.6, 24.3, 101.73, 7.7, 4457
62, Jalen Brunson , NYK, 27, 73, 45, 28, 35.3, 121.0, 112.7, 8.3, 31.3, 2.73, 20.6, 1.5, 8.8, 5.1, 7.5, 54.0, 58.8, 30.9, 96.78, 15.3, 5210
62, Jusuf Nurkic , PHX, 29, 73, 45, 28, 27.3, 120.3, 111.5, 8.8, 18.0, 1.69, 23.8, 11.6, 28.2, 20.3, 14.1, 52.5, 55.6, 19.0, 100.06, 11.9, 4162
62, Keegan Murray , SAC, 23, 73, 42, 31, 33.5, 116.1, 113.4, 2.7, 6.9, 1.98, 10.9, 3.9, 12.5, 8.0, 5.5, 55.0, 57.1, 17.7, 99.90, 8.1, 5085
62, Malaki Branham , SAS, 20, 73, 17, 56, 21.2, 107.0, 117.7, -10.7, 14.3, 1.72, 17.5, 1.7, 7.3, 4.4, 10.2, 50.9, 53.0, 19.2, 103.52, 6.3, 3337
62, Nikola Vucevic , CHI, 33, 73, 35, 38, 34.1, 112.2, 115.7, -3.4, 15.6, 2.08, 15.7, 8.0, 23.1, 15.5, 7.5, 51.3, 53.2, 23.4, 97.38, 12.5, 5050
62, Spencer Dinwiddie , LAL, 31, 73, 36, 37, 28.7, 116.8, 114.9, 1.9, 22.2, 3.98, 30.6, 1.4, 7.7, 4.5, 7.7, 48.6, 53.8, 16.2, 100.36, 7.6, 4380
62, Tre Jones , SAS, 24, 73, 18, 55, 27.6, 110.9, 112.5, -1.6, 29.9, 4.06, 38.7, 2.7, 10.0, 6.4, 9.5, 56.5, 60.1, 14.7, 102.57, 10.9, 4314
72, Cedi Osman , SAS, 29, 72, 17, 55, 17.6, 106.0, 119.2, -13.2, 13.1, 2.53, 20.8, 1.8, 12.2, 6.8, 8.2, 59.1, 60.1, 14.6, 104.29, 7.7, 2761
72, Deni Avdija , WAS, 23, 72, 14, 58, 29.9, 109.2, 115.9, -6.7, 17.3, 1.77, 21.0, 3.8, 19.2, 11.6, 11.8, 56.4, 60.0, 19.5, 105.00, 11.1, 4707
72, Drew Eubanks , PHX, 27, 72, 40, 32, 15.7, 109.0, 112.3, -3.3, 7.9, 1.02, 15.1, 9.1, 17.4, 13.5, 14.8, 61.8, 65.6, 12.9, 99.63, 10.0, 2341
72, Giannis Antetokounmpo , MIL, 29, 72, 44, 28, 35.3, 119.8, 113.4, 6.4, 31.4, 1.91, 19.5, 7.6, 23.8, 16.0, 10.2, 62.4, 64.9, 32.1, 102.21, 19.7, 5395
72, Herbert Jones , NOP, 25, 72, 43, 29, 30.3, 116.2, 110.9, 5.3, 11.1, 2.14, 20.8, 3.3, 8.2, 5.8, 9.7, 60.0, 64.1, 14.1, 98.89, 7.7, 4484
72, Isaiah Hartenstein , NYK, 25, 72, 44, 28, 25.1, 120.1, 110.3, 9.9, 12.2, 2.02, 26.1, 12.7, 20.3, 16.5, 12.9, 64.5, 67.3, 11.4, 98.03, 11.3, 3694
72, Jabari Smith Jr. , HOU, 20, 72, 36, 36, 31.8, 111.9, 113.9, -2.0, 6.7, 1.24, 10.1, 5.4, 19.6, 12.3, 8.1, 53.8, 57.3, 17.4, 99.86, 10.0, 4774
72, Jayson Tatum , BOS, 26, 72, 57, 15, 35.8, 122.4, 110.2, 12.2, 20.8, 1.91, 16.5, 2.6, 18.9, 11.1, 8.7, 55.2, 60.5, 29.7, 98.76, 15.6, 5300
72, Kentavious Caldwell-Pope , DEN, 31, 72, 51, 21, 31.8, 122.0, 110.8, 11.2, 9.0, 2.42, 20.5, 1.3, 6.1, 3.8, 8.5, 56.5, 60.2, 12.7, 98.05, 6.2, 4690
72, Malik Monk , SAC, 26, 72, 42, 30, 26.0, 115.1, 115.0, 0.1, 29.0, 2.47, 24.8, 1.4, 10.1, 5.6, 10.0, 52.6, 56.4, 24.7, 101.94, 11.0, 3979
72, Mike Conley , MIN, 36, 72, 51, 21, 28.8, 113.5, 107.3, 6.2, 29.2, 4.70, 36.9, 1.7, 7.9, 4.9, 7.9, 58.6, 61.9, 15.5, 97.46, 11.4, 4225
72, Pat Connaughton , MIL, 31, 72, 43, 29, 22.2, 115.4, 115.8, -0.4, 12.3, 3.35, 27.8, 3.0, 11.3, 7.2, 8.3, 56.1, 58.2, 10.5, 101.55, 6.7, 3393
72, Paul George , LAC, 33, 72, 47, 25, 34.1, 121.2, 112.4, 8.8, 15.7, 1.75, 14.8, 1.6, 13.8, 8.0, 8.4, 56.8, 61.1, 26.4, 97.41, 12.6, 4981
72, Rudy Gobert , MIN, 31, 72, 51, 21, 34.0, 114.7, 105.9, 8.7, 5.6, 0.84, 10.0, 11.7, 25.5, 19.0, 11.9, 65.3, 66.8, 15.2, 97.22, 13.4, 4951
86, Brandon Miller , CHA, 21, 71, 17, 54, 32.4, 108.8, 118.5, -9.8, 11.4, 1.33, 12.1, 2.5, 11.1, 6.7, 9.1, 52.3, 54.8, 23.4, 98.25, 8.3, 4703
86, Daniel Gafford , DAL, 25, 71, 28, 43, 24.7, 113.5, 116.0, -2.5, 8.2, 1.55, 15.4, 10.7, 18.6, 14.7, 9.9, 71.4, 72.2, 14.4, 103.59, 11.9, 3775
86, Derrick White , BOS, 29, 71, 58, 13, 32.7, 123.2, 109.5, 13.6, 21.1, 3.38, 27.2, 2.2, 10.0, 6.3, 8.0, 58.2, 61.5, 18.5, 99.58, 10.8, 4816
86, Fred VanVleet , HOU, 30, 71, 37, 34, 36.7, 114.1, 111.6, 2.5, 31.3, 4.72, 33.0, 1.1, 8.8, 4.9, 7.0, 52.2, 56.2, 19.0, 99.53, 11.5, 5411
86, Grayson Allen , PHX, 28, 71, 42, 29, 33.6, 119.3, 114.6, 4.7, 11.8, 2.38, 21.6, 2.0, 9.2, 5.8, 9.1, 65.4, 68.4, 14.2, 100.03, 8.6, 4973
86, Jaime Jaquez Jr. , MIA, 23, 71, 41, 30, 28.3, 112.6, 110.5, 2.0, 13.3, 1.69, 17.5, 4.0, 9.3, 6.7, 10.4, 53.5, 57.2, 18.1, 98.22, 8.3, 4103
86, Jalen Suggs , ORL, 22, 71, 42, 29, 26.9, 112.1, 110.4, 1.7, 14.8, 1.51, 18.4, 2.4, 9.5, 5.9, 12.2, 57.5, 59.8, 19.2, 99.85, 8.7, 3968
86, James Harden , LAC, 34, 71, 46, 25, 34.6, 120.7, 115.2, 5.5, 33.7, 3.31, 35.0, 1.5, 13.5, 7.8, 10.6, 54.3, 61.4, 20.2, 96.88, 13.1, 4969
86, Jonathan Kuminga , GSW, 21, 71, 37, 34, 26.3, 115.0, 112.0, 3.0, 12.0, 1.29, 12.3, 4.7, 12.7, 8.8, 9.6, 56.3, 60.0, 23.9, 102.07, 11.1, 3981
86, Kevin Durant , PHX, 35, 71, 41, 30, 37.1, 118.4, 113.6, 4.8, 22.0, 1.59, 17.3, 1.6, 15.7, 9.1, 10.9, 58.6, 63.1, 28.4, 100.35, 15.1, 5509
86, Kevon Looney , GSW, 28, 71, 41, 30, 16.2, 115.2, 114.8, 0.5, 15.1, 2.73, 30.3, 11.4, 22.7, 17.0, 11.1, 59.5, 61.8, 10.8, 99.69, 10.0, 2389
86, Keyonte George , UTA, 20, 71, 25, 46, 26.9, 109.6, 119.1, -9.6, 24.5, 1.84, 23.6, 0.7, 9.7, 5.2, 12.8, 47.5, 53.0, 22.2, 101.23, 8.1, 4039
86, Precious Achiuwa , NYK, 24, 71, 37, 34, 22.3, 111.4, 112.4, -0.9, 8.9, 1.19, 13.9, 11.1, 18.1, 14.5, 11.7, 52.9, 54.6, 15.9, 96.37, 9.5, 3171
86, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 34.4, 120.9, 110.5, 10.4, 29.0, 2.87, 19.7, 2.6, 12.8, 7.9, 6.9, 57.1, 63.8, 31.6, 102.24, 18.7, 5205
86, Stephen Curry , GSW, 36, 71, 41, 30, 32.7, 117.4, 114.9, 2.5, 23.6, 1.79, 17.3, 1.6, 11.4, 6.5, 9.6, 57.0, 61.4, 30.2, 102.03, 13.9, 4956
86, Terance Mann , LAC, 27, 71, 46, 25, 25.3, 117.3, 115.6, 1.6, 8.7, 2.58, 17.4, 4.8, 8.5, 6.7, 6.8, 57.5, 60.4, 13.3, 97.46, 6.7, 3636
102, Aaron Gordon , DEN, 28, 70, 47, 23, 31.6, 119.3, 111.1, 8.2, 14.3, 2.36, 21.0, 7.8, 13.0, 10.5, 8.9, 58.2, 60.4, 17.6, 98.07, 10.2, 4531
102, Brandin Podziemski , GSW, 21, 70, 38, 32, 26.7, 117.6, 111.5, 6.2, 17.8, 3.07, 27.8, 5.8, 14.9, 10.4, 9.1, 52.5, 53.5, 15.0, 100.45, 9.3, 3922
102, Clint Capela , ATL, 29, 70, 33, 37, 25.7, 115.6, 116.0, -0.4, 6.6, 1.19, 10.2, 16.0, 23.1, 19.3, 8.6, 56.9, 58.9, 16.7, 102.04, 12.1, 3821
102, Damian Lillard , MIL, 33, 70, 46, 24, 35.4, 119.6, 112.7, 6.9, 28.5, 2.67, 23.3, 1.4, 10.2, 6.0, 8.7, 51.2, 59.2, 27.4, 102.43, 13.3, 5291
102, De'Aaron Fox , SAC, 26, 70, 41, 29, 35.8, 116.6, 112.4, 4.2, 24.4, 2.16, 17.8, 2.5, 10.2, 6.2, 8.3, 53.1, 56.4, 30.0, 101.79, 12.7, 5317
102, Franz Wagner , ORL, 22, 70, 43, 27, 32.4, 112.3, 108.3, 4.0, 18.5, 1.93, 16.6, 3.2, 13.7, 8.4, 8.6, 52.5, 57.5, 25.0, 98.39, 13.0, 4652
102, Julian Champagnie , SAS, 22, 70, 16, 54, 19.3, 109.5, 114.3, -4.8, 9.2, 1.92, 17.3, 2.9, 11.3, 7.0, 9.0, 53.1, 56.5, 13.8, 102.91, 6.8, 2897
102, Kyle Kuzma , WAS, 28, 70, 13, 57, 32.6, 109.7, 120.8, -11.0, 20.1, 1.54, 15.6, 2.6, 17.0, 9.8, 10.1, 52.1, 54.7, 29.5, 103.56, 11.4, 4913
102, P.J. Washington , DAL, 25, 70, 28, 42, 30.6, 112.5, 115.7, -3.2, 8.6, 1.47, 12.6, 3.7, 14.6, 9.0, 8.6, 52.2, 54.1, 18.5, 100.69, 8.0, 4494
102, Toumani Camara , POR, 23, 70, 19, 51, 24.8, 106.9, 111.5, -4.6, 7.2, 1.04, 13.3, 7.3, 11.9, 9.5, 12.9, 51.6, 54.7, 13.4, 99.35, 6.5, 3589
112, Aaron Nesmith , IND, 24, 69, 39, 30, 27.8, 118.9, 115.1, 3.8, 6.8, 1.69, 12.6, 3.2, 10.3, 6.8, 7.4, 60.6, 62.9, 16.0, 102.35, 7.1, 4077
112, Dillon Brooks , HOU, 28, 69, 34, 35, 31.0, 113.3, 113.6, -0.3, 7.5, 1.35, 11.5, 2.2, 8.3, 5.2, 8.5, 51.8, 55.3, 17.6, 100.08, 5.8, 4444
112, Jabari Walker , POR, 21, 69, 18, 51, 23.5, 107.5, 116.5, -9.0, 6.4, 1.09, 10.1, 8.0, 21.9, 14.5, 9.3, 49.8, 54.5, 15.9, 98.63, 9.2, 3330
112, Jaden Hardy , DAL, 21, 69, 42, 27, 13.3, 109.4, 114.9, -5.5, 16.8, 1.98, 16.1, 1.8, 10.6, 6.1, 8.1, 49.5, 52.0, 23.4, 103.52, 8.2, 1982
112, Keldon Johnson , SAS, 24, 69, 17, 52, 29.5, 108.5, 116.1, -7.7, 14.2, 1.95, 15.6, 4.3, 13.5, 8.8, 8.0, 52.7, 56.5, 21.2, 103.68, 9.8, 4399
112, Patrick Beverley , MIL, 35, 69, 41, 28, 19.7, 110.4, 112.4, -2.1, 20.2, 3.13, 30.1, 3.1, 12.0, 7.6, 9.6, 48.3, 52.6, 14.2, 98.70, 8.1, 2781
112, Victor Wembanyama , SAS, 20, 69, 17, 52, 29.5, 107.8, 111.2, -3.4, 21.1, 1.04, 14.6, 7.5, 27.5, 17.5, 14.0, 51.9, 56.6, 31.1, 103.45, 16.2, 4395
119, Alex Caruso , CHI, 30, 68, 33, 35, 28.4, 110.4, 110.2, 0.2, 16.2, 2.32, 25.3, 3.1, 10.2, 6.7, 10.9, 58.9, 60.9, 14.7, 99.29, 8.8, 3987
119, Davion Mitchell , SAC, 25, 68, 40, 28, 14.9, 108.9, 113.1, -4.2, 16.6, 3.10, 26.1, 1.7, 7.2, 4.4, 8.4, 55.2, 56.7, 14.4, 99.97, 6.4, 2112
119, Devin Vassell , SAS, 23, 68, 17, 51, 33.1, 108.5, 114.6, -6.0, 19.2, 2.56, 18.3, 1.2, 10.2, 5.6, 7.1, 55.0, 57.8, 22.9, 102.42, 11.2, 4795
119, Dorian Finney-Smith , BKN, 30, 68, 28, 40, 28.4, 111.0, 113.2, -2.2, 7.7, 1.81, 15.3, 5.3, 10.7, 7.9, 8.4, 53.5, 54.6, 13.2, 98.25, 6.2, 3951
119, Duncan Robinson , MIA, 29, 68, 38, 30, 28.0, 111.5, 111.0, 0.5, 15.1, 2.02, 19.3, 0.8, 8.4, 4.6, 9.5, 58.9, 61.2, 18.4, 98.06, 8.2, 3901
119, Gary Trent Jr. , TOR, 25, 68, 24, 44, 28.1, 113.8, 117.8, -4.0, 8.3, 2.63, 11.5, 1.2, 8.3, 4.7, 4.4, 53.9, 55.5, 19.3, 100.20, 7.8, 3981
