IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
1, Buddy Hield , PHI, 31, 81, 43, 38, 25.9, 116.7, 116.4, 0.3, 14.4, 2.31, 19.8, 2.6, 9.6, 6.0, 8.6, 56.4, 57.6, 18.5, 101.65, 8.2, 4449
2, Austin Reaves , LAL, 25, 79, 45, 34, 32.2, 114.4, 115.4, -0.9, 24.0, 2.59, 27.2, 2.2, 10.9, 6.8, 10.5, 56.1, 60.9, 19.8, 101.99, 10.6, 5405
2, Dennis Schroder , BKN, 30, 79, 29, 50, 31.0, 112.5, 115.5, -3.0, 27.9, 3.15, 29.5, 1.5, 8.1, 4.8, 9.4, 51.0, 55.0, 20.1, 98.48, 9.4, 5034
2, Georges Niang , CLE, 30, 79, 46, 33, 22.3, 113.9, 114.2, -0.3, 7.7, 1.35, 12.0, 1.3, 13.8, 7.7, 8.9, 56.5, 58.1, 17.4, 98.57, 6.9, 3628
2, Mikal Bridges , BKN, 27, 79, 31, 48, 35.2, 111.3, 114.5, -3.1, 16.3, 1.79, 15.8, 2.3, 10.7, 6.4, 8.8, 52.2, 56.2, 24.0, 98.46, 10.6, 5712
2, Obi Toppin , IND, 26, 79, 45, 34, 21.3, 119.9, 116.6, 3.3, 8.6, 1.77, 15.1, 4.9, 13.7, 9.3, 8.5, 66.2, 67.7, 15.7, 104.98, 9.9, 3675
2, Paul Reed , PHI, 24, 79, 44, 35, 19.4, 116.6, 112.3, 4.3, 9.4, 1.62, 15.9, 11.6, 19.4, 15.4, 9.8, 56.0, 58.0, 15.5, 97.71, 10.2, 3101
8, Andre Drummond , CHI, 30, 78, 37, 41, 17.3, 114.1, 113.3, 0.7, 4.1, 0.46, 5.3, 18.7, 33.2, 25.7, 11.6, 55.4, 57.4, 20.1, 97.98, 15.4, 2751
8, Bobby Portis , MIL, 29, 78, 47, 31, 24.4, 116.2, 116.2, 0.0, 7.5, 1.19, 8.6, 7.0, 22.5, 14.8, 7.3, 55.6, 57.5, 22.3, 100.63, 11.9, 3988
8, Cason Wallace , OKC, 20, 78, 53, 25, 20.7, 113.9, 112.0, 1.9, 9.1, 2.49, 18.8, 3.3, 7.7, 5.6, 7.6, 60.7, 61.7, 12.8, 101.24, 7.0, 3400
8, Chet Holmgren , OKC, 21, 78, 53, 25, 29.8, 118.0, 109.6, 8.4, 11.2, 1.52, 14.3, 5.4, 19.7, 13.0, 9.4, 59.5, 63.0, 21.0, 102.75, 13.1, 4964
8, Christian Braun , DEN, 22, 78, 54, 24, 19.9, 109.5, 109.8, -0.3, 10.4, 2.27, 17.5, 4.5, 12.6, 8.6, 7.7, 51.7, 54.7, 15.0, 99.06, 8.0, 3189
8, Collin Sexton , UTA, 25, 78, 29, 49, 26.6, 117.0, 120.4, -3.4, 28.3, 2.32, 22.0, 3.3, 6.4, 4.9, 9.5, 54.9, 60.7, 26.7, 101.71, 12.0, 4399
8, Domantas Sabonis , SAC, 27, 78, 45, 33, 35.8, 116.0, 115.3, 0.7, 33.6, 2.51, 30.9, 9.7, 29.8, 19.4, 12.3, 61.1, 63.8, 22.0, 99.66, 17.1, 5801
8, Harrison Barnes , SAC, 31, 78, 45, 33, 28.8, 113.6, 115.9, -2.3, 5.3, 1.59, 9.9, 2.6, 7.7, 5.0, 6.2, 58.0, 61.2, 15.3, 100.81, 7.1, 4726
8, Jalen Green , HOU, 22, 78, 38, 40, 31.9, 114.0, 113.9, 0.1, 17.2, 1.54, 14.9, 1.5, 14.2, 7.8, 9.7, 49.9, 54.4, 27.1, 100.25, 11.2, 5217
8, Jonas Valanciunas , NOP, 31, 78, 46, 32, 23.7, 117.3, 113.4, 3.9, 12.5, 1.57, 15.6, 10.1, 27.0, 18.8, 10.0, 59.0, 62.5, 20.5, 98.61, 13.7, 3796
8, Nickeil Alexander-Walker , MIN, 25, 78, 54, 24, 23.5, 113.1, 105.5, 7.6, 14.4, 2.69, 24.5, 1.9, 6.7, 4.4, 9.1, 56.3, 58.1, 14.0, 100.02, 7.0, 3817
8, Payton Pritchard , BOS, 26, 78, 62, 16, 21.9, 122.2, 109.1, 13.1, 19.7, 4.45, 27.7, 3.8, 10.1, 7.0, 6.2, 57.4, 58.7, 16.2, 97.03, 9.7, 3427
8, Reggie Jackson , DEN, 33, 78, 54, 24, 22.2, 112.4, 110.8, 1.6, 24.2, 2.93, 25.7, 1.8, 6.4, 4.2, 8.8, 50.6, 52.7, 20.8, 99.49, 8.3, 3598
21, Cole Anthony , ORL, 23, 77, 46, 31, 22.6, 112.2, 109.7, 2.5, 19.9, 1.90, 19.4, 3.6, 14.2, 8.9, 10.2, 49.2, 54.2, 23.1, 97.51, 10.8, 3549
21, Corey Kispert , WAS, 25, 77, 15, 62, 25.4, 108.0, 118.8, -10.7, 10.3, 1.48, 13.2, 1.3, 9.1, 5.2, 8.9, 60.1, 61.9, 19.1, 103.68, 8.3, 4244
21, Donte DiVincenzo , NYK, 27, 77, 46, 31, 28.4, 117.6, 113.8, 3.8, 13.5, 1.93, 15.6, 2.7, 10.2, 6.3, 8.1, 58.4, 59.7, 21.1, 97.27, 9.9, 4422
21, Jordan Poole , WAS, 24, 77, 15, 62, 30.0, 108.3, 119.3, -11.0, 21.0, 1.81, 19.0, 1.3, 7.4, 4.3, 10.5, 49.0, 52.9, 25.6, 104.73, 7.6, 5051
21, Josh Giddey , OKC, 21, 77, 53, 24, 25.2, 119.7, 112.2, 7.5, 25.0, 2.33, 26.4, 5.9, 18.9, 12.7, 11.3, 52.4, 54.7, 22.3, 102.17, 12.2, 4145
21, Josh Hart , NYK, 29, 77, 45, 32, 33.1, 116.7, 110.4, 6.3, 16.6, 2.83, 28.3, 4.6, 20.1, 12.1, 10.0, 48.3, 51.1, 13.3, 95.82, 9.7, 5083
21, Michael Porter Jr. , DEN, 25, 77, 54, 23, 31.8, 119.7, 112.0, 7.6, 6.4, 1.32, 9.1, 4.3, 17.9, 11.2, 6.9, 59.1, 60.6, 20.1, 97.95, 10.7, 5010
