PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
19, Anthony Davis , LAL, 31, 67, 38, 29, 35.6, 24.6, 9.4, 16.9, 55.8, 0.3, 1.2, 28.0, 5.4, 6.7, 81.2, 3.1, 9.4, 12.5, 3.6, 2.0, 1.2, 2.4, 2.4, 53.7, 56.0, 2.0, 1.1
20, Damian Lillard , MIL, 33, 66, 46, 20, 35.1, 24.4, 7.5, 17.5, 42.8, 3.1, 8.6, 36.0, 6.4, 6.9, 92.7, 0.5, 3.9, 4.4, 7.0, 2.6, 1.0, 0.2, 1.8, 41.4, 12.0, 0.0, 6.0
21, Julius Randle , NYK, 29, 46, 29, 17, 35.4, 24.0, 8.6, 18.2, 47.2, 1.7, 5.3, 31.1, 5.1, 6.6, 78.1, 2.2, 7.0, 9.2, 5.0, 3.5, 0.5, 0.3, 2.7, 41.4, 18.0, 1.0, 4.7
22, LaMelo Ball , CHA, 22, 22, 7, 15, 32.3, 23.9, 8.3, 19.2, 43.3, 3.2, 9.0, 35.5, 4.1, 4.7, 86.5, 1.3, 3.8, 5.1, 8.0, 3.8, 1.8, 0.2, 3.6, 44.3, 7.0, 1.0, -6.3
23, Desmond Bane , MEM, 25, 40, 14, 26, 34.3, 23.9, 8.7, 18.6, 46.4, 3.3, 8.6, 38.0, 3.3, 3.9, 86.4, 0.9, 3.6, 4.5, 5.3, 2.6, 1.0, 0.6, 2.8, 39.3, 2.0, 0.0, -4.3
24, Kawhi Leonard , LAC, 32, 64, 41, 23, 34.1, 23.7, 8.9, 17.0, 52.5, 2.1, 5.0, 41.9, 3.8, 4.3, 88.7, 1.2, 4.9, 6.0, 3.6, 1.7, 1.6, 0.8, 1.4, 42.1, 3.0, 1.0, 6.0
25, Jaylen Brown , BOS, 27, 63, 49, 14, 33.4, 23.4, 9.0, 17.9, 50.4, 2.1, 5.9, 35.8, 3.2, 4.5, 70.2, 1.2, 4.4, 5.6, 3.6, 2.3, 1.1, 0.5, 2.6, 38.0, 5.0, 1.0, 6.8
26, DeMar DeRozan , CHI, 34, 69, 33, 36, 37.6, 23.2, 7.9, 16.5, 47.5, 0.9, 2.8, 33.3, 6.6, 7.6, 86.3, 0.6, 3.7, 4.3, 5.3, 1.5, 1.0, 0.6, 2.1, 39.7, 6.0, 0.0, -1.4
27, Lauri Markkanen , UTA, 26, 53, 22, 31, 32.9, 23.0, 7.7, 16.1, 47.9, 3.1, 8.0, 39.2, 4.4, 5.0, 89.4, 2.2, 6.0, 8.2, 2.0, 1.4, 0.9, 0.5, 1.8, 38.6, 19.0, 0.0, 0.5
28, Paolo Banchero , ORL, 21, 69, 41, 28, 34.8, 22.6, 8.1, 17.4, 46.6, 1.5, 4.2, 36.5, 4.9, 6.9, 71.2, 1.0, 5.7, 6.8, 5.4, 3.1, 1.0, 0.6, 2.0, 40.2, 14.0, 2.0, 0.1
29, Jaren Jackson Jr. , MEM, 24, 61, 20, 41, 32.2, 22.6, 7.8, 17.5, 44.7, 1.8, 5.6, 32.7, 5.1, 6.3, 80.8, 1.2, 4.3, 5.5, 2.3, 2.5, 1.1, 1.6, 3.6, 38.3, 5.0, 0.0, -4.3
30, Anfernee Simons , POR, 24, 46, 11, 35, 34.4, 22.6, 7.8, 18.2, 43.0, 3.4, 8.8, 38.5, 3.5, 3.9, 91.6, 0.5, 3.2, 3.6, 5.5, 2.7, 0.5, 0.1, 2.1, 34.3, 3.0, 0.0, -7.2
31, Zion Williamson , NOP, 23, 60, 37, 23, 30.9, 22.6, 8.9, 15.2, 58.6, 0.1, 0.2, 35.7, 4.7, 6.7, 70.0, 1.8, 4.1, 5.9, 5.0, 2.7, 0.9, 0.6, 2.3, 39.0, 10.0, 0.0, 2.5
32, Paul George , LAC, 33, 64, 41, 23, 34.1, 22.5, 7.9, 16.9, 46.8, 3.3, 8.2, 40.5, 3.4, 3.8, 89.6, 0.5, 4.8, 5.3, 3.6, 2.0, 1.6, 0.5, 2.8, 38.3, 1.0, 0.0, 6.5
