IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
1, Buddy Hield , PHI, 31, 73, 38, 35, 26.3, 117.3, 116.9, 0.4, 14.7, 2.40, 20.2, 2.4, 9.9, 6.0, 8.4, 56.8, 57.9, 18.5, 102.02, 8.2, 4090
2, Obi Toppin , IND, 26, 72, 40, 32, 21.5, 119.7, 117.2, 2.5, 8.5, 1.78, 15.0, 4.8, 13.4, 9.1, 8.4, 65.1, 66.6, 15.7, 105.25, 9.4, 3398
3, Andre Drummond , CHI, 30, 71, 34, 37, 17.0, 113.5, 114.2, -0.7, 4.2, 0.44, 5.3, 18.5, 32.1, 25.1, 12.0, 55.0, 56.9, 20.2, 97.91, 14.9, 2462
3, Austin Reaves , LAL, 25, 71, 39, 32, 31.8, 115.1, 116.7, -1.6, 23.8, 2.57, 27.1, 2.1, 10.6, 6.6, 10.6, 57.4, 62.2, 19.8, 101.81, 10.7, 4796
3, Bobby Portis , MIL, 29, 71, 46, 25, 24.3, 117.6, 117.0, 0.6, 7.1, 1.14, 8.5, 6.8, 22.6, 14.8, 7.5, 55.5, 57.6, 22.1, 100.79, 11.6, 3621
3, Christian Braun , DEN, 22, 71, 50, 21, 19.4, 109.1, 110.4, -1.3, 10.1, 2.17, 16.9, 4.2, 12.9, 8.7, 7.8, 52.0, 55.0, 15.3, 98.89, 8.2, 2820
3, Collin Sexton , UTA, 25, 71, 29, 42, 26.1, 117.7, 119.6, -1.9, 28.0, 2.40, 22.1, 3.3, 6.5, 4.9, 9.2, 55.6, 61.3, 26.4, 102.12, 12.3, 3951
3, Dennis Schroder , BKN, 30, 71, 24, 47, 30.8, 112.5, 116.4, -3.8, 27.6, 3.09, 29.6, 1.3, 7.7, 4.5, 9.6, 51.2, 55.1, 19.9, 98.76, 9.1, 4502
3, Georges Niang , CLE, 30, 71, 43, 28, 22.5, 113.9, 113.5, 0.5, 7.7, 1.38, 12.2, 1.4, 14.1, 7.9, 8.9, 55.9, 57.7, 17.2, 98.55, 7.0, 3278
3, Jeremy Sochan , SAS, 20, 71, 15, 56, 29.6, 108.0, 115.3, -7.3, 16.5, 1.79, 20.7, 6.0, 14.9, 10.4, 11.6, 48.0, 51.0, 18.6, 101.95, 7.9, 4463
