IND, PLAYER, TEAM, AGE, GP, W, L, MIN, DEF_RTG, DREB, DREB%, %DREB, STL, STL%, BLK, %BLK, OPP_PTS/OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS
32, Chet Holmgren , OKC, 21, 70, 49, 21, 30.1, 109.6, 6.3, 19.4, 30.2, 0.7, 13.9, 2.4, 51.5, 8.4, 10.2, 7.8, 29.4, 0.126
33, Darius Garland , CLE, 24, 47, 26, 21, 33.2, 110.7, 2.0, 5.9, 8.8, 1.2, 24.0, 0.1, 3.3, 11.7, 9.4, 9.2, 31.5, 0.125
34, Kyle Anderson , MIN, 30, 68, 48, 20, 22.9, 105.2, 2.8, 11.9, 17.4, 0.9, 21.3, 0.5, 17.5, 7.9, 6.3, 6.0, 21.1, 0.125
35, Jrue Holiday , BOS, 33, 61, 48, 13, 33.1, 110.8, 4.2, 11.5, 16.9, 0.9, 20.7, 0.8, 17.7, 9.2, 9.4, 8.9, 32.0, 0.125
36, Jaylen Brown , BOS, 27, 63, 49, 14, 33.4, 111.1, 4.4, 12.1, 17.6, 1.1, 25.2, 0.5, 9.9, 9.4, 9.7, 9.5, 33.6, 0.125
37, Dean Wade , CLE, 27, 54, 36, 18, 20.5, 103.5, 3.4, 15.4, 22.3, 0.7, 21.5, 0.5, 21.0, 7.1, 4.6, 5.8, 20.1, 0.122
38, Scotty Pippen Jr. , MEM, 23, 10, 2, 8, 23.2, 105.6, 2.4, 10.0, 15.2, 1.4, 31.8, 0.5, 15.6, 10.1, 7.1, 9.1, 22.2, 0.121
39, Nickeil Alexander-Walker , MIN, 25, 71, 49, 22, 23.6, 106.2, 1.6, 6.6, 9.6, 0.8, 20.8, 0.5, 17.1, 7.5, 6.1, 6.1, 22.1, 0.121
40, Jaden McDaniels , MIN, 23, 61, 41, 20, 29.3, 109.7, 2.3, 7.6, 11.1, 0.9, 20.5, 0.6, 18.3, 9.6, 8.2, 7.4, 28.2, 0.118
41, Zion Williamson , NOP, 23, 60, 37, 23, 30.9, 110.9, 4.1, 12.7, 18.6, 0.9, 17.3, 0.6, 18.0, 10.5, 8.7, 9.7, 30.0, 0.118
42, Paolo Banchero , ORL, 21, 69, 41, 28, 34.8, 112.2, 5.7, 17.3, 25.1, 1.0, 16.0, 0.6, 14.9, 11.8, 9.0, 10.8, 35.2, 0.117
43, Herbert Jones , NOP, 25, 65, 41, 24, 29.7, 110.3, 2.5, 8.3, 11.9, 1.3, 26.7, 0.9, 25.6, 9.3, 7.8, 8.0, 28.1, 0.116
44, Al Horford , BOS, 37, 58, 46, 12, 27.0, 109.0, 5.2, 18.0, 25.6, 0.6, 16.9, 1.0, 26.3, 7.5, 6.8, 6.5, 26.7, 0.116
45, Damian Lillard , MIL, 33, 66, 46, 20, 35.1, 112.6, 3.9, 10.2, 14.8, 1.0, 20.6, 0.2, 6.0, 10.9, 9.7, 10.8, 38.6, 0.115
46, Kentavious Caldwell-Pope , DEN, 31, 65, 47, 18, 31.8, 111.4, 2.0, 6.0, 8.8, 1.4, 28.3, 0.6, 16.7, 10.2, 8.6, 9.4, 34.2, 0.114
47, Aaron Gordon , DEN, 28, 65, 45, 20, 31.5, 111.4, 4.1, 12.9, 18.5, 0.8, 16.3, 0.6, 19.5, 10.5, 8.2, 9.3, 34.8, 0.113
48, Alex Caruso , CHI, 30, 62, 30, 32, 28.0, 110.1, 2.9, 10.1, 15.4, 1.6, 34.0, 1.0, 34.6, 8.8, 7.9, 7.3, 24.9, 0.113
49, Paul George , LAC, 33, 64, 41, 23, 34.1, 112.3, 4.8, 13.8, 20.4, 1.6, 26.7, 0.5, 13.4, 10.1, 9.4, 9.6, 33.4, 0.113
50, Brook Lopez , MIL, 35, 68, 45, 23, 30.7, 111.4, 3.8, 11.3, 16.0, 0.6, 15.2, 2.5, 68.6, 9.6, 8.7, 9.5, 32.9, 0.111
51, De'Aaron Fox , SAC, 26, 62, 37, 25, 35.7, 113.3, 3.5, 10.0, 14.2, 2.0, 34.7, 0.4, 13.1, 12.0, 7.9, 9.0, 36.8, 0.111
52, Tyler Herro , MIA, 24, 36, 19, 17, 33.6, 112.7, 4.8, 14.1, 20.8, 0.8, 15.4, 0.1, 3.4, 11.8, 10.1, 10.6, 35.9, 0.110
53, CJ McCollum , NOP, 32, 55, 37, 18, 31.5, 111.7, 3.6, 11.5, 16.4, 1.0, 18.9, 0.7, 19.0, 9.6, 8.4, 8.8, 30.8, 0.110
54, Brandon Ingram , NOP, 26, 63, 38, 25, 33.0, 112.2, 4.4, 13.2, 18.8, 0.8, 14.9, 0.6, 18.9, 10.6, 8.7, 9.5, 32.1, 0.110
55, Duncan Robinson , MIA, 29, 63, 35, 28, 28.5, 110.6, 2.3, 8.3, 12.1, 0.7, 15.5, 0.2, 10.9, 9.0, 7.8, 7.7, 27.3, 0.109
56, Giannis Antetokounmpo , MIL, 29, 66, 43, 23, 35.0, 113.2, 8.7, 23.5, 34.1, 1.2, 23.9, 1.0, 27.0, 10.5, 9.3, 9.2, 36.8, 0.109
57, Victor Wembanyama , SAS, 20, 63, 14, 49, 29.0, 111.0, 8.1, 27.3, 38.8, 1.3, 27.2, 3.4, 70.2, 11.2, 7.6, 8.4, 31.2, 0.109
58, Jalen Brunson , NYK, 27, 65, 41, 24, 35.1, 113.2, 3.1, 8.8, 12.7, 0.9, 17.3, 0.2, 6.9, 10.5, 9.1, 11.2, 35.3, 0.108
59, Markelle Fultz , ORL, 25, 33, 20, 13, 21.6, 106.6, 2.0, 9.5, 13.7, 1.0, 23.8, 0.3, 17.9, 6.5, 5.5, 6.2, 21.0, 0.108
60, Isaac Okoro , CLE, 23, 62, 37, 25, 27.6, 110.4, 2.1, 7.3, 10.8, 0.9, 21.3, 0.5, 18.8, 9.9, 6.8, 7.7, 27.0, 0.108
61, Jamal Murray , DEN, 27, 54, 40, 14, 32.1, 112.3, 3.4, 10.3, 15.4, 1.0, 20.0, 0.6, 15.0, 11.2, 9.3, 9.7, 35.0, 0.107
62, Michael Porter Jr. , DEN, 25, 70, 50, 20, 31.8, 112.2, 5.7, 17.7, 25.3, 0.5, 10.8, 0.7, 21.3, 9.7, 8.0, 9.4, 33.9, 0.106
63, Tobias Harris , PHI, 31, 62, 36, 26, 34.0, 113.0, 5.2, 15.3, 22.8, 1.1, 18.2, 0.6, 12.8, 9.4, 9.3, 10.7, 36.2, 0.106
64, Tyrese Maxey , PHI, 23, 62, 38, 24, 37.3, 114.0, 3.1, 8.4, 12.7, 1.0, 15.8, 0.5, 9.7, 10.5, 10.9, 12.2, 39.9, 0.106
65, Kevin Durant , PHX, 35, 64, 37, 27, 37.2, 114.1, 6.1, 15.4, 23.0, 0.9, 15.9, 1.3, 29.0, 14.4, 11.5, 11.7, 39.8, 0.106
66, Wendell Carter Jr. , ORL, 24, 44, 25, 19, 26.1, 109.7, 4.9, 20.3, 28.4, 0.5, 12.1, 0.5, 26.1, 9.1, 6.0, 8.0, 24.2, 0.105
67, Julius Randle , NYK, 29, 46, 29, 17, 35.4, 113.8, 7.0, 19.8, 28.6, 0.5, 9.9, 0.3, 9.0, 11.7, 8.8, 11.7, 35.7, 0.105
68, Malik Beasley , MIL, 27, 68, 43, 25, 29.6, 111.7, 3.3, 10.1, 14.5, 0.8, 19.4, 0.1, 3.0, 8.8, 8.2, 9.1, 32.0, 0.105
69, Caris LeVert , CLE, 29, 59, 34, 25, 28.6, 111.4, 3.4, 11.6, 17.6, 1.1, 25.6, 0.5, 15.8, 9.2, 8.1, 8.1, 27.7, 0.103
70, Jaime Jaquez Jr. , MIA, 23, 64, 37, 27, 29.3, 111.7, 2.8, 9.5, 13.8, 1.1, 25.3, 0.2, 10.4, 9.6, 8.2, 7.7, 28.0, 0.103
71, Jonathan Isaac , ORL, 26, 49, 31, 18, 15.1, 100.7, 3.1, 19.7, 30.3, 0.7, 25.0, 1.2, 54.2, 4.6, 3.1, 4.1, 12.6, 0.102
72, Adama Sanogo , CHI, 22, 4, 1, 3, 2.9, 8.0, 1.0, 28.6, 40.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.102
73, Jaren Jackson Jr. , MEM, 24, 61, 20, 41, 32.2, 113.0, 4.3, 13.4, 20.3, 1.1, 20.4, 1.6, 37.2, 11.0, 9.8, 9.8, 31.8, 0.102
74, Sam Hauser , BOS, 26, 68, 55, 13, 21.4, 107.3, 2.9, 12.3, 17.9, 0.5, 16.1, 0.3, 10.5, 5.9, 5.8, 4.9, 20.9, 0.102
75, GG Jackson , MEM, 19, 37, 11, 26, 23.6, 109.1, 2.7, 10.9, 16.9, 0.5, 11.1, 0.5, 18.3, 10.0, 7.4, 8.2, 25.3, 0.101
76, Luguentz Dort , OKC, 24, 68, 47, 21, 28.3, 111.8, 2.7, 8.9, 13.6, 0.9, 18.5, 0.6, 15.8, 8.3, 9.0, 7.8, 27.3, 0.100
77, Jalen Suggs , ORL, 22, 64, 38, 26, 26.7, 111.2, 2.5, 10.0, 14.2, 1.4, 30.1, 0.6, 21.4, 10.0, 6.5, 8.4, 26.7, 0.100
78, Robert Covington , PHI, 33, 29, 20, 9, 16.8, 103.6, 2.3, 12.7, 19.8, 1.3, 36.8, 0.6, 32.7, 6.1, 5.0, 5.6, 16.0, 0.099
79, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 113.2, 6.4, 19.3, 28.1, 1.2, 24.1, 0.7, 27.7, 9.3, 9.2, 7.3, 31.8, 0.099
80, Isaiah Hartenstein , NYK, 25, 64, 40, 24, 25.0, 110.3, 5.1, 20.4, 29.2, 1.1, 26.8, 1.1, 47.7, 7.1, 6.0, 7.6, 24.2, 0.099
81, Vince Williams Jr. , MEM, 23, 52, 18, 34, 27.6, 111.4, 4.4, 16.3, 24.9, 0.9, 18.9, 0.7, 16.9, 9.9, 7.9, 7.9, 28.8, 0.099
82, Jose Alvarado , NOP, 25, 50, 34, 16, 17.8, 104.8, 1.8, 9.6, 14.8, 1.1, 29.5, 0.3, 17.6, 5.8, 4.9, 5.2, 16.3, 0.099
83, Dillon Brooks , HOU, 28, 61, 31, 30, 30.9, 112.8, 2.7, 8.4, 12.5, 0.9, 19.5, 0.1, 4.2, 10.0, 8.8, 6.8, 31.0, 0.098
84, De'Anthony Melton , PHI, 25, 36, 23, 13, 27.8, 111.9, 3.1, 11.0, 16.4, 1.6, 30.3, 0.4, 12.2, 8.4, 7.1, 8.6, 30.9, 0.098
85, DeMar DeRozan , CHI, 34, 69, 33, 36, 37.6, 114.9, 3.7, 10.1, 15.1, 1.0, 18.5, 0.6, 16.1, 11.7, 10.3, 9.9, 35.0, 0.098
86, Jabari Smith Jr. , HOU, 20, 65, 34, 31, 31.5, 113.0, 6.5, 19.8, 29.2, 0.7, 16.8, 0.7, 26.7, 9.1, 9.0, 7.1, 31.4, 0.098
87, LeBron James , LAL, 39, 62, 34, 28, 35.2, 114.2, 6.3, 16.9, 25.0, 1.2, 22.1, 0.6, 14.0, 12.2, 11.2, 11.5, 37.3, 0.098
88, Kyle Lowry , PHI, 38, 51, 26, 25, 28.3, 111.7, 2.8, 10.3, 15.3, 1.1, 23.2, 0.4, 15.3, 9.4, 7.3, 8.6, 26.8, 0.097
89, Devin Booker , PHX, 27, 57, 36, 21, 35.7, 114.4, 3.9, 10.3, 15.6, 0.9, 17.5, 0.4, 9.6, 12.9, 10.7, 10.4, 35.7, 0.097
90, T.J. Warren , MIN, 30, 7, 4, 3, 14.1, 101.4, 1.6, 11.7, 15.5, 0.4, 15.8, 0.1, 11.1, 4.4, 3.0, 4.3, 17.4, 0.095
91, Mikal Bridges , BKN, 27, 71, 26, 45, 35.2, 114.5, 3.9, 11.0, 16.4, 1.0, 20.0, 0.4, 9.4, 11.1, 10.4, 11.3, 35.8, 0.095
92, Keegan Murray , SAC, 23, 65, 38, 27, 33.1, 113.9, 4.1, 12.9, 18.2, 1.1, 18.7, 0.7, 27.7, 11.5, 7.1, 7.7, 34.4, 0.095
93, Draymond Green , GSW, 34, 45, 25, 20, 27.0, 111.9, 5.9, 20.3, 29.2, 0.8, 20.9, 0.9, 35.1, 9.1, 7.0, 8.4, 26.3, 0.095
94, Larry Nance Jr. , NOP, 31, 52, 31, 21, 19.3, 107.2, 3.6, 18.4, 27.5, 1.0, 27.8, 0.3, 20.2, 6.7, 5.1, 5.7, 18.4, 0.094
95, Naji Marshall , NOP, 26, 59, 39, 20, 19.1, 107.2, 2.9, 14.2, 21.2, 0.8, 21.4, 0.2, 10.9, 6.1, 5.3, 5.9, 17.8, 0.094
96, Jusuf Nurkic , PHX, 29, 67, 42, 25, 27.3, 112.0, 8.0, 28.2, 39.9, 1.0, 23.7, 1.0, 34.8, 10.0, 6.8, 8.2, 28.3, 0.093
97, Bradley Beal , PHX, 30, 42, 26, 16, 33.0, 114.2, 3.2, 9.5, 14.1, 0.9, 18.2, 0.4, 10.3, 12.9, 9.9, 10.9, 34.4, 0.093
98, Caleb Martin , MIA, 28, 54, 30, 24, 27.3, 111.9, 3.4, 12.7, 18.6, 0.8, 19.2, 0.4, 23.7, 8.3, 7.4, 6.7, 24.1, 0.093
99, Jalen Green , HOU, 22, 70, 35, 35, 31.3, 113.6, 4.5, 13.8, 20.2, 0.7, 16.9, 0.3, 12.6, 9.3, 8.9, 7.5, 32.1, 0.093
100, Gary Harris , ORL, 29, 46, 31, 15, 23.0, 109.9, 1.2, 5.3, 7.7, 0.8, 22.0, 0.3, 11.7, 7.4, 6.2, 6.4, 23.0, 0.092
101, Brandin Podziemski , GSW, 21, 62, 31, 31, 26.9, 111.9, 4.1, 14.7, 21.3, 0.9, 23.2, 0.2, 8.6, 9.0, 8.0, 8.1, 27.4, 0.092
102, Kyrie Irving , DAL, 32, 48, 30, 18, 34.4, 114.6, 4.3, 12.0, 18.5, 1.3, 25.7, 0.5, 12.6, 10.1, 10.5, 9.9, 36.8, 0.092
103, Cole Anthony , ORL, 23, 70, 42, 28, 23.0, 109.9, 3.1, 14.0, 21.3, 0.8, 21.3, 0.5, 17.5, 7.9, 5.9, 6.6, 22.1, 0.092
104, Desmond Bane , MEM, 25, 40, 14, 26, 34.3, 114.8, 3.6, 10.4, 15.2, 1.0, 19.3, 0.6, 13.1, 13.2, 9.9, 10.3, 32.3, 0.091
105, James Harden , LAC, 34, 63, 40, 23, 34.7, 114.7, 4.6, 13.1, 19.5, 1.1, 18.7, 0.9, 23.7, 10.8, 9.4, 10.0, 35.0, 0.091
106, Payton Pritchard , BOS, 26, 71, 57, 14, 21.5, 109.1, 2.3, 10.6, 15.6, 0.4, 15.3, 0.1, 3.1, 5.6, 5.5, 5.6, 21.4, 0.091
107, Luka Doncic , DAL, 25, 61, 38, 23, 37.4, 115.5, 8.2, 21.4, 32.0, 1.5, 27.2, 0.5, 13.9, 11.5, 10.6, 12.8, 40.4, 0.090
108, Dorian Finney-Smith , BKN, 30, 61, 23, 38, 28.4, 112.8, 3.0, 10.6, 15.7, 0.8, 20.5, 0.6, 19.6, 8.6, 8.1, 8.3, 28.6, 0.090
109, DeJon Jarreau , MEM, 26, 7, 2, 5, 17.1, 105.9, 4.7, 27.5, 35.9, 0.9, 27.3, 0.1, 12.5, 5.3, 3.3, 7.3, 15.1, 0.090
110, Royce O'Neale , PHX, 30, 68, 31, 37, 24.9, 111.4, 4.0, 15.3, 23.0, 0.7, 18.1, 0.6, 19.6, 9.3, 6.9, 7.8, 23.7, 0.090
111, Nikola Jovic , MIA, 20, 35, 17, 18, 18.1, 106.7, 3.4, 18.7, 25.8, 0.5, 15.5, 0.3, 23.5, 5.7, 5.3, 4.3, 18.3, 0.090
112, Jonathan Kuminga , GSW, 21, 69, 35, 34, 26.3, 112.1, 3.5, 12.5, 18.4, 0.7, 18.5, 0.5, 19.9, 8.8, 7.3, 8.1, 27.7, 0.090
113, Coby White , CHI, 24, 68, 32, 36, 36.6, 115.5, 4.1, 11.4, 16.8, 0.7, 13.4, 0.2, 7.0, 11.6, 10.2, 9.7, 34.4, 0.089
114, Anthony Davis , LAL, 31, 67, 38, 29, 35.6, 115.3, 9.4, 25.0, 36.5, 1.2, 21.4, 2.4, 54.1, 11.9, 10.8, 11.6, 36.9, 0.088
115, Jae'Sean Tate , HOU, 28, 60, 29, 31, 16.5, 105.7, 2.2, 13.0, 18.4, 0.7, 21.4, 0.2, 15.7, 4.8, 4.7, 3.7, 15.5, 0.088
116, D'Angelo Russell , LAL, 28, 65, 38, 27, 32.1, 114.5, 2.6, 7.6, 11.3, 0.8, 17.2, 0.5, 12.1, 9.8, 10.6, 10.3, 35.4, 0.087
117, Josh Giddey , OKC, 21, 69, 49, 20, 24.6, 111.6, 4.8, 18.3, 28.1, 0.7, 17.2, 0.5, 14.5, 7.1, 8.3, 6.8, 25.6, 0.087
118, Toumani Camara , POR, 23, 68, 19, 49, 24.6, 111.7, 2.9, 12.1, 18.4, 0.9, 22.6, 0.5, 21.7, 9.8, 7.0, 8.8, 26.4, 0.087
119, Zach LaVine , CHI, 29, 25, 10, 15, 34.9, 115.3, 4.8, 13.4, 20.9, 0.8, 16.5, 0.3, 10.3, 9.8, 11.2, 9.8, 30.7, 0.087
120, Amen Thompson , HOU, 21, 51, 24, 27, 20.6, 109.7, 4.0, 18.9, 27.1, 1.2, 28.9, 0.6, 28.6, 6.7, 5.2, 6.0, 20.9, 0.087
121, Chris Paul , GSW, 38, 46, 23, 23, 26.5, 112.4, 3.6, 12.7, 19.5, 1.2, 28.6, 0.1, 3.2, 8.5, 8.3, 7.2, 26.5, 0.087
122, Ivica Zubac , LAC, 27, 58, 35, 23, 26.2, 112.2, 6.2, 22.9, 33.2, 0.3, 7.4, 1.2, 45.5, 8.1, 7.1, 7.6, 24.6, 0.087
123, Dereon Seabron , NOP, 23, 6, 3, 3, 9.2, 92.5, 1.0, 8.2, 12.5, 0.3, 33.3, 0.2, 16.7, 4.0, 2.2, 1.8, 8.7, 0.087
124, Mitchell Robinson , NYK, 25, 21, 12, 9, 29.2, 113.7, 5.0, 17.9, 25.5, 1.5, 33.7, 1.3, 71.1, 10.1, 7.2, 9.8, 29.2, 0.086
125, Grayson Allen , PHX, 28, 65, 39, 26, 33.7, 115.1, 3.2, 8.9, 13.3, 0.9, 18.5, 0.6, 16.2, 12.8, 10.1, 10.0, 35.8, 0.086
126, Eric Gordon , PHX, 35, 58, 35, 23, 28.9, 113.7, 1.7, 5.4, 8.4, 0.9, 21.0, 0.5, 11.8, 11.6, 9.4, 8.4, 30.8, 0.085
127, Devin Vassell , SAS, 23, 65, 14, 51, 32.8, 114.8, 3.4, 10.3, 15.1, 1.0, 19.9, 0.4, 8.0, 13.4, 9.8, 9.9, 39.3, 0.085
128, Jarred Vanderbilt , LAL, 24, 29, 14, 15, 20.0, 109.4, 3.3, 16.4, 24.1, 1.2, 29.5, 0.2, 8.1, 7.8, 5.9, 7.0, 19.9, 0.085
129, Ryan Rollins , MIL, 21, 10, 1, 9, 6.6, 82.0, 0.9, 11.8, 20.9, 0.8, 36.4, 0.3, 20.0, 1.5, 1.8, 1.6, 4.8, 0.085
130, Kaiser Gates , NOP, 27, 1, 0, 1, 7.4, 88.2, 1.0, 9.1, 20.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 6.0, 0.084
131, Domantas Sabonis , SAC, 27, 70, 41, 29, 35.9, 115.8, 10.2, 29.8, 41.7, 0.9, 15.4, 0.6, 21.6, 12.3, 7.7, 8.8, 37.6, 0.083
132, Isaiah Stewart , DET, 22, 46, 9, 37, 30.9, 114.5, 5.0, 16.1, 22.8, 0.4, 9.6, 0.8, 24.7, 12.7, 8.7, 8.2, 34.3, 0.083
133, Tre Mann , CHA, 23, 29, 17, 12, 21.2, 109.9, 3.1, 14.7, 22.4, 1.0, 29.1, 0.0, 0.0, 6.5, 6.3, 5.9, 21.2, 0.083
134, Tre Jones , SAS, 24, 66, 14, 52, 26.9, 113.1, 2.7, 9.8, 14.4, 1.0, 23.1, 0.1, 2.8, 10.2, 7.9, 7.4, 30.4, 0.083
135, Matt Ryan , NOP, 26, 22, 12, 10, 16.5, 107.1, 1.5, 8.2, 13.1, 0.3, 10.2, 0.0, 2.7, 6.9, 5.6, 5.0, 18.1, 0.083
136, Nicolas Batum , PHI, 35, 49, 28, 21, 24.8, 112.2, 2.9, 11.4, 17.4, 0.8, 18.4, 0.7, 20.2, 7.2, 7.0, 6.8, 26.5, 0.083
137, Quentin Grimes , DET, 23, 51, 32, 19, 20.1, 109.1, 1.7, 8.0, 11.9, 0.7, 24.0, 0.1, 8.0, 6.1, 5.7, 6.2, 20.4, 0.083
138, Isaiah Joe , OKC, 24, 66, 46, 20, 18.2, 108.2, 1.8, 9.7, 15.4, 0.6, 16.2, 0.3, 12.6, 6.3, 5.5, 4.1, 16.4, 0.082
139, Scottie Barnes , TOR, 22, 60, 22, 38, 34.9, 115.8, 5.9, 16.7, 25.1, 1.3, 22.8, 1.5, 38.1, 11.4, 10.8, 9.0, 38.8, 0.082
140, Nikola Vucevic , CHI, 33, 66, 32, 34, 34.5, 115.7, 7.8, 22.8, 33.8, 0.7, 13.7, 0.8, 24.4, 11.0, 9.5, 9.4, 32.4, 0.082
141, Donte DiVincenzo , NYK, 27, 69, 42, 27, 27.2, 113.6, 2.7, 10.1, 14.6, 1.3, 29.2, 0.4, 16.0, 8.5, 7.0, 8.2, 26.7, 0.081
