IND, PLAYER, TEAM, AGE, GP, W, L, MIN, DEF_RTG, DREB, DREB%, %DREB, STL, STL%, BLK, %BLK, OPP_PTS/OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS
1, Mason Jones , SAC, 25, 1, 0, 1, 13.0, 63.0, 3.0, 20.0, 27.3, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.224
2, Rudy Gobert , MIN, 31, 65, 46, 19, 34.0, 106.1, 9.2, 25.6, 36.6, 0.6, 12.5, 2.1, 50.5, 11.8, 8.8, 9.2, 30.8, 0.170
3, Donovan Mitchell , CLE, 27, 49, 33, 16, 35.4, 107.4, 4.4, 11.9, 17.5, 1.8, 29.6, 0.5, 13.4, 11.5, 9.6, 10.1, 34.5, 0.169
4, OG Anunoby , NYK, 26, 44, 26, 18, 34.1, 107.2, 3.4, 9.5, 13.5, 1.3, 23.6, 0.7, 20.1, 10.9, 9.3, 9.7, 34.8, 0.167
5, Maozinha Pereira , MEM, 23, 2, 1, 1, 9.5, 69.8, 1.5, 12.0, 14.3, 0.5, 14.3, 0.0, 0.0, 2.5, 0.0, 6.5, 9.0, 0.161
6, Anthony Edwards , MIN, 22, 68, 47, 21, 35.3, 108.1, 4.9, 13.4, 19.4, 1.3, 22.6, 0.6, 12.8, 11.9, 9.3, 9.3, 34.0, 0.159
7, Max Strus , CLE, 27, 60, 39, 21, 32.2, 107.8, 3.9, 11.3, 16.7, 0.9, 16.4, 0.5, 14.3, 11.1, 8.8, 9.5, 30.8, 0.151
8, Gabe Vincent , LAL, 27, 5, 2, 3, 25.5, 103.7, 0.6, 2.3, 3.2, 1.2, 25.0, 0.0, 0.0, 9.8, 8.6, 4.4, 19.2, 0.145
9, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 108.5, 6.9, 20.5, 29.5, 0.7, 15.2, 0.7, 18.3, 11.0, 8.5, 8.8, 32.3, 0.145
10, Franz Wagner , ORL, 22, 63, 39, 24, 32.7, 108.6, 4.4, 13.9, 20.0, 1.0, 19.0, 0.4, 11.7, 10.1, 7.4, 9.8, 31.3, 0.144
11, Trey Murphy III , NOP, 23, 46, 30, 16, 27.7, 105.8, 3.8, 13.1, 18.8, 0.8, 16.0, 0.5, 18.1, 8.0, 7.0, 7.4, 26.3, 0.143
12, Bam Adebayo , MIA, 26, 60, 33, 27, 34.3, 109.5, 8.4, 24.5, 35.4, 1.1, 19.4, 1.0, 37.4, 10.7, 9.8, 9.5, 32.2, 0.142
13, Evan Mobley , CLE, 22, 39, 24, 15, 30.9, 108.2, 7.7, 22.8, 34.1, 0.9, 19.0, 1.5, 43.7, 10.8, 8.9, 9.0, 29.5, 0.142
14, Jayson Tatum , BOS, 26, 66, 53, 13, 35.8, 110.2, 7.3, 18.9, 27.7, 1.0, 20.4, 0.6, 12.6, 9.5, 10.1, 9.4, 35.8, 0.141
15, Fred VanVleet , HOU, 30, 63, 34, 29, 36.6, 110.6, 3.3, 8.8, 12.8, 1.2, 21.9, 0.8, 24.1, 10.9, 9.8, 7.7, 35.8, 0.139
16, Derrick White , BOS, 29, 66, 54, 12, 32.6, 109.2, 3.6, 10.2, 14.7, 1.0, 22.7, 1.3, 27.7, 8.6, 9.2, 8.6, 32.6, 0.139
17, Mike Conley , MIN, 36, 66, 47, 19, 29.0, 107.1, 2.4, 8.1, 11.9, 1.1, 25.4, 0.2, 6.0, 10.2, 8.1, 7.8, 28.2, 0.138
18, Joel Embiid , PHI, 30, 34, 26, 8, 34.0, 110.5, 8.7, 24.1, 35.5, 1.1, 19.8, 1.8, 43.8, 10.1, 9.4, 11.1, 35.9, 0.134
19, Shai Gilgeous-Alexander , OKC, 25, 69, 49, 20, 34.4, 110.4, 4.8, 13.1, 20.2, 2.1, 34.2, 0.9, 19.0, 9.8, 10.8, 8.5, 32.9, 0.134
20, Jalen Williams , OKC, 22, 63, 44, 19, 31.6, 109.4, 3.5, 10.2, 15.8, 1.1, 20.0, 0.6, 13.1, 8.9, 10.3, 8.1, 31.6, 0.134
21, Naz Reid , MIN, 24, 70, 49, 21, 23.6, 104.6, 4.1, 16.4, 24.3, 0.7, 17.0, 0.9, 26.1, 7.8, 6.7, 6.3, 22.4, 0.132
22, Marcus Smart , MEM, 30, 20, 7, 13, 30.2, 109.2, 2.4, 7.3, 10.5, 2.1, 37.6, 0.3, 6.5, 10.9, 8.6, 9.8, 27.5, 0.132
23, Tari Eason , HOU, 22, 22, 12, 10, 21.8, 103.1, 4.9, 20.3, 29.8, 1.4, 36.9, 0.9, 33.3, 6.4, 6.5, 3.9, 20.4, 0.132
24, Ja Morant , MEM, 24, 9, 6, 3, 35.3, 111.1, 4.9, 13.4, 20.3, 0.8, 15.2, 0.6, 11.1, 13.0, 10.3, 11.7, 38.0, 0.131
25, Kawhi Leonard , LAC, 32, 64, 41, 23, 34.1, 110.7, 4.9, 13.8, 20.4, 1.6, 27.1, 0.8, 22.7, 10.0, 9.6, 9.4, 33.4, 0.128
26, Wenyen Gabriel , MEM, 26, 5, 1, 4, 16.2, 96.4, 3.6, 22.0, 30.0, 0.4, 12.5, 0.4, 28.6, 7.6, 3.2, 4.6, 12.8, 0.128
27, Josh Hart , NYK, 29, 69, 41, 28, 32.6, 110.3, 6.6, 20.2, 29.4, 0.9, 17.9, 0.3, 11.1, 9.5, 8.0, 8.9, 31.0, 0.127
28, Jimmy Butler , MIA, 34, 50, 26, 24, 34.1, 111.0, 3.5, 10.5, 15.2, 1.4, 25.4, 0.3, 13.5, 10.8, 9.5, 9.7, 32.8, 0.126
29, Nikola Jokic , DEN, 29, 68, 48, 20, 34.4, 111.1, 9.4, 27.1, 38.5, 1.3, 24.1, 0.9, 26.9, 10.9, 8.3, 10.3, 36.7, 0.126
30, Kristaps Porzingis , BOS, 28, 49, 38, 11, 29.5, 109.3, 5.3, 15.8, 22.9, 0.7, 17.6, 1.8, 39.0, 8.1, 8.6, 8.8, 28.5, 0.126
31, Jarrett Allen , CLE, 25, 66, 41, 25, 31.6, 110.1, 7.5, 23.1, 33.7, 0.7, 13.9, 1.2, 37.8, 11.2, 8.3, 9.2, 31.0, 0.126
