IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
1, Buddy Hield, 73, 38, 35, 26, 115.8, 116.5, -0.7, 20.1, 2.7, 11.2, 6.9, 8.4, 19.0, 102.88,
2, Obi Toppin, 72, 40, 32, 22, 118.9, 116.3, 2.6, 15.0, 5.5, 15.4, 10.4, 8.4, 16.2, 106.01,
3, Collin Sexton, 71, 29, 42, 26, 116.0, 118.9, -2.9, 22.0, 3.8, 7.3, 5.6, 9.2, 27.0, 103.18,
3, Jeremy Sochan, 71, 15, 56, 30, 106.5, 114.3, -7.9, 20.8, 6.8, 16.6, 11.7, 11.6, 18.8, 103.08,
3, Austin Reaves, 71, 39, 32, 32, 114.1, 115.2, -1.0, 26.9, 2.4, 12.0, 7.4, 10.5, 20.4, 102.88,
3, Bobby Portis, 71, 46, 25, 24, 117.3, 115.7, 1.6, 8.5, 7.7, 25.7, 16.8, 7.5, 22.7, 101.43,
3, Nickeil Alexander-Walker, 71, 49, 22, 24, 114.0, 105.5, 8.5, 25.1, 2.3, 7.4, 5.0, 9.2, 14.3, 100.00,
3, Mikal Bridges, 71, 26, 45, 35, 110.0, 113.4, -3.4, 15.4, 2.5, 12.5, 7.3, 8.7, 25.1, 99.82,
3, Dennis Schroder, 71, 24, 47, 31, 111.6, 115.5, -3.9, 29.5, 1.5, 8.7, 5.0, 9.5, 20.4, 99.60,
3, Jonas Valanciunas, 71, 44, 27, 24, 117.3, 112.0, 5.4, 15.7, 11.6, 29.9, 21.1, 9.9, 20.4, 99.58,
3, Reggie Jackson, 71, 50, 21, 22, 112.3, 111.7, 0.5, 25.7, 1.8, 7.5, 4.7, 8.8, 21.3, 99.54,
3, Georges Niang, 71, 43, 28, 23, 113.4, 112.3, 1.2, 12.2, 1.5, 16.0, 9.0, 8.9, 17.7, 99.27,
3, Christian Braun, 71, 50, 21, 19, 109.0, 110.3, -1.3, 16.9, 4.8, 14.8, 9.9, 7.8, 15.8, 98.94,
