  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
1 Buddy Hield PHI 31 77 39 38 26.2 117.5 117.3 0.2 14.6 2.39 20.2 2.6 9.9 6.1 8.5 57.3 58.4 18.4 101.57 8.4 4281
2 Andre Drummond CHI 30 75 36 39 17.0 114.5 113.8 0.7 4.4 0.48 5.6 18.6 32.9 25.5 11.6 55.1 57.1 20.2 97.97 15.2 2608
2 Austin Reaves LAL 25 75 42 33 32.2 114.8 115.5 -0.7 24.3 2.63 27.4 2.2 11.0 6.9 10.4 56.8 61.6 19.8 101.91 10.8 5126
2 Christian Braun DEN 22 75 52 23 19.6 109.2 110.2 -1.0 10.0 2.10 16.6 4.5 12.8 8.7 7.9 52.0 54.9 15.4 98.85 8.1 3006
2 Collin Sexton UTA 25 75 29 46 26.6 117.4 119.8 -2.5 28.2 2.40 22.0 3.3 6.4 4.8 9.2 55.7 61.4 26.5 101.82 12.3 4235
2 Dennis Schroder BKN 30 75 27 48 31.0 112.6 115.9 -3.3 27.6 3.14 29.3 1.4 7.9 4.6 9.3 51.4 55.3 20.2 98.60 9.3 4787
2 Georges Niang CLE 30 75 45 30 22.6 114.7 113.7 1.0 7.6 1.37 12.0 1.3 13.8 7.7 8.7 57.2 58.8 17.3 98.25 7.1 3480
2 Mikal Bridges BKN 27 75 29 46 35.5 111.4 114.4 -3.0 16.2 1.76 15.6 2.3 10.9 6.4 8.8 52.0 56.1 24.2 98.51 10.6 5465
2 Obi Toppin IND 26 75 42 33 21.3 119.4 117.3 2.1 8.5 1.77 15.2 4.8 13.3 9.0 8.5 65.7 67.2 15.5 105.11 9.5 3506
2 Paul Reed PHI 24 75 40 35 19.3 116.2 113.6 2.5 9.1 1.59 15.2 11.8 19.1 15.3 9.6 55.4 57.6 15.5 97.30 10.0 2911
2 Reggie Jackson DEN 33 75 52 23 22.1 112.7 111.2 1.6 24.4 2.99 26.0 1.7 6.4 4.1 8.7 50.7 52.8 20.7 99.34 8.4 3444
12 Bobby Portis MIL 29 74 47 27 24.2 116.4 116.1 0.3 7.1 1.10 8.4 6.7 22.8 14.8 7.6 55.4 57.5 22.1 100.86 11.7 3765
12 Cason Wallace OKC 20 74 52 22 20.6 114.6 110.9 3.7 8.7 2.68 18.6 3.3 7.7 5.6 6.9 61.7 62.6 12.5 101.28 7.1 3219
12 Chet Holmgren OKC 21 74 52 22 29.9 118.5 109.5 9.1 11.4 1.59 14.8 5.5 19.5 12.9 9.3 60.1 63.5 20.7 102.87 13.2 4723
12 Domantas Sabonis SAC 27 74 43 31 35.8 116.7 116.0 0.7 33.4 2.52 31.1 9.5 29.7 19.3 12.3 61.8 64.5 21.8 99.90 16.9 5524
12 Harrison Barnes SAC 31 74 43 31 29.3 114.2 116.5 -2.3 5.3 1.64 10.0 2.6 7.7 5.0 6.1 58.7 62.0 15.3 100.93 7.2 4564
12 Jalen Green HOU 22 74 38 36 31.7 114.1 113.2 1.0 16.6 1.55 14.5 1.5 14.0 7.8 9.3 50.2 54.5 27.1 100.31 11.3 4914
12 Jeremy Sochan SAS 20 74 18 56 29.6 108.1 115.0 -7.0 16.1 1.78 20.3 6.0 15.3 10.6 11.4 48.3 51.3 18.7 101.92 8.2 4648
12 Jonas Valanciunas NOP 31 74 45 29 24.0 117.7 112.9 4.7 12.3 1.57 15.5 10.3 27.0 18.9 9.9 58.8 62.2 20.3 98.66 13.7 3645
12 Michael Porter Jr. DEN 25 74 52 22 31.7 120.1 112.2 7.9 6.4 1.31 9.1 4.3 17.8 11.1 6.9 59.6 61.1 20.0 97.75 10.8 4798
12 Nickeil Alexander-Walker MIN 25 74 51 23 23.5 113.1 106.1 6.9 14.4 2.68 24.7 2.0 6.5 4.3 9.2 55.0 56.7 13.9 99.86 6.7 3630
12 Payton Pritchard BOS 26 74 58 16 21.5 121.7 109.3 12.4 19.2 4.33 27.4 3.9 10.5 7.2 6.3 57.1 58.4 16.0 97.05 9.6 3197
23 Ayo Dosunmu CHI 24 73 36 37 28.8 111.8 115.0 -3.2 15.9 2.49 22.1 2.3 7.2 4.7 8.9 58.2 60.3 16.6 98.15 8.3 4295
23 Cole Anthony ORL 23 73 43 30 22.9 112.3 109.6 2.7 20.1 1.91 19.4 3.8 14.1 9.0 10.2 49.9 54.9 23.2 97.58 11.0 3413
23 Corey Kispert WAS 25 73 14 59 24.7 107.9 118.8 -10.9 10.4 1.49 13.1 1.4 9.1 5.2 8.8 59.6 61.4 19.2 103.65 8.2 3912
23 DeMar DeRozan CHI 34 73 35 38 37.6 113.4 114.5 -1.1 21.7 3.36 19.6 1.5 10.1 5.8 5.8 50.3 58.2 24.8 98.02 12.8 5604
23 Donte DiVincenzo NYK 27 73 44 29 28.0 117.2 113.6 3.6 13.6 1.98 15.7 2.7 10.1 6.3 7.9 57.9 59.1 21.0 97.47 9.8 4139
23 Jordan Poole WAS 24 73 14 59 29.7 108.6 119.7 -11.1 19.7 1.70 18.2 1.3 7.3 4.3 10.7 48.7 52.6 25.5 104.68 7.2 4733
23 Josh Giddey OKC 21 73 52 21 24.8 119.7 111.8 7.9 24.5 2.35 26.1 5.9 18.6 12.6 11.1 52.7 54.8 22.3 102.20 12.2 3871
23 Josh Hart NYK 29 73 43 30 33.0 116.4 110.1 6.3 16.1 2.75 27.7 4.6 20.3 12.3 10.1 48.0 50.8 13.3 96.03 9.7 4820
23 Naz Reid MIN 24 73 51 22 24.0 111.5 104.5 7.0 8.4 1.01 9.6 3.9 16.5 10.4 9.5 57.6 59.6 21.8 99.96 11.5 3651
23 Pascal Siakam IND 29 73 33 40 33.6 117.0 115.2 1.9 19.8 2.51 18.5 5.0 15.9 10.4 7.4 56.9 60.1 24.9 100.85 13.3 5152
23 Peyton Watson DEN 21 73 51 22 18.2 109.3 110.4 -1.1 7.7 1.38 12.7 3.7 11.7 7.9 9.2 51.5 53.9 16.3 98.79 7.4 2717
34 Coby White CHI 24 72 34 38 36.7 114.8 115.5 -0.7 20.9 2.44 21.6 1.6 11.2 6.4 8.9 53.6 57.3 22.4 97.43 10.1 5362
34 Kelly Olynyk TOR 32 72 29 43 22.0 111.4 119.2 -7.8 28.5 2.35 33.2 6.2 16.5 11.4 14.2 61.1 65.5 17.0 101.63 11.4 3358
34 Luguentz Dort OKC 24 72 50 22 28.5 119.8 111.9 7.9 5.9 1.54 12.4 3.6 8.8 6.4 8.0 55.7 59.1 14.8 102.09 5.8 4346
34 Malik Monk SAC 26 72 42 30 26.0 115.1 115.0 0.1 29.0 2.47 24.8 1.4 10.1 5.6 10.0 52.6 56.4 24.7 101.94 11.0 3979
34 Moritz Wagner ORL 26 72 42 30 17.9 114.1 111.1 3.1 11.3 1.02 12.1 8.8 16.9 12.9 11.8 63.3 67.3 21.8 98.87 13.7 2656
34 Nikola Jokic DEN 29 72 50 22 34.5 122.3 110.9 11.4 39.6 3.10 28.1 8.7 27.1 18.2 9.1 60.7 64.7 28.8 97.88 21.1 5080
34 Ochai Agbaji TOR 23 72 29 43 20.2 109.7 117.7 -8.0 6.8 1.33 13.5 4.4 8.4 6.4 10.2 49.1 50.3 13.3 101.22 4.8 3072
34 Paolo Banchero ORL 21 72 42 30 34.8 111.8 111.5 0.3 25.2 1.70 18.5 3.0 17.5 10.0 10.9 50.6 55.1 29.0 98.35 13.5 5130
42 Aaron Holiday HOU 27 71 37 34 16.5 110.3 107.0 3.2 16.0 2.67 22.4 1.6 7.9 4.7 8.4 54.7 57.8 15.8 102.16 8.1 2489
42 Anthony Edwards MIN 22 71 49 22 35.2 116.1 107.8 8.3 23.9 1.65 16.7 1.9 13.4 7.9 10.1 52.4 57.5 31.5 98.10 14.6 5124
42 Bogdan Bogdanovic ATL 31 71 33 38 30.2 117.7 114.6 3.1 14.6 2.29 16.0 2.2 9.4 5.6 7.0 53.8 56.6 21.9 101.32 9.2 4540
42 Brook Lopez MIL 36 71 46 25 30.8 118.2 111.4 6.7 7.1 1.74 13.0 4.6 11.3 8.1 7.5 58.1 60.7 15.1 102.71 8.3 4686
42 Cameron Payne PHI 29 71 39 32 16.4 113.5 115.0 -1.4 22.0 3.08 25.7 1.3 7.1 4.2 8.3 54.7 57.4 19.0 100.28 8.4 2442
42 Cedi Osman SAS 28 71 17 54 17.6 105.9 119.3 -13.4 13.2 2.51 21.0 1.8 12.2 6.8 8.3 58.9 59.9 14.5 104.33 7.6 2722
42 Dejounte Murray ATL 27 71 32 39 35.7 117.4 119.7 -2.3 26.8 2.57 21.9 1.9 13.1 7.2 8.5 53.2 56.0 25.7 101.32 12.4 5351
42 Kyle Anderson MIN 30 71 50 21 22.9 110.3 104.9 5.4 26.3 3.64 36.3 3.6 11.8 7.8 10.0 48.1 52.4 13.8 100.02 10.0 3377
42 Malik Beasley MIL 27 71 44 27 29.9 119.4 111.7 7.7 5.8 1.94 11.9 1.9 9.8 6.0 6.1 61.5 61.9 14.2 102.71 6.8 4542
42 Myles Turner IND 28 71 40 31 27.3 120.0 115.5 4.5 6.4 0.91 7.9 5.6 19.3 12.6 8.7 57.8 61.8 23.3 102.50 11.2 4130
42 Royce O'Neale PHX 30 71 32 39 24.8 113.0 111.2 1.8 15.3 2.96 26.1 3.0 15.3 9.1 8.8 54.4 55.0 13.5 100.90 8.1 3697
42 Sam Hauser BOS 26 71 56 15 21.4 121.0 107.9 13.0 5.9 2.23 11.9 2.5 12.4 7.5 5.3 64.6 65.1 13.9 98.46 8.7 3104
42 Shai Gilgeous-Alexander OKC 25 71 51 20 34.4 120.9 110.5 10.4 29.0 2.87 19.7 2.6 12.8 7.9 6.9 57.1 63.8 31.6 102.24 18.7 5205
42 Taurean Prince LAL 30 71 39 32 27.6 113.7 117.0 -3.4 7.2 1.73 15.1 0.8 9.2 5.1 8.7 56.5 57.7 13.3 102.39 5.4 4179
42 Tim Hardaway Jr. DAL 32 71 44 27 27.5 116.8 116.2 0.6 9.0 1.95 10.6 1.0 10.6 5.8 5.4 51.5 54.8 22.2 102.00 8.5 4155
57 Aaron Wiggins OKC 25 70 50 20 14.8 116.0 110.7 5.3 8.6 1.38 15.1 5.6 9.7 7.8 11.0 66.8 68.3 15.5 100.71 9.3 2151
57 Anthony Davis LAL 31 70 40 30 35.9 116.0 114.5 1.5 15.3 1.73 14.0 9.1 25.1 17.5 8.1 56.6 61.9 25.9 101.98 16.7 5334
57 Grant Williams CHA 25 70 32 38 27.5 110.2 115.6 -5.4 10.1 1.43 16.8 4.0 10.9 7.3 11.8 55.1 57.9 15.4 100.02 6.1 4021
57 Isaiah Joe OKC 24 70 49 21 18.4 117.1 107.9 9.2 8.4 1.98 14.2 2.0 9.8 6.0 7.2 61.0 62.6 15.7 103.45 8.7 2801
57 Jarrett Allen CLE 25 70 43 27 31.6 115.2 110.5 4.6 12.6 1.65 16.1 10.2 23.2 16.9 9.7 63.0 66.2 19.2 98.56 15.0 4521
57 Jeff Green HOU 37 70 36 34 16.6 109.5 111.7 -2.3 7.3 1.32 12.2 3.2 9.5 6.3 9.3 53.0 59.3 15.0 100.57 7.3 2434
57 Jonathan Kuminga GSW 21 70 36 34 26.3 115.0 111.9 3.1 11.8 1.28 12.2 4.7 12.5 8.7 9.5 55.9 59.7 24.0 102.08 10.9 3924
57 Klay Thompson GSW 34 70 36 34 29.6 115.3 116.7 -1.5 10.8 1.50 11.9 1.5 9.3 5.4 7.9 54.2 56.7 23.0 101.88 8.6 4413
57 Malaki Branham SAS 20 70 16 54 20.4 106.7 118.3 -11.7 15.1 1.82 18.2 1.8 7.5 4.6 10.0 49.7 52.0 19.2 103.52 6.3 3088
57 Nikola Vucevic CHI 33 70 34 36 34.2 112.4 115.5 -3.1 15.6 2.08 15.5 8.0 23.0 15.4 7.4 51.9 53.7 23.5 97.43 12.6 4862
57 Norman Powell LAC 30 70 44 26 26.1 118.4 114.2 4.2 5.9 1.21 8.3 0.8 8.7 4.9 6.8 60.3 63.3 19.4 100.21 8.8 3808
57 Toumani Camara POR 23 70 19 51 24.8 106.9 111.5 -4.6 7.2 1.04 13.3 7.3 11.9 9.5 12.9 51.6 54.7 13.4 99.35 6.5 3589
57 Tre Jones SAS 24 70 17 53 27.2 110.9 112.8 -1.8 30.0 4.15 39.0 2.6 9.8 6.2 9.4 56.7 60.5 14.6 102.68 10.9 4074
70 D'Angelo Russell LAL 28 69 41 28 32.4 115.6 114.0 1.7 26.9 3.11 26.9 1.3 7.7 4.7 8.6 56.2 58.9 22.5 102.80 10.4 4803
70 Derrick Jones Jr. DAL 27 69 42 27 23.3 114.5 113.5 1.0 5.4 1.14 10.8 4.4 9.3 6.9 9.5 57.5 60.0 14.5 101.92 7.0 3421
70 Giannis Antetokounmpo MIL 29 69 44 25 35.2 119.7 113.1 6.6 31.0 1.87 19.3 7.7 23.6 15.9 10.3 62.8 65.2 32.1 102.34 19.8 5175
70 Jaden Ivey DET 22 69 13 56 28.6 110.8 118.4 -7.5 18.8 1.51 18.3 4.1 8.1 6.1 12.1 49.2 53.8 24.0 101.85 7.5 4198
70 Jalen Brunson NYK 27 69 43 26 35.1 121.0 112.7 8.3 30.5 2.72 20.3 1.5 8.8 5.1 7.5 54.3 58.9 30.5 96.85 15.1 4900
70 Jayson Tatum BOS 26 69 54 15 35.9 122.3 110.4 11.9 20.9 1.92 16.5 2.6 18.9 11.1 8.6 55.4 60.6 29.7 98.82 15.6 5106
70 Jusuf Nurkic PHX 29 69 42 27 27.1 120.5 112.2 8.3 17.8 1.65 23.4 11.4 28.2 20.2 14.2 53.3 56.1 19.1 100.03 11.9 3901
70 Keegan Murray SAC 23 69 40 29 33.3 116.6 114.0 2.6 6.7 1.98 10.7 3.8 12.8 8.1 5.4 55.5 57.6 17.6 100.20 8.1 4789
70 Kentavious Caldwell-Pope DEN 31 69 49 20 31.8 122.3 111.3 11.0 9.1 2.43 20.9 1.4 6.2 3.9 8.6 56.0 60.0 12.5 97.75 6.2 4475
70 Kyle Kuzma WAS 28 69 13 56 32.5 109.8 120.8 -11.1 20.3 1.56 15.6 2.7 16.7 9.7 10.0 52.1 54.8 29.7 103.51 11.4 4828
70 Mike Conley MIN 36 69 49 20 28.9 113.9 107.3 6.7 29.4 5.15 37.2 1.7 8.0 5.0 7.2 59.1 62.2 15.4 97.32 11.6 4055
70 Spencer Dinwiddie LAL 30 69 33 36 28.9 116.5 115.5 1.0 22.7 3.99 30.7 1.4 7.6 4.5 7.7 48.0 53.2 16.5 100.17 7.5 4155
82 Aaron Gordon DEN 28 68 46 22 31.5 119.6 111.4 8.2 14.1 2.28 20.7 7.9 13.1 10.6 9.1 57.9 60.1 17.5 97.97 10.1 4386
82 Damian Lillard MIL 33 68 46 22 35.3 119.9 112.4 7.5 28.5 2.77 23.5 1.4 10.2 6.0 8.5 51.3 59.1 27.2 102.51 13.3 5131
82 Deni Avdija WAS 23 68 13 55 29.6 109.1 116.6 -7.5 17.7 1.82 21.4 3.8 19.4 11.7 11.8 56.2 59.6 19.4 104.98 10.9 4398
82 Derrick White BOS 29 68 55 13 32.7 122.9 109.3 13.6 20.9 3.32 26.9 2.2 10.1 6.4 8.1 58.3 61.6 18.5 99.81 10.8 4623
82 Devin Vassell SAS 23 68 17 51 33.1 108.5 114.6 -6.0 19.2 2.56 18.3 1.2 10.2 5.6 7.1 55.0 57.8 22.9 102.42 11.2 4795
82 Drew Eubanks PHX 27 68 37 31 15.7 108.9 112.5 -3.6 7.9 0.98 15.0 9.0 17.2 13.3 15.2 63.0 66.5 13.1 99.81 10.2 2217
82 Grayson Allen PHX 28 68 40 28 33.6 119.4 115.2 4.2 12.0 2.45 22.1 2.0 9.1 5.8 9.0 65.9 68.8 14.0 99.94 8.6 4754
82 Herbert Jones NOP 25 68 42 26 30.0 116.3 110.5 5.8 11.2 2.17 20.7 3.5 8.3 6.0 9.5 60.3 64.2 14.3 98.98 7.9 4189
82 Isaiah Hartenstein NYK 25 68 42 26 25.0 119.9 110.3 9.6 11.9 2.00 25.7 12.9 20.5 16.7 12.9 63.5 66.6 11.3 98.19 11.2 3482
82 Jabari Smith Jr. HOU 20 68 36 32 31.7 112.0 113.0 -1.0 6.5 1.20 9.9 5.6 19.4 12.4 8.3 53.5 57.1 17.3 99.88 10.0 4483
82 John Collins UTA 26 68 27 41 28.0 114.2 121.7 -7.5 6.0 0.79 7.7 7.9 22.2 14.9 9.8 59.0 62.1 19.9 101.30 11.1 4010
