IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
1, Austin Reaves, LAL, 66, 36, 30, 47.1, 43.8, 90.7, 48.2, 14.2, 36.9, 38.5, 14.5, 18.0, 80.7, 10.3, 32.5, 42.8, 27.8, 12.5, 7.8, 4.7, 5.4, 20.0, 15.3, 116.3, 1.8
2, Nickeil Alexander-Walker, MIN, 65, 44, 21, 47.8, 38.1, 86.0, 44.2, 11.6, 32.9, 35.2, 18.2, 23.5, 77.2, 10.3, 31.1, 41.4, 23.8, 14.6, 7.4, 4.2, 6.3, 19.0, 20.1, 105.9, -5.9
2, Mikal Bridges, BKN, 65, 26, 39, 48.5, 41.8, 88.6, 47.2, 12.8, 33.5, 38.1, 17.8, 22.1, 80.7, 10.2, 35.4, 45.6, 25.2, 12.7, 6.7, 4.8, 5.5, 18.6, 18.9, 114.2, 2.0
2, Bobby Portis, MIL, 65, 42, 23, 47.4, 43.6, 89.4, 48.7, 12.4, 34.0, 36.5, 18.0, 22.2, 80.9, 10.0, 32.5, 42.4, 27.4, 12.1, 6.1, 4.1, 4.6, 18.4, 20.4, 117.5, 0.4
2, Naz Reid, MIN, 65, 44, 21, 47.8, 37.6, 86.6, 43.5, 11.3, 33.1, 34.0, 17.6, 22.6, 78.1, 10.7, 31.4, 42.1, 23.4, 14.8, 7.1, 5.0, 6.9, 19.2, 19.5, 104.2, -6.7
2, Obi Toppin, IND, 65, 36, 29, 45.5, 44.0, 86.3, 51.0, 9.8, 27.0, 36.2, 19.8, 25.0, 79.3, 9.8, 30.2, 39.9, 23.6, 13.2, 6.8, 5.1, 5.8, 18.5, 21.1, 117.6, -2.1
7, Cole Anthony, ORL, 64, 37, 27, 49.0, 40.0, 84.8, 47.2, 11.5, 33.5, 34.4, 18.4, 24.3, 75.5, 10.0, 30.4, 40.4, 23.6, 14.8, 7.7, 4.9, 5.6, 22.0, 22.1, 109.9, -1.6
7, Christian Braun, DEN, 64, 44, 20, 48.7, 40.1, 90.1, 44.6, 12.2, 32.6, 37.5, 19.4, 25.0, 77.3, 12.2, 32.4, 44.6, 24.6, 12.0, 6.8, 6.4, 6.7, 18.7, 21.1, 111.8, 2.5
7, Andre Drummond, CHI, 64, 31, 33, 49.3, 41.1, 87.2, 47.1, 15.1, 40.2, 37.7, 16.8, 20.9, 80.4, 10.5, 29.6, 40.1, 27.2, 14.4, 7.0, 6.0, 5.7, 23.0, 19.2, 114.1, 0.0
7, Jalen Green, HOU, 64, 29, 35, 47.8, 41.1, 87.8, 46.9, 12.8, 35.6, 35.8, 18.0, 24.3, 74.2, 10.5, 34.6, 45.1, 25.3, 12.4, 6.9, 6.1, 4.0, 19.6, 19.8, 113.0, 1.1
7, Chet Holmgren, OKC, 64, 45, 19, 46.9, 39.6, 89.0, 44.5, 13.4, 36.8, 36.3, 18.2, 22.7, 79.8, 12.7, 31.2, 43.9, 25.8, 14.3, 6.4, 5.4, 7.4, 18.9, 18.2, 110.8, -8.3
7, Reggie Jackson, DEN, 64, 44, 20, 48.0, 40.0, 87.4, 45.8, 11.8, 31.4, 37.6, 18.8, 24.4, 76.8, 11.3, 31.8, 43.1, 25.3, 11.8, 7.1, 4.6, 5.4, 18.7, 20.3, 110.6, -1.9
7, Tyus Jones, WAS, 64, 11, 53, 46.0, 46.3, 90.7, 51.1, 11.9, 31.4, 38.0, 17.5, 22.5, 77.8, 12.2, 35.8, 48.0, 29.9, 13.1, 7.1, 5.2, 5.5, 15.8, 18.5, 122.1, 11.3
7, Georges Niang, CLE, 64, 41, 23, 48.5, 40.5, 88.0, 46.1, 12.6, 34.8, 36.3, 18.5, 23.9, 77.4, 10.1, 32.5, 42.6, 24.9, 12.3, 7.4, 4.5, 4.8, 18.5, 19.9, 112.2, -2.2
7, Paul Reed, PHI, 64, 36, 28, 49.1, 42.0, 85.9, 48.9, 12.2, 33.5, 36.3, 19.1, 24.4, 78.2, 10.9, 33.4, 44.4, 26.7, 15.9, 6.4, 7.1, 5.8, 17.8, 21.9, 115.3, -1.4
7, Collin Sexton, UTA, 64, 28, 36, 46.7, 43.2, 87.9, 49.1, 14.3, 35.1, 40.8, 17.6, 22.6, 78.2, 10.2, 29.5, 39.6, 28.9, 12.6, 7.6, 7.2, 5.3, 19.4, 18.6, 118.3, 0.1
7, Jeremy Sochan, SAS, 64, 14, 50, 47.1, 44.4, 90.6, 49.1, 12.0, 33.3, 36.1, 15.3, 19.3, 79.4, 10.4, 33.4, 43.8, 27.9, 12.6, 8.8, 4.6, 6.3, 16.5, 16.6, 116.3, 8.1
7, Jonas Valanciunas, NOP, 64, 39, 25, 48.5, 41.7, 89.3, 46.7, 14.6, 39.5, 37.0, 15.2, 19.7, 77.3, 9.6, 30.8, 40.4, 28.6, 12.7, 6.6, 5.3, 5.5, 18.9, 18.6, 113.2, -5.7
7, Cason Wallace, OKC, 64, 45, 19, 47.3, 40.1, 87.4, 45.9, 12.6, 34.1, 37.0, 18.6, 23.6, 79.0, 12.8, 32.0, 44.8, 26.3, 16.4, 7.3, 5.1, 6.6, 17.4, 19.6, 111.4, -3.6
7, Coby White, CHI, 64, 31, 33, 49.2, 41.7, 88.1, 47.3, 14.7, 40.2, 36.5, 17.0, 21.8, 78.1, 10.0, 33.4, 43.4, 28.9, 13.5, 6.7, 4.9, 4.5, 19.0, 18.9, 115.0, 0.1
21, Paolo Banchero, ORL, 63, 36, 27, 48.8, 41.4, 85.4, 48.5, 11.8, 31.8, 37.2, 18.3, 23.6, 77.4, 9.2, 32.3, 41.5, 25.0, 15.1, 8.4, 5.0, 5.3, 21.4, 20.4, 113.0, 1.1
21, Harrison Barnes, SAC, 63, 36, 27, 47.2, 43.6, 86.3, 50.5, 13.4, 32.8, 41.0, 17.4, 21.4, 81.1, 8.2, 34.4, 42.6, 29.0, 13.4, 7.2, 4.5, 3.2, 17.6, 18.5, 118.0, 3.4
21, Malik Beasley, MIL, 63, 40, 23, 46.7, 42.3, 92.4, 45.8, 11.6, 33.5, 34.5, 14.9, 19.0, 78.3, 10.5, 33.5, 44.1, 25.9, 11.4, 6.5, 4.1, 5.6, 19.1, 17.1, 111.1, -8.5
21, Saddiq Bey, ATL, 63, 28, 35, 47.0, 44.2, 89.1, 49.7, 13.4, 34.5, 38.8, 17.2, 21.6, 79.7, 10.8, 31.1, 42.0, 27.9, 12.9, 7.8, 5.8, 4.4, 19.6, 18.2, 119.1, 0.4
21, Donte DiVincenzo, NYK, 63, 37, 26, 49.1, 42.6, 88.3, 48.3, 14.1, 35.8, 39.2, 15.6, 20.3, 76.7, 10.1, 30.8, 40.9, 27.8, 13.4, 6.8, 5.2, 4.6, 19.4, 18.2, 114.9, -2.0
21, Josh Giddey, OKC, 63, 45, 18, 46.8, 40.6, 88.6, 45.9, 13.1, 36.0, 36.4, 16.9, 21.7, 78.0, 12.3, 32.2, 44.5, 27.6, 14.5, 6.8, 5.4, 7.2, 18.0, 17.9, 111.3, -7.7
21, Shai Gilgeous-Alexander, OKC, 63, 45, 18, 46.9, 39.2, 87.0, 45.0, 13.0, 36.4, 35.8, 19.2, 24.1, 79.4, 11.9, 32.2, 44.1, 25.9, 15.5, 6.0, 5.0, 6.9, 19.4, 19.1, 110.5, -11.5
21, Josh Hart, NYK, 63, 36, 27, 49.9, 41.5, 88.8, 46.7, 13.4, 35.9, 37.3, 14.7, 19.7, 74.8, 10.2, 31.1, 41.3, 25.6, 13.7, 6.9, 5.9, 4.4, 20.0, 17.7, 111.1, -4.6
21, Cedi Osman, SAS, 63, 13, 50, 45.8, 43.6, 86.6, 50.4, 13.3, 33.7, 39.7, 19.2, 24.7, 77.7, 10.6, 34.4, 45.1, 26.4, 12.8, 7.9, 4.5, 5.3, 18.0, 19.3, 119.8, 13.3
21, Michael Porter Jr., DEN, 63, 44, 19, 48.8, 41.6, 88.3, 47.1, 11.3, 31.4, 35.8, 16.8, 21.4, 78.4, 10.2, 31.4, 41.6, 26.5, 12.1, 7.2, 4.7, 5.0, 18.7, 17.3, 111.2, -8.6
21, Taurean Prince, LAL, 63, 34, 29, 47.0, 44.0, 91.4, 48.2, 14.4, 37.1, 38.7, 14.6, 18.1, 80.5, 11.0, 33.8, 44.8, 28.4, 12.5, 7.0, 5.1, 5.5, 19.2, 15.6, 117.0, 3.4
21, Payton Pritchard, BOS, 63, 49, 14, 49.5, 41.5, 90.9, 45.7, 12.5, 35.8, 34.9, 14.9, 19.7, 75.8, 10.9, 31.3, 42.2, 24.6, 11.7, 6.0, 4.0, 6.3, 17.6, 18.0, 110.4, -10.4
