IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
111, Jrue Holiday , BOS, 33, 58, 45, 13, 33.2, 120.4, 110.7, 9.7, 19.3, 2.58, 27.7, 3.9, 11.8, 8.1, 10.7, 58.6, 60.4, 16.3, 99.35, 10.0, 3973
111, Kentavious Caldwell-Pope , DEN, 31, 58, 41, 17, 31.8, 121.9, 111.3, 10.6, 8.8, 2.43, 19.9, 1.4, 6.0, 3.8, 8.2, 54.9, 59.4, 12.8, 98.20, 6.1, 3782
111, Russell Westbrook , LAC, 35, 58, 38, 20, 22.6, 116.5, 113.7, 2.9, 27.6, 2.17, 25.5, 6.1, 15.5, 11.0, 11.8, 48.4, 51.1, 23.6, 102.41, 11.1, 2793
111, Tobias Harris , PHI, 31, 58, 35, 23, 34.1, 118.2, 112.7, 5.6, 13.6, 2.34, 16.4, 3.2, 15.1, 9.1, 7.0, 53.7, 58.0, 20.2, 99.54, 11.5, 4094
126, Brandon Miller , CHA, 21, 57, 14, 43, 32.1, 108.8, 117.9, -9.1, 11.1, 1.29, 11.9, 2.6, 10.9, 6.6, 9.3, 52.2, 54.7, 23.1, 99.00, 8.1, 3765
126, Daniel Gafford , DAL, 25, 57, 16, 41, 24.7, 112.8, 119.0, -6.2, 7.2, 1.39, 13.9, 10.8, 18.7, 14.8, 10.0, 69.9, 71.3, 14.2, 104.52, 11.3, 3064
126, Franz Wagner , ORL, 22, 57, 34, 23, 33.1, 111.8, 108.6, 3.2, 18.8, 1.87, 16.5, 3.0, 13.9, 8.4, 8.8, 52.2, 56.9, 25.3, 98.68, 13.1, 3875
126, Fred VanVleet , HOU, 30, 57, 28, 29, 36.8, 113.2, 110.3, 2.9, 31.1, 4.71, 33.1, 1.0, 8.6, 4.8, 7.0, 52.3, 56.5, 18.7, 99.48, 11.6, 4350
126, Jabari Walker , POR, 21, 57, 16, 41, 22.1, 108.8, 116.9, -8.1, 5.9, 0.94, 9.3, 8.5, 21.3, 14.5, 9.9, 50.5, 55.1, 16.1, 98.67, 9.3, 2586
126, Jaren Jackson Jr. , MEM, 24, 57, 19, 38, 32.0, 106.8, 112.8, -6.0, 12.2, 0.89, 8.7, 3.6, 13.7, 8.5, 9.7, 49.7, 55.7, 30.1, 99.99, 11.2, 3792
126, Kawhi Leonard , LAC, 32, 57, 38, 19, 34.6, 119.1, 110.7, 8.3, 17.0, 2.23, 15.4, 3.7, 13.9, 9.1, 6.9, 58.5, 62.7, 25.8, 98.38, 15.6, 4043
126, Kevin Durant , PHX, 35, 57, 32, 25, 37.2, 118.5, 113.7, 4.7, 23.1, 1.63, 17.6, 1.6, 15.4, 9.0, 10.8, 58.6, 63.5, 28.9, 100.93, 15.7, 4468
