PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
1, Joel Embiid , PHI, 29, 34, 26, 8, 34.0, 35.3, 11.8, 22.2, 53.3, 1.2, 3.3, 36.6, 10.5, 11.9, 88.3, 2.6, 8.7, 11.3, 5.7, 3.7, 1.1, 1.8, 2.9, 62.4, 27.0, 2.0, 6.9
2, Luka Doncic , DAL, 25, 56, 33, 23, 37.6, 34.7, 11.8, 23.8, 49.7, 3.9, 10.3, 38.0, 7.1, 9.0, 78.9, 0.8, 8.3, 9.0, 9.8, 4.0, 1.5, 0.6, 2.1, 62.4, 38.0, 16.0, 2.6
3, Shai Gilgeous-Alexander , OKC, 25, 63, 45, 18, 34.4, 31.1, 11.0, 20.1, 54.6, 1.3, 3.5, 38.5, 7.8, 8.9, 88.2, 0.8, 4.7, 5.5, 6.4, 2.1, 2.1, 1.0, 2.5, 54.4, 7.0, 0.0, 8.4
4, Giannis Antetokounmpo , MIL, 29, 62, 40, 22, 35.0, 30.8, 11.5, 18.7, 61.5, 0.5, 1.8, 29.7, 7.3, 11.0, 66.1, 2.5, 8.7, 11.2, 6.5, 3.4, 1.2, 1.0, 2.9, 57.3, 49.0, 8.0, 5.5
5, Kevin Durant , PHX, 35, 57, 32, 25, 37.2, 28.3, 10.3, 19.4, 52.9, 2.2, 5.2, 42.3, 5.6, 6.5, 85.4, 0.6, 6.1, 6.7, 5.5, 3.4, 0.9, 1.3, 1.8, 47.7, 13.0, 1.0, 3.9
6, Donovan Mitchell , CLE, 27, 47, 32, 15, 35.7, 28.0, 9.7, 20.4, 47.2, 3.4, 9.1, 37.1, 5.3, 6.1, 86.1, 0.9, 4.5, 5.4, 6.2, 2.9, 1.8, 0.5, 2.3, 47.8, 6.0, 0.0, 7.7
7, Devin Booker , PHX, 27, 50, 31, 19, 35.8, 27.5, 9.6, 19.4, 49.4, 2.2, 5.8, 37.9, 6.1, 7.0, 88.0, 0.7, 3.9, 4.6, 6.8, 2.6, 0.9, 0.4, 3.0, 44.7, 10.0, 0.0, 4.9
8, Jalen Brunson , NYK, 27, 59, 36, 23, 35.3, 27.1, 9.6, 20.3, 47.4, 2.6, 6.5, 40.3, 5.2, 6.2, 84.3, 0.6, 3.1, 3.7, 6.5, 2.5, 0.9, 0.2, 2.0, 42.0, 5.0, 0.0, 5.0
9, De'Aaron Fox , SAC, 26, 55, 32, 23, 35.7, 27.0, 9.9, 21.1, 47.2, 2.7, 7.6, 36.0, 4.4, 6.2, 71.6, 0.9, 3.4, 4.3, 5.6, 2.6, 1.9, 0.4, 2.6, 44.8, 4.0, 0.0, 2.0
10, Stephen Curry , GSW, 35, 59, 33, 26, 32.8, 26.9, 8.9, 19.7, 44.9, 4.9, 12.1, 40.7, 4.3, 4.7, 92.0, 0.5, 3.8, 4.4, 4.9, 3.0, 0.8, 0.4, 1.7, 40.0, 5.0, 0.0, 1.5
11, Jayson Tatum , BOS, 26, 60, 47, 13, 35.9, 26.9, 9.1, 19.3, 47.3, 3.1, 8.3, 37.6, 5.5, 6.6, 82.9, 0.9, 7.6, 8.5, 4.9, 2.6, 1.0, 0.6, 2.0, 46.5, 23.0, 0.0, 8.7
