IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
1, Austin Reaves , LAL, 25, 66, 36, 30, 31.6, 1.9, 0.9, 2.4, 6.1, 10.9, 9.4, 11.0, 33.7, 0.2, 0.6, 1.8, 2.8
1, Buddy Hield , PHI, 31, 66, 35, 31, 27.0, 2.6, 1.1, 2.6, 3.2, 9.2, 8.2, 8.4, 32.3, 0.5, 0.5, 2.1, 0.5
3, Bobby Portis , MIL, 29, 65, 42, 23, 24.0, 1.5, 2.2, 1.0, 6.2, 6.6, 6.9, 6.8, 26.4, 0.4, 0.3, 2.4, 1.3
3, Dennis Schroder , BKN, 30, 65, 24, 41, 30.5, 1.8, 1.1, 0.9, 4.5, 9.6, 8.7, 9.0, 32.6, 0.2, 0.8, 2.0, 2.3
3, Mikal Bridges , BKN, 27, 65, 26, 39, 35.4, 2.9, 1.8, 2.7, 7.6, 10.8, 10.2, 11.3, 35.7, 0.4, 0.7, 1.5, 3.5
3, Naz Reid , MIN, 24, 65, 44, 21, 23.5, 2.0, 1.7, 1.5, 5.4, 7.9, 6.6, 6.3, 21.8, 0.9, 0.7, 2.1, 1.3
3, Nickeil Alexander-Walker , MIN, 25, 65, 44, 21, 23.3, 0.9, 0.7, 0.8, 2.1, 7.4, 6.0, 6.0, 21.9, 0.5, 0.3, 1.8, 1.0
3, Obi Toppin , IND, 26, 65, 36, 29, 21.9, 1.8, 1.4, 2.2, 5.5, 7.9, 6.3, 7.3, 28.6, 0.5, 0.4, 1.8, 1.1
9, Andre Drummond , CHI, 30, 64, 31, 33, 17.1, 1.4, 3.3, 0.4, 6.7, 5.7, 5.0, 4.7, 15.3, 0.6, 0.6, 1.8, 2.3
9, Cason Wallace , OKC, 20, 64, 45, 19, 20.4, 1.1, 0.5, 1.3, 2.5, 6.8, 6.9, 4.9, 20.8, 0.4, 0.3, 1.6, 0.5
9, Chet Holmgren , OKC, 21, 64, 45, 19, 30.1, 2.2, 2.2, 1.3, 8.6, 8.5, 10.4, 7.8, 29.0, 2.5, 0.8, 2.4, 3.0
9, Christian Braun , DEN, 22, 64, 44, 20, 19.1, 1.3, 0.6, 1.6, 3.5, 6.8, 5.7, 4.8, 18.8, 0.4, 0.6, 1.7, 1.1
9, Coby White , CHI, 24, 64, 31, 33, 36.9, 3.3, 1.5, 3.3, 6.8, 11.8, 10.1, 9.7, 34.5, 0.2, 0.8, 2.4, 4.0
9, Cole Anthony , ORL, 23, 64, 37, 27, 23.0, 1.8, 1.0, 1.3, 4.6, 7.8, 6.1, 6.3, 22.5, 0.5, 0.4, 2.5, 2.3
9, Collin Sexton , UTA, 25, 64, 28, 36, 25.4, 3.1, 1.9, 3.4, 8.1, 9.9, 6.9, 9.4, 27.2, 0.2, 1.5, 2.0, 3.9
9, Georges Niang , CLE, 30, 64, 41, 23, 21.7, 0.8, 0.7, 1.0, 2.8, 7.7, 5.9, 6.2, 20.7, 0.2, 0.2, 2.3, 0.6
9, Jalen Green , HOU, 22, 64, 29, 35, 30.8, 2.9, 0.9, 3.1, 7.0, 9.2, 8.7, 7.3, 31.1, 0.3, 1.3, 1.3, 3.3
9, Jeremy Sochan , SAS, 20, 64, 14, 50, 29.6, 1.5, 1.5, 1.6, 6.8, 11.8, 8.5, 8.9, 34.8, 0.5, 0.9, 2.4, 1.8
9, Jonas Valanciunas , NOP, 31, 64, 39, 25, 24.9, 1.0, 3.2, 0.3, 8.1, 7.8, 6.4, 7.5, 23.6, 1.0, 0.7, 2.8, 2.4
9, Paul Reed , PHI, 24, 64, 36, 28, 18.7, 0.9, 2.0, 0.3, 5.1, 5.3, 5.5, 6.1, 20.4, 1.0, 0.4, 2.4, 1.1
9, Reggie Jackson , DEN, 33, 64, 44, 20, 22.3, 1.2, 0.5, 0.9, 4.6, 7.9, 6.2, 5.6, 22.2, 0.1, 0.4, 1.8, 1.1
9, Tyus Jones , WAS, 27, 64, 11, 53, 29.2, 2.0, 0.7, 2.2, 5.6, 10.0, 10.7, 9.9, 38.1, 0.3, 0.4, 0.7, 0.7
23, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 2.8, 3.2, 1.0, 14.7, 9.3, 9.2, 7.3, 31.8, 0.7, 1.2, 3.3, 5.2
23, Ausar Thompson , DET, 21, 63, 10, 53, 25.1, 1.4, 1.4, 1.7, 6.2, 9.8, 6.9, 7.7, 26.3, 0.9, 0.5, 2.8, 1.9
23, Cedi Osman , SAS, 28, 63, 13, 50, 17.4, 0.9, 0.6, 1.1, 2.6, 6.6, 5.6, 5.6, 19.7, 0.1, 0.3, 1.5, 1.0
23, Domantas Sabonis , SAC, 27, 63, 36, 27, 35.8, 2.4, 3.5, 1.3, 14.7, 12.4, 8.0, 9.0, 37.7, 0.6, 1.0, 3.1, 4.4
23, Donte DiVincenzo , NYK, 27, 63, 37, 26, 26.6, 2.7, 1.9, 2.1, 3.5, 8.4, 6.8, 7.9, 26.3, 0.4, 0.4, 2.0, 1.3
23, Harrison Barnes , SAC, 31, 63, 36, 27, 29.2, 1.4, 1.0, 1.1, 4.1, 10.1, 6.6, 7.5, 31.7, 0.2, 0.3, 1.3, 1.9
23, Josh Giddey , OKC, 21, 63, 45, 18, 24.6, 1.5, 1.0, 1.7, 6.6, 7.2, 8.3, 6.8, 25.2, 0.5, 0.9, 1.3, 1.1
