IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
41, Kyle Kuzma, 62, 11, 51, 32, 109.1, 119.2, -10.1, 15.2, 3.1, 18.9, 10.9, 9.6, 30.5, 105.28,
41, Corey Kispert, 62, 11, 51, 23, 107.9, 118.5, -10.6, 13.9, 1.6, 10.6, 6.0, 8.9, 20.4, 105.04,
41, Brook Lopez, 62, 41, 21, 31, 117.2, 109.9, 7.3, 12.7, 5.2, 12.4, 9.0, 6.8, 15.4, 104.06,
41, Simone Fontecchio, 62, 27, 35, 24, 112.0, 114.3, -2.3, 14.1, 4.4, 11.7, 8.0, 9.0, 16.1, 103.97,
41, Anthony Davis, 62, 35, 27, 36, 114.2, 113.7, 0.6, 14.2, 10.1, 28.0, 19.4, 7.8, 26.4, 103.57,
41, Giannis Antetokounmpo, 62, 40, 22, 35, 119.7, 112.4, 7.3, 19.3, 8.1, 26.4, 17.6, 10.1, 32.7, 103.46,
41, Jonathan Kuminga, 62, 32, 30, 26, 114.2, 110.6, 3.6, 12.3, 5.7, 14.0, 10.0, 9.4, 24.3, 103.22,
41, Kelly Olynyk, 62, 29, 33, 21, 110.3, 117.2, -6.9, 34.1, 7.1, 18.9, 13.2, 13.0, 16.4, 102.98,
41, Luguentz Dort, 62, 43, 19, 28, 120.1, 110.6, 9.5, 11.6, 4.2, 10.2, 7.3, 7.7, 15.0, 102.73,
41, Bogdan Bogdanovic, 62, 28, 34, 30, 116.6, 114.9, 1.7, 15.4, 2.2, 10.2, 6.1, 6.9, 22.5, 102.73,
41, Malik Monk, 62, 36, 26, 26, 114.0, 116.7, -2.6, 25.3, 1.7, 11.3, 6.4, 10.2, 25.2, 102.64,
41, Norman Powell, 62, 40, 22, 26, 116.6, 111.3, 5.3, 8.1, 0.9, 10.3, 5.7, 6.8, 19.9, 101.89,
41, Kyle Anderson, 62, 43, 19, 22, 109.6, 105.8, 3.8, 36.1, 3.9, 13.6, 8.9, 11.0, 14.1, 100.77,
41, Anthony Edwards, 62, 42, 20, 35, 115.0, 106.0, 9.0, 16.3, 2.0, 14.1, 8.5, 10.1, 32.4, 99.96,
41, Nikola Jokic, 62, 43, 19, 34, 120.2, 110.4, 9.8, 28.6, 9.9, 29.9, 20.2, 9.2, 29.1, 99.53,
41, Sam Hauser, 62, 49, 13, 21, 118.2, 107.4, 10.7, 12.1, 3.1, 13.2, 8.4, 6.0, 13.7, 99.35,
41, Peyton Watson, 62, 43, 19, 18, 110.7, 111.5, -0.8, 12.7, 4.1, 12.8, 8.7, 9.3, 16.8, 98.96,
41, Ayo Dosunmu, 62, 31, 31, 27, 111.0, 112.7, -1.6, 21.8, 2.6, 8.3, 5.4, 9.2, 16.4, 98.95,
41, DeMar DeRozan, 62, 30, 32, 38, 112.3, 113.8, -1.5, 20.0, 1.7, 11.2, 6.3, 5.5, 24.9, 98.57,
41, Rudy Gobert, 62, 43, 19, 34, 114.0, 104.8, 9.2, 9.3, 13.5, 28.5, 21.7, 11.9, 15.6, 98.11,
