IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
1, Christian Braun, DEN, 68, 47, 21, 48.8, 40.2, 90.4, 44.5, 12.0, 32.4, 36.9, 19.4, 24.9, 77.8, 12.6, 32.5, 45.1, 24.4, 12.2, 6.6, 6.3, 6.7, 18.5, 20.9, 111.8, 1.9
1, Mikal Bridges, BKN, 68, 26, 42, 48.5, 41.9, 88.8, 47.2, 12.6, 33.5, 37.6, 17.8, 22.0, 80.9, 10.3, 35.2, 45.5, 25.3, 12.7, 6.9, 4.8, 5.4, 18.6, 18.9, 114.2, 2.7
1, Andre Drummond, CHI, 68, 33, 35, 49.1, 41.1, 87.1, 47.3, 15.1, 40.4, 37.5, 16.6, 20.7, 80.1, 10.4, 29.7, 40.1, 27.3, 14.3, 7.2, 6.0, 5.5, 22.8, 19.1, 114.0, 0.8
1, Reggie Jackson, DEN, 68, 47, 21, 48.1, 40.2, 87.6, 45.9, 11.7, 31.3, 37.4, 18.6, 24.2, 76.7, 11.2, 32.0, 43.2, 25.3, 11.8, 7.0, 4.5, 5.3, 18.3, 20.0, 110.7, -1.9
1, Bobby Portis, MIL, 68, 44, 24, 47.5, 43.7, 89.4, 48.9, 12.5, 34.2, 36.6, 17.6, 21.8, 80.9, 9.8, 32.4, 42.2, 27.4, 12.0, 6.2, 4.1, 4.4, 18.6, 20.2, 117.6, 0.3
1, Austin Reaves, LAL, 68, 36, 32, 47.1, 43.9, 90.8, 48.3, 14.3, 37.1, 38.7, 14.3, 17.8, 80.6, 10.3, 32.5, 42.8, 28.0, 12.5, 7.8, 4.6, 5.4, 19.9, 15.2, 116.4, 1.9
1, Jeremy Sochan, SAS, 68, 15, 53, 47.1, 44.4, 90.5, 49.0, 11.9, 33.0, 36.0, 15.1, 19.0, 79.2, 10.3, 33.4, 43.7, 28.0, 12.6, 8.9, 4.6, 6.4, 16.6, 16.4, 115.7, 7.6
1, Obi Toppin, IND, 68, 38, 30, 45.5, 43.7, 85.9, 50.9, 9.7, 27.0, 36.0, 20.1, 25.2, 79.7, 9.8, 30.3, 40.1, 23.2, 13.4, 6.8, 5.2, 5.9, 18.3, 21.2, 117.3, -2.1
9, Nickeil Alexander-Walker, MIN, 67, 46, 21, 47.8, 38.0, 85.6, 44.4, 11.5, 32.5, 35.3, 18.3, 23.6, 77.6, 10.2, 31.1, 41.3, 23.8, 14.7, 7.5, 4.2, 6.3, 18.9, 20.0, 105.8, -6.4
9, Cole Anthony, ORL, 67, 40, 27, 49.1, 40.1, 84.9, 47.3, 11.6, 33.5, 34.5, 18.5, 24.3, 76.2, 10.0, 30.4, 40.4, 23.8, 14.8, 7.8, 4.9, 5.6, 21.9, 22.0, 110.3, -1.3
9, Jalen Green, HOU, 67, 32, 35, 47.8, 41.2, 87.7, 47.0, 12.7, 35.5, 35.7, 17.8, 23.9, 74.6, 10.3, 34.3, 44.6, 25.5, 12.5, 7.0, 6.0, 4.0, 19.4, 19.8, 112.9, 0.2
9, Chet Holmgren, OKC, 67, 47, 20, 46.8, 39.8, 88.7, 44.9, 13.4, 36.7, 36.6, 18.1, 22.6, 80.1, 12.3, 31.3, 43.7, 26.1, 14.2, 6.4, 5.4, 7.4, 18.7, 18.2, 111.1, -7.6
9, Georges Niang, CLE, 67, 42, 25, 48.4, 40.9, 88.3, 46.4, 12.5, 34.5, 36.3, 18.4, 23.9, 76.9, 10.3, 32.8, 43.1, 25.0, 12.3, 7.4, 4.7, 4.8, 18.4, 19.8, 112.8, -1.5
9, Michael Porter Jr., DEN, 67, 47, 20, 48.8, 41.6, 88.4, 47.0, 11.1, 31.3, 35.6, 16.6, 21.3, 78.1, 10.2, 31.7, 41.9, 26.6, 12.1, 7.1, 4.7, 4.9, 18.6, 17.1, 111.0, -8.5
9, Payton Pritchard, BOS, 67, 53, 14, 49.6, 41.8, 91.5, 45.7, 12.4, 35.6, 34.8, 14.3, 18.7, 76.5, 11.1, 31.4, 42.4, 24.8, 11.8, 5.8, 4.0, 6.5, 17.5, 17.6, 110.2, -11.0
9, Paul Reed, PHI, 67, 37, 30, 49.4, 42.1, 85.9, 49.0, 12.1, 33.6, 36.1, 19.0, 24.3, 78.1, 11.0, 33.7, 44.7, 26.9, 16.0, 6.3, 6.9, 5.8, 17.8, 21.8, 115.3, -1.1
9, Naz Reid, MIN, 67, 46, 21, 47.8, 37.6, 86.3, 43.6, 11.1, 32.8, 33.9, 17.7, 22.6, 78.3, 10.7, 31.5, 42.2, 23.4, 14.9, 7.0, 5.0, 6.9, 19.2, 19.4, 104.1, -7.4
