IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
15, Nikola Jokic , DEN, 29, 66, 46, 20, 34.3, 25.9, 10.2, 17.5, 58.1, 1.0, 2.9, 34.6, 4.5, 5.5, 82.8, 2.9, 9.3, 12.2, 9.1, 2.9, 1.3, 0.9, 2.5, 57.8, 55.0, 21.0, 7.8
16, LeBron James , LAL, 39, 59, 31, 28, 35.2, 25.5, 9.6, 18.1, 53.0, 2.2, 5.4, 40.6, 4.1, 5.5, 74.4, 0.9, 6.3, 7.2, 8.1, 3.3, 1.3, 0.6, 1.2, 48.4, 20.0, 3.0, 1.6
17, Kyrie Irving , DAL, 31, 46, 28, 18, 34.3, 25.4, 9.6, 19.6, 49.0, 3.0, 7.2, 41.5, 3.2, 3.5, 90.7, 0.8, 4.3, 5.1, 5.3, 1.7, 1.2, 0.5, 1.8, 42.8, 5.0, 0.0, 2.7
18, Ja Morant , MEM, 24, 9, 6, 3, 35.3, 25.1, 8.9, 18.9, 47.1, 1.6, 5.7, 27.5, 5.8, 7.1, 81.3, 0.7, 4.9, 5.6, 8.1, 3.0, 0.8, 0.6, 2.1, 44.9, 3.0, 0.0, 1.2
19, Anthony Davis , LAL, 31, 64, 35, 29, 35.6, 24.5, 9.3, 16.9, 55.1, 0.3, 1.2, 26.3, 5.5, 6.8, 81.4, 3.1, 9.2, 12.3, 3.6, 2.0, 1.2, 2.4, 2.3, 53.4, 53.0, 2.0, 0.4
20, Damian Lillard , MIL, 33, 63, 44, 19, 35.1, 24.4, 7.4, 17.4, 42.5, 3.0, 8.6, 35.4, 6.6, 7.1, 92.6, 0.5, 3.8, 4.4, 7.0, 2.5, 1.0, 0.2, 1.7, 41.4, 11.0, 0.0, 6.0
21, Desmond Bane , MEM, 25, 38, 14, 24, 34.5, 24.4, 8.9, 18.8, 47.3, 3.3, 8.7, 38.6, 3.3, 3.8, 85.6, 0.9, 3.6, 4.5, 5.3, 2.7, 1.0, 0.6, 2.9, 39.8, 2.0, 0.0, -3.6
22, Julius Randle , NYK, 29, 46, 29, 17, 35.4, 24.0, 8.6, 18.2, 47.2, 1.7, 5.3, 31.1, 5.1, 6.6, 78.1, 2.2, 7.0, 9.2, 5.0, 3.5, 0.5, 0.3, 2.7, 41.4, 18.0, 1.0, 4.7
23, LaMelo Ball , CHA, 22, 22, 7, 15, 32.3, 23.9, 8.3, 19.2, 43.3, 3.2, 9.0, 35.5, 4.1, 4.7, 86.5, 1.3, 3.8, 5.1, 8.0, 3.8, 1.8, 0.2, 3.6, 44.3, 7.0, 1.0, -6.3
24, Kawhi Leonard , LAC, 32, 61, 39, 22, 34.3, 23.8, 8.9, 17.0, 52.5, 2.1, 5.0, 42.3, 3.8, 4.3, 88.9, 1.2, 4.9, 6.1, 3.7, 1.7, 1.6, 0.9, 1.4, 42.4, 3.0, 1.0, 5.9
25, DeMar DeRozan , CHI, 34, 66, 32, 34, 37.7, 23.2, 7.8, 16.5, 47.3, 1.0, 2.9, 33.5, 6.6, 7.6, 85.9, 0.6, 3.7, 4.3, 5.3, 1.5, 1.1, 0.6, 2.1, 39.7, 6.0, 0.0, -1.4
26, Jaylen Brown , BOS, 27, 60, 46, 14, 33.4, 23.1, 9.0, 17.9, 50.2, 2.1, 5.9, 35.4, 3.1, 4.3, 70.4, 1.2, 4.4, 5.6, 3.7, 2.3, 1.1, 0.5, 2.7, 37.8, 5.0, 1.0, 6.7
27, Anfernee Simons , POR, 24, 43, 11, 32, 34.7, 23.1, 8.0, 18.5, 43.1, 3.5, 8.9, 39.0, 3.7, 4.0, 91.8, 0.5, 3.2, 3.7, 5.6, 2.8, 0.5, 0.1, 2.2, 34.8, 3.0, 0.0, -7.0
28, Lauri Markkanen , UTA, 26, 51, 22, 29, 32.9, 23.1, 7.7, 16.0, 48.3, 3.2, 8.0, 40.1, 4.4, 4.9, 88.8, 2.3, 6.0, 8.3, 2.0, 1.3, 0.9, 0.5, 1.9, 38.7, 18.0, 0.0, 1.0
29, Paolo Banchero , ORL, 21, 66, 39, 27, 34.9, 22.8, 8.1, 17.5, 46.4, 1.5, 4.2, 36.7, 5.0, 7.1, 71.2, 1.1, 5.7, 6.8, 5.3, 3.1, 1.0, 0.6, 2.0, 40.4, 13.0, 1.0, 0.0
30, Zion Williamson , NOP, 23, 56, 34, 22, 30.9, 22.6, 8.9, 15.3, 58.2, 0.1, 0.3, 35.7, 4.7, 6.8, 69.6, 1.8, 4.0, 5.8, 5.1, 2.5, 0.9, 0.6, 2.2, 39.2, 10.0, 0.0, 2.2
31, Jaren Jackson Jr. , MEM, 24, 58, 19, 39, 32.1, 22.4, 7.7, 17.2, 44.6, 1.9, 5.6, 33.1, 5.1, 6.3, 81.0, 1.2, 4.4, 5.6, 2.2, 2.4, 1.1, 1.6, 3.5, 38.1, 5.0, 0.0, -4.2
32, Kyle Kuzma , WAS, 28, 65, 11, 54, 32.2, 22.4, 8.7, 18.7, 46.5, 2.2, 6.6, 33.6, 2.7, 3.5, 78.4, 1.0, 5.6, 6.5, 4.2, 2.7, 0.5, 0.7, 2.2, 37.5, 12.0, 0.0, -8.4
33, Paul George , LAC, 33, 61, 39, 22, 34.2, 22.3, 7.8, 16.9, 46.3, 3.3, 8.2, 40.0, 3.4, 3.8, 89.1, 0.5, 4.8, 5.3, 3.7, 2.1, 1.6, 0.5, 2.8, 38.2, 1.0, 0.0, 6.4
34, Dejounte Murray , ATL, 27, 64, 28, 36, 35.4, 22.3, 8.5, 18.2, 46.5, 2.5, 6.7, 36.7, 2.9, 3.6, 81.1, 0.7, 4.5, 5.2, 5.9, 2.4, 1.3, 0.3, 1.7, 39.8, 12.0, 0.0, -1.8
35, Cade Cunningham , DET, 22, 57, 8, 49, 33.6, 22.2, 8.3, 18.4, 45.0, 1.9, 5.5, 35.3, 3.7, 4.3, 86.5, 0.5, 3.7, 4.3, 7.6, 3.5, 0.8, 0.4, 2.5, 38.8, 13.0, 0.0, -5.6
36, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 22.1, 7.9, 15.5, 50.6, 2.2, 5.3, 42.3, 4.2, 4.8, 87.4, 1.5, 6.9, 8.4, 3.0, 2.8, 0.7, 0.7, 3.3, 38.0, 22.0, 0.0, 5.7
37, Pascal Siakam , IND, 29, 66, 29, 37, 33.9, 21.5, 8.4, 15.7, 53.2, 1.1, 3.3, 33.6, 3.7, 4.9, 74.5, 1.6, 5.1, 6.7, 4.6, 1.8, 0.8, 0.3, 2.4, 38.2, 11.0, 1.0, 0.7
38, Cam Thomas , BKN, 22, 53, 18, 35, 30.2, 21.5, 7.8, 17.5, 44.2, 2.1, 5.6, 36.8, 3.9, 4.6, 84.0, 0.4, 2.7, 3.1, 2.8, 1.8, 0.8, 0.2, 2.1, 30.5, 0.0, 0.0, -2.3
39, Jimmy Butler , MIA, 34, 47, 24, 23, 34.1, 21.4, 6.9, 13.7, 50.0, 1.0, 2.3, 42.2, 6.7, 7.9, 85.2, 1.9, 3.5, 5.5, 4.8, 1.7, 1.4, 0.4, 1.2, 38.7, 5.0, 1.0, 2.6
40, Miles Bridges , CHA, 25, 57, 14, 43, 37.6, 21.3, 8.2, 17.9, 45.7, 2.3, 6.6, 35.4, 2.6, 3.1, 82.5, 1.0, 6.6, 7.6, 3.4, 2.0, 1.0, 0.5, 1.8, 37.9, 18.0, 0.0, -8.9
41, Brandon Ingram , NOP, 26, 61, 37, 24, 33.2, 21.2, 7.9, 16.1, 49.1, 1.4, 3.8, 36.1, 4.0, 5.0, 80.3, 0.7, 4.4, 5.1, 5.8, 2.6, 0.8, 0.6, 2.3, 37.8, 3.0, 1.0, 3.4
42, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 21.1, 8.4, 15.6, 53.7, 0.5, 1.8, 29.7, 3.9, 5.6, 69.3, 2.9, 6.4, 9.3, 5.0, 2.6, 1.2, 0.7, 3.3, 43.0, 29.0, 2.0, 0.8
43, Jerami Grant , POR, 30, 54, 17, 37, 33.9, 21.0, 7.1, 15.7, 45.1, 2.1, 5.1, 40.2, 4.7, 5.8, 81.7, 0.7, 2.9, 3.5, 2.8, 2.1, 0.8, 0.6, 2.2, 31.7, 1.0, 0.0, -6.5
44, Jamal Murray , DEN, 27, 52, 38, 14, 32.0, 20.9, 7.9, 16.7, 47.6, 2.4, 5.7, 41.6, 2.7, 3.2, 84.8, 0.7, 3.4, 4.1, 6.6, 2.1, 0.9, 0.6, 1.8, 38.4, 10.0, 0.0, 4.8
45, Victor Wembanyama , SAS, 20, 60, 14, 46, 29.0, 20.8, 7.6, 16.3, 46.7, 1.7, 5.2, 32.7, 4.0, 4.9, 80.3, 2.2, 8.2, 10.4, 3.5, 3.5, 1.3, 3.5, 2.2, 49.2, 36.0, 2.0, -2.5
46, Tyler Herro , MIA, 24, 36, 19, 17, 33.6, 20.8, 7.9, 18.0, 43.7, 3.3, 8.1, 39.9, 1.8, 2.2, 83.5, 0.5, 4.8, 5.3, 4.4, 2.1, 0.8, 0.1, 1.4, 34.3, 2.0, 0.0, -0.6
47, Mikal Bridges , BKN, 27, 68, 26, 42, 35.3, 20.6, 7.2, 16.4, 43.9, 2.5, 7.0, 36.3, 3.6, 4.4, 81.7, 0.8, 4.0, 4.8, 3.7, 2.1, 1.0, 0.4, 1.5, 33.9, 3.0, 0.0, -1.9
48, Tyrese Haliburton , IND, 24, 55, 31, 24, 32.3, 20.5, 7.4, 15.5, 47.9, 2.8, 7.7, 36.5, 2.9, 3.3, 85.8, 0.5, 3.4, 3.9, 11.2, 2.4, 1.1, 0.7, 1.0, 44.9, 38.0, 1.0, 3.3
49, Kristaps Porzingis , BOS, 28, 46, 35, 11, 29.8, 20.4, 6.8, 13.2, 52.0, 2.0, 5.2, 37.5, 4.8, 5.6, 85.9, 1.6, 5.4, 7.0, 2.0, 1.6, 0.6, 1.8, 2.7, 37.6, 9.0, 0.0, 8.0
50, Domantas Sabonis , SAC, 27, 66, 38, 28, 35.9, 20.1, 8.2, 13.3, 61.4, 0.5, 1.1, 42.3, 3.3, 4.8, 69.5, 3.5, 10.1, 13.6, 8.3, 3.3, 0.9, 0.6, 3.1, 50.1, 62.0, 23.0, 0.3
51, Franz Wagner , ORL, 22, 60, 37, 23, 32.9, 20.1, 7.5, 15.6, 47.9, 1.4, 4.8, 29.2, 3.7, 4.4, 84.8, 1.0, 4.6, 5.6, 3.9, 2.1, 1.1, 0.4, 2.4, 34.9, 0.0, 0.0, 2.7
52, Terry Rozier , MIA, 30, 50, 16, 34, 34.1, 19.9, 7.3, 16.5, 44.3, 2.2, 6.6, 33.1, 3.1, 3.6, 86.2, 0.6, 3.5, 4.2, 6.2, 1.8, 1.0, 0.3, 1.7, 36.4, 4.0, 0.0, -6.7
53, Bam Adebayo , MIA, 26, 57, 32, 25, 34.6, 19.9, 7.6, 14.9, 51.4, 0.1, 0.3, 23.5, 4.5, 6.0, 75.3, 2.3, 8.2, 10.5, 3.9, 2.3, 1.1, 1.0, 2.4, 42.3, 34.0, 2.0, 0.1
54, Scottie Barnes , TOR, 22, 60, 22, 38, 34.9, 19.9, 7.5, 15.7, 47.5, 1.7, 4.9, 34.1, 3.3, 4.2, 78.1, 2.4, 5.9, 8.2, 6.1, 2.8, 1.3, 1.5, 2.0, 44.2, 25.0, 4.0, -2.4
55, RJ Barrett , TOR, 23, 53, 24, 29, 31.6, 19.5, 7.3, 14.9, 48.8, 1.6, 4.4, 36.9, 3.4, 4.8, 70.9, 0.9, 4.4, 5.3, 3.2, 2.0, 0.5, 0.4, 2.2, 31.4, 1.0, 0.0, -2.3
56, Coby White , CHI, 24, 66, 32, 34, 36.7, 19.5, 6.9, 15.3, 45.2, 2.8, 7.3, 38.8, 2.8, 3.4, 83.9, 0.6, 4.1, 4.7, 5.2, 2.2, 0.7, 0.2, 2.4, 33.6, 4.0, 0.0, -0.3
57, Zach LaVine , CHI, 29, 25, 10, 15, 34.9, 19.5, 6.8, 15.0, 45.2, 2.4, 6.8, 34.9, 3.5, 4.1, 85.4, 0.3, 4.8, 5.2, 3.9, 2.1, 0.8, 0.3, 2.3, 33.0, 1.0, 0.0, -3.7
58, Devin Vassell , SAS, 23, 62, 14, 48, 32.8, 19.3, 7.2, 15.3, 47.0, 2.5, 6.6, 38.0, 2.4, 3.0, 79.4, 0.4, 3.4, 3.8, 4.0, 1.6, 1.0, 0.4, 1.1, 32.5, 0.0, 0.0, -4.0
59, Jalen Williams , OKC, 22, 60, 42, 18, 31.7, 19.2, 7.5, 14.0, 53.8, 1.5, 3.4, 44.9, 2.6, 3.2, 81.9, 0.5, 3.6, 4.1, 4.5, 1.7, 1.1, 0.6, 2.6, 34.2, 2.0, 0.0, 5.0
60, Darius Garland , CLE, 24, 43, 25, 18, 33.2, 18.8, 6.8, 14.7, 45.9, 2.4, 6.2, 38.5, 2.9, 3.5, 84.0, 0.4, 2.0, 2.5, 6.3, 3.1, 1.3, 0.1, 1.7, 32.4, 3.0, 0.0, 2.5
61, Bradley Beal , PHX, 30, 39, 23, 16, 33.0, 18.8, 7.4, 14.6, 50.7, 1.7, 4.4, 37.8, 2.4, 3.0, 79.5, 0.9, 3.2, 4.1, 4.8, 2.5, 1.0, 0.3, 2.5, 32.3, 2.0, 0.0, 1.2
62, Jalen Green , HOU, 22, 67, 32, 35, 31.1, 18.7, 6.6, 15.7, 41.7, 2.2, 6.9, 32.1, 3.4, 4.2, 80.6, 0.4, 4.5, 4.9, 3.4, 2.2, 0.7, 0.3, 1.3, 30.7, 5.0, 1.0, -0.1
63, CJ McCollum , NOP, 32, 51, 34, 17, 31.3, 18.4, 6.7, 14.7, 45.6, 3.3, 7.9, 41.0, 1.7, 2.1, 79.4, 0.5, 3.7, 4.3, 4.4, 1.6, 1.0, 0.7, 2.0, 33.6, 1.0, 0.0, 3.2
64, Collin Sexton , UTA, 25, 67, 29, 38, 25.7, 18.3, 6.3, 12.8, 48.7, 1.7, 4.1, 40.3, 4.1, 4.8, 86.3, 0.9, 1.7, 2.6, 4.8, 2.0, 0.8, 0.2, 2.0, 29.6, 4.0, 0.0, -0.3
65, Nikola Vucevic , CHI, 33, 63, 31, 32, 34.5, 18.2, 7.8, 16.3, 47.8, 1.2, 4.2, 28.4, 1.4, 1.6, 85.3, 2.8, 7.8, 10.7, 3.3, 1.6, 0.7, 0.8, 2.6, 38.6, 39.0, 0.0, -2.0
66, D'Angelo Russell , LAL, 28, 63, 36, 27, 32.1, 17.9, 6.6, 14.1, 46.7, 2.8, 6.7, 41.9, 2.0, 2.5, 80.0, 0.4, 2.5, 3.0, 6.3, 2.0, 0.8, 0.5, 2.1, 33.0, 7.0, 0.0, 1.3
67, Jordan Clarkson , UTA, 31, 54, 22, 32, 30.5, 17.4, 6.2, 15.0, 41.7, 1.7, 5.7, 29.6, 3.2, 3.6, 88.3, 0.9, 2.5, 3.4, 5.0, 2.6, 0.6, 0.1, 1.5, 28.6, 6.0, 1.0, -3.3
68, Bojan Bogdanovic , NYK, 34, 42, 10, 32, 29.5, 17.3, 6.1, 13.5, 45.1, 2.7, 6.7, 39.7, 2.5, 3.2, 78.9, 0.4, 2.6, 3.1, 2.0, 2.0, 0.7, 0.1, 2.0, 24.4, 1.0, 0.0, -7.8
69, James Harden , LAC, 34, 60, 38, 22, 34.7, 17.3, 5.1, 11.6, 44.0, 2.8, 6.8, 40.3, 4.4, 5.0, 88.2, 0.5, 4.7, 5.1, 8.3, 2.6, 1.1, 0.9, 1.9, 39.2, 18.0, 2.0, 4.8
70, Myles Turner , IND, 27, 64, 36, 28, 27.4, 17.3, 6.3, 12.0, 52.4, 1.4, 4.1, 34.2, 3.3, 4.3, 78.0, 1.6, 5.5, 7.0, 1.3, 1.5, 0.5, 1.8, 3.1, 33.2, 14.0, 0.0, 2.5
71, Klay Thompson , GSW, 34, 63, 32, 31, 29.6, 17.2, 6.1, 14.4, 42.2, 3.3, 8.7, 38.3, 1.7, 1.9, 91.5, 0.5, 2.9, 3.4, 2.2, 1.5, 0.6, 0.5, 1.7, 26.2, 0.0, 0.0, -1.3
72, Tobias Harris , PHI, 31, 60, 35, 25, 33.8, 17.1, 6.6, 13.5, 49.0, 1.2, 3.6, 33.8, 2.7, 3.1, 88.2, 1.1, 5.1, 6.2, 3.2, 1.3, 1.1, 0.6, 1.6, 32.8, 7.0, 0.0, 3.2
73, Fred VanVleet , HOU, 30, 60, 31, 29, 36.8, 16.9, 5.6, 13.5, 41.4, 3.0, 7.8, 38.3, 2.7, 3.1, 86.6, 0.4, 3.4, 3.8, 8.2, 1.8, 1.2, 0.8, 2.3, 38.0, 19.0, 0.0, 2.9
74, Chet Holmgren , OKC, 21, 67, 47, 20, 30.2, 16.8, 6.3, 11.8, 53.7, 1.7, 4.3, 39.2, 2.5, 3.1, 79.1, 1.6, 6.3, 7.9, 2.7, 1.6, 0.6, 2.5, 2.4, 38.1, 20.0, 0.0, 4.9
75, Michael Porter Jr. , DEN, 25, 67, 47, 20, 31.7, 16.7, 6.4, 13.3, 48.5, 2.8, 6.9, 40.0, 1.1, 1.3, 82.8, 1.3, 5.7, 7.0, 1.5, 1.1, 0.5, 0.7, 1.9, 30.0, 13.0, 0.0, 5.5
76, Jordan Poole , WAS, 24, 66, 11, 55, 29.1, 16.7, 6.0, 14.6, 41.1, 2.2, 6.9, 32.4, 2.5, 2.8, 86.2, 0.4, 2.1, 2.5, 3.9, 2.3, 1.1, 0.4, 3.2, 27.6, 1.0, 0.0, -7.2
77, Brandon Miller , CHA, 21, 61, 15, 46, 31.9, 16.6, 6.3, 14.4, 43.6, 2.3, 6.3, 36.6, 1.8, 2.1, 81.7, 0.9, 3.3, 4.2, 2.4, 1.8, 0.9, 0.6, 2.6, 28.0, 1.0, 0.0, -6.2
78, Bogdan Bogdanovic , ATL, 31, 64, 29, 35, 29.7, 16.5, 5.9, 14.0, 42.1, 3.1, 8.4, 36.8, 1.7, 1.9, 91.6, 0.6, 2.7, 3.4, 3.0, 1.4, 1.3, 0.3, 2.3, 28.5, 0.0, 0.0, 2.5
79, Immanuel Quickley , TOR, 24, 62, 26, 36, 28.9, 16.4, 5.6, 13.0, 43.2, 2.5, 6.2, 39.6, 2.7, 3.3, 82.9, 0.2, 3.4, 3.6, 4.6, 1.4, 0.7, 0.1, 1.6, 28.8, 6.0, 0.0, -0.5
80, Jonathan Kuminga , GSW, 21, 65, 34, 31, 26.1, 16.2, 6.2, 11.6, 53.0, 0.7, 2.3, 32.4, 3.2, 4.2, 74.3, 1.3, 3.5, 4.8, 2.1, 1.7, 0.7, 0.5, 2.2, 26.9, 4.0, 0.0, 1.7
81, Jarrett Allen , CLE, 25, 62, 40, 22, 31.6, 16.1, 6.5, 10.4, 62.5, 0.0, 0.1, 0.0, 3.0, 4.1, 73.5, 3.3, 7.3, 10.6, 2.7, 1.7, 0.7, 1.2, 2.1, 36.9, 33.0, 0.0, 3.7
82, Keldon Johnson , SAS, 24, 63, 15, 48, 29.6, 16.0, 5.8, 12.8, 45.6, 1.9, 5.4, 35.1, 2.5, 3.1, 79.1, 1.4, 4.1, 5.5, 2.9, 1.5, 0.8, 0.3, 2.2, 28.7, 9.0, 0.0, -5.3
83, Shaedon Sharpe , POR, 20, 32, 8, 24, 33.1, 15.9, 5.5, 13.6, 40.6, 1.9, 5.6, 33.3, 3.1, 3.7, 82.4, 1.3, 3.7, 5.0, 2.9, 2.3, 0.9, 0.4, 2.8, 27.8, 1.0, 0.0, -7.7
84, Jalen Johnson , ATL, 22, 50, 25, 25, 34.0, 15.9, 6.4, 12.4, 51.5, 1.3, 3.5, 36.4, 1.9, 2.6, 72.0, 1.3, 7.3, 8.6, 3.5, 1.7, 1.2, 0.9, 2.5, 36.0, 18.0, 0.0, -1.0
85, Austin Reaves , LAL, 25, 68, 36, 32, 31.8, 15.9, 5.6, 11.4, 49.4, 1.9, 5.0, 38.1, 2.8, 3.2, 85.9, 0.6, 3.5, 4.1, 5.5, 2.2, 0.9, 0.2, 1.8, 30.0, 6.0, 0.0, -1.3
86, Deandre Ayton , POR, 25, 45, 12, 33, 32.3, 15.7, 7.3, 12.5, 58.1, 0.0, 0.1, 33.3, 1.2, 1.4, 82.8, 3.2, 7.8, 11.1, 1.6, 1.8, 1.0, 0.8, 2.1, 35.1, 25.0, 0.0, -4.6
87, Malik Monk , SAC, 26, 65, 38, 27, 26.2, 15.7, 5.6, 12.5, 44.8, 2.2, 6.0, 36.9, 2.3, 2.8, 81.4, 0.4, 2.6, 3.0, 5.3, 2.1, 0.6, 0.6, 2.1, 28.8, 2.0, 0.0, 0.3
88, Malcolm Brogdon , POR, 31, 39, 15, 24, 28.7, 15.7, 5.6, 12.7, 44.0, 2.1, 5.1, 41.2, 2.4, 3.0, 81.9, 0.7, 3.1, 3.8, 5.5, 1.5, 0.7, 0.2, 1.5, 29.7, 4.0, 0.0, -2.1
89, Tim Hardaway Jr. , DAL, 32, 65, 38, 27, 27.9, 15.7, 5.4, 13.2, 40.7, 2.9, 8.0, 35.9, 2.1, 2.4, 85.4, 0.3, 3.1, 3.4, 1.7, 0.9, 0.5, 0.1, 1.4, 23.1, 0.0, 0.0, 0.4
90, Evan Mobley , CLE, 22, 38, 24, 14, 31.1, 15.6, 6.5, 11.3, 57.7, 0.3, 0.9, 31.4, 2.3, 3.3, 70.4, 2.4, 7.8, 10.2, 3.1, 1.9, 0.9, 1.6, 2.8, 37.9, 20.0, 0.0, 1.1
91, De'Andre Hunter , ATL, 26, 43, 20, 23, 28.4, 15.6, 5.3, 11.0, 48.0, 2.0, 4.9, 42.1, 2.9, 3.4, 86.3, 0.5, 3.1, 3.7, 1.3, 1.4, 0.7, 0.3, 2.7, 23.8, 1.0, 0.0, -0.6
92, Jaden Ivey , DET, 22, 63, 12, 51, 28.6, 15.2, 5.3, 12.1, 43.5, 1.5, 4.6, 32.9, 3.1, 4.1, 75.9, 1.2, 2.2, 3.5, 3.7, 2.5, 0.7, 0.6, 2.8, 26.5, 1.0, 0.0, -3.6
93, Derrick White , BOS, 29, 62, 50, 12, 32.3, 15.1, 5.3, 11.4, 46.6, 2.6, 6.5, 40.0, 1.9, 2.1, 89.9, 0.7, 3.5, 4.1, 5.0, 1.6, 1.0, 1.3, 2.1, 33.0, 3.0, 0.0, 9.3
94, Khris Middleton , MIL, 32, 44, 28, 16, 26.2, 15.0, 5.7, 11.6, 48.8, 1.7, 4.5, 38.1, 1.9, 2.3, 83.8, 0.6, 3.6, 4.3, 5.1, 2.1, 0.9, 0.3, 2.5, 29.1, 4.0, 0.0, 3.9
95, OG Anunoby , NYK, 26, 44, 26, 18, 34.1, 14.9, 5.7, 11.5, 49.2, 2.0, 5.5, 37.1, 1.5, 2.0, 76.7, 1.0, 3.4, 4.3, 2.3, 1.6, 1.3, 0.7, 2.3, 27.9, 0.0, 0.0, 7.6
96, Keegan Murray , SAC, 23, 61, 35, 26, 33.0, 14.7, 5.5, 12.1, 45.9, 2.2, 6.1, 35.5, 1.4, 1.7, 84.6, 1.3, 4.1, 5.3, 1.6, 0.9, 1.1, 0.7, 2.7, 28.0, 5.0, 0.0, 0.9
97, Kelly Oubre Jr. , PHI, 28, 54, 30, 24, 29.5, 14.7, 5.4, 12.2, 44.4, 1.4, 4.6, 30.0, 2.5, 3.3, 73.9, 1.3, 3.3, 4.6, 1.2, 1.1, 1.1, 0.5, 3.0, 25.8, 2.0, 0.0, -1.6
