IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
1, Joel Embiid , PHI, 30, 34, 26, 8, 34.0, 35.3, 11.8, 22.2, 53.3, 1.2, 3.3, 36.6, 10.5, 11.9, 88.3, 2.6, 8.7, 11.3, 5.7, 3.7, 1.1, 1.8, 2.9, 62.4, 27.0, 2.0, 6.9
2, Luka Doncic , DAL, 25, 59, 36, 23, 37.4, 34.4, 11.7, 23.7, 49.3, 3.9, 10.4, 38.0, 7.1, 8.9, 78.8, 0.8, 8.2, 9.0, 9.7, 3.9, 1.4, 0.6, 2.1, 61.8, 40.0, 17.0, 3.3
3, Shai Gilgeous-Alexander , OKC, 25, 66, 47, 19, 34.5, 30.9, 10.9, 20.1, 54.4, 1.3, 3.5, 37.3, 7.8, 8.9, 87.5, 0.9, 4.8, 5.7, 6.3, 2.2, 2.0, 0.9, 2.5, 54.0, 8.0, 0.0, 8.2
4, Giannis Antetokounmpo , MIL, 29, 64, 41, 23, 35.0, 30.8, 11.4, 18.6, 61.6, 0.5, 1.8, 29.2, 7.4, 11.2, 66.5, 2.5, 8.7, 11.2, 6.4, 3.4, 1.2, 1.0, 2.9, 57.1, 51.0, 8.0, 5.0
5, Kevin Durant , PHX, 35, 61, 34, 27, 37.3, 27.8, 10.1, 19.3, 52.5, 2.2, 5.2, 41.9, 5.3, 6.3, 85.3, 0.5, 6.2, 6.7, 5.4, 3.3, 0.9, 1.2, 1.8, 47.0, 13.0, 1.0, 3.3
6, Jalen Brunson , NYK, 27, 62, 39, 23, 35.2, 27.5, 9.8, 20.4, 47.8, 2.7, 6.7, 40.2, 5.3, 6.3, 84.3, 0.6, 3.0, 3.6, 6.4, 2.5, 1.0, 0.2, 1.9, 42.4, 5.0, 0.0, 5.5
7, Donovan Mitchell , CLE, 27, 49, 33, 16, 35.4, 27.4, 9.4, 20.2, 46.8, 3.4, 9.1, 37.3, 5.1, 5.9, 86.2, 0.9, 4.4, 5.3, 6.1, 2.9, 1.8, 0.5, 2.2, 46.8, 6.0, 0.0, 7.0
8, Devin Booker , PHX, 27, 54, 33, 21, 35.9, 27.2, 9.6, 19.5, 49.1, 2.1, 5.9, 35.8, 6.0, 6.8, 88.3, 0.7, 3.9, 4.7, 6.9, 2.5, 0.9, 0.4, 3.0, 44.7, 11.0, 0.0, 4.6
9, Jayson Tatum , BOS, 26, 64, 51, 13, 35.7, 27.1, 9.2, 19.4, 47.4, 3.2, 8.4, 37.9, 5.5, 6.7, 82.9, 0.9, 7.4, 8.3, 4.9, 2.5, 1.0, 0.6, 2.0, 46.5, 23.0, 0.0, 9.4
10, Stephen Curry , GSW, 36, 60, 34, 26, 32.8, 27.0, 8.9, 19.8, 45.0, 4.9, 12.1, 40.5, 4.3, 4.7, 91.8, 0.5, 3.9, 4.4, 4.9, 3.0, 0.8, 0.4, 1.7, 40.2, 5.0, 0.0, 1.6
11, De'Aaron Fox , SAC, 26, 58, 34, 24, 35.7, 26.8, 9.8, 20.9, 47.0, 2.7, 7.5, 36.2, 4.4, 6.1, 72.2, 0.9, 3.4, 4.3, 5.7, 2.7, 1.9, 0.4, 2.6, 44.8, 4.0, 0.0, 2.6
12, Anthony Edwards , MIN, 22, 64, 44, 20, 35.1, 26.5, 9.3, 20.0, 46.5, 2.5, 6.8, 37.3, 5.4, 6.5, 83.6, 0.6, 4.8, 5.4, 5.0, 3.1, 1.3, 0.6, 1.9, 43.0, 7.0, 0.0, 6.9
13, Trae Young , ATL, 25, 51, 22, 29, 36.5, 26.4, 8.2, 19.3, 42.6, 3.3, 8.9, 37.1, 6.6, 7.8, 85.6, 0.4, 2.3, 2.7, 10.8, 4.3, 1.4, 0.2, 2.1, 46.4, 35.0, 0.0, -2.2
14, Tyrese Maxey , PHI, 23, 58, 36, 22, 37.3, 26.0, 9.0, 20.1, 44.9, 3.1, 8.1, 38.2, 4.9, 5.6, 86.8, 0.6, 3.2, 3.7, 6.2, 1.7, 1.0, 0.5, 2.1, 42.3, 6.0, 0.0, 3.7
