IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
344, Skylar Mays , LAL, 26, 33, 11, 22, 12.8, 0.7, 0.8, 0.3, 2.2, 4.7, 3.4, 5.4, 14.8, 0.1, 0.3, 0.8, 0.5
348, A.J. Lawson , DAL, 23, 32, 19, 13, 7.6, 0.8, 0.7, 1.1, 1.9, 2.6, 2.4, 3.1, 8.6, 0.1, 0.2, 0.6, 0.4
348, Alex Len , SAC, 30, 32, 16, 16, 8.7, 0.2, 0.9, 0.1, 2.1, 2.1, 1.7, 1.6, 7.3, 0.6, 0.3, 1.2, 0.6
348, Nikola Jovic , MIA, 20, 32, 15, 17, 17.6, 1.1, 0.2, 0.7, 2.1, 5.5, 5.5, 4.3, 18.3, 0.3, 0.2, 1.8, 1.2
348, Shaedon Sharpe , POR, 20, 32, 8, 24, 33.1, 3.1, 2.1, 2.2, 5.7, 12.2, 10.3, 11.5, 39.2, 0.4, 1.0, 2.8, 3.6
352, Damian Jones , CLE, 28, 31, 21, 10, 7.4, 0.5, 0.5, 0.3, 1.9, 3.2, 1.8, 2.5, 6.0, 0.4, 0.1, 0.7, 0.5
352, Gary Payton II , GSW, 31, 31, 18, 13, 15.2, 1.2, 1.2, 0.8, 3.5, 5.0, 3.0, 5.2, 15.6, 0.4, 0.3, 1.6, 0.5
352, Kevin Knox II , DET, 24, 31, 4, 27, 18.1, 1.2, 0.5, 1.8, 3.1, 7.0, 4.2, 5.6, 21.0, 0.2, 0.4, 1.6, 0.7
352, Lamar Stevens , MEM, 26, 31, 19, 12, 12.3, 1.0, 0.9, 0.8, 3.8, 5.1, 4.1, 3.6, 11.4, 0.5, 0.3, 1.2, 0.9
352, Maxi Kleber , DAL, 32, 31, 17, 14, 21.0, 0.7, 0.5, 0.0, 1.3, 7.3, 5.7, 6.4, 21.9, 0.6, 0.1, 2.0, 1.2
357, Bol Bol , PHX, 24, 30, 19, 11, 11.0, 0.5, 1.3, 0.6, 3.5, 4.4, 3.3, 4.1, 9.9, 0.6, 0.1, 1.1, 0.2
357, Bruno Fernando , ATL, 25, 30, 14, 16, 13.2, 0.5, 1.2, 0.1, 3.8, 4.6, 4.0, 3.9, 12.8, 0.7, 0.4, 1.9, 1.1
357, Davis Bertans , CHA, 31, 30, 17, 13, 13.3, 1.6, 0.7, 0.9, 0.4, 4.7, 2.8, 3.5, 12.7, 0.2, 0.2, 1.1, 0.6
357, Lester Quinones , GSW, 23, 30, 17, 13, 11.9, 0.5, 0.6, 0.6, 1.1, 4.3, 2.6, 3.9, 13.1, 0.1, 0.2, 1.4, 1.1
357, Markelle Fultz , ORL, 25, 30, 18, 12, 21.8, 1.6, 0.8, 1.3, 6.4, 6.8, 5.9, 6.2, 21.4, 0.3, 0.6, 1.4, 1.0
357, Ousmane Dieng , OKC, 20, 30, 18, 12, 11.3, 1.5, 0.4, 0.7, 1.3, 4.1, 2.9, 2.9, 11.1, 0.1, 0.1, 0.6, 0.5
357, Thomas Bryant , MIA, 26, 30, 17, 13, 10.5, 0.8, 1.2, 0.4, 3.4, 3.7, 2.8, 3.3, 11.9, 0.3, 0.2, 1.0, 0.7
364, Bones Hyland , LAC, 23, 29, 16, 13, 14.5, 1.1, 0.4, 0.8, 2.1, 6.0, 4.6, 5.1, 15.7, 0.1, 0.6, 1.4, 1.0
364, DeAndre Jordan , DEN, 35, 29, 19, 10, 11.3, 0.3, 1.1, 0.1, 3.3, 4.2, 3.5, 3.5, 11.0, 0.4, 0.3, 1.7, 1.5
364, Dominick Barlow , SAS, 20, 29, 5, 24, 12.9, 0.4, 1.0, 0.1, 2.8, 3.1, 4.7, 3.2, 15.4, 0.5, 0.2, 1.6, 1.0
364, Jalen Wilson , BKN, 23, 29, 8, 21, 14.2, 0.9, 1.1, 0.4, 1.9, 5.2, 3.9, 5.0, 14.2, 0.0, 0.2, 1.1, 0.7
364, Jarred Vanderbilt , LAL, 24, 29, 14, 15, 20.0, 1.0, 0.6, 1.3, 3.5, 7.8, 5.9, 7.0, 19.9, 0.2, 0.4, 1.5, 1.4
364, Jeremiah Robinson-Earl , NOP, 23, 29, 16, 13, 9.9, 0.5, 0.7, 0.5, 1.5, 4.6, 3.0, 2.9, 11.0, 0.1, 0.1, 0.7, 0.4
364, Reggie Bullock Jr. , HOU, 33, 29, 15, 14, 9.3, 0.2, 0.4, 0.3, 0.3, 3.0, 2.7, 3.1, 9.4, 0.1, 0.0, 0.5, 0.1
364, Robert Covington , PHI, 33, 29, 20, 9, 16.8, 1.1, 0.8, 0.5, 1.6, 6.1, 5.0, 5.6, 16.0, 0.6, 0.2, 1.9, 0.7
364, Trent Forrest , ATL, 25, 29, 14, 15, 10.5, 0.6, 0.1, 0.3, 1.4, 3.9, 3.1, 3.8, 12.1, 0.1, 0.1, 0.8, 0.4
373, Cody Martin , CHA, 28, 28, 7, 21, 26.9, 1.3, 0.7, 1.2, 3.3, 8.6, 7.3, 7.2, 28.6, 0.6, 0.7, 1.7, 1.5
373, Lindy Waters III , OKC, 26, 28, 19, 9, 6.6, 0.4, 0.3, 0.5, 0.1, 1.9, 1.8, 2.3, 5.6, 0.1, 0.0, 0.6, 0.0
373, Orlando Robinson , MIA, 23, 28, 15, 13, 9.8, 0.6, 0.5, 0.1, 1.9, 3.9, 2.9, 2.5, 9.2, 0.3, 0.2, 1.3, 0.8
373, Svi Mykhailiuk , BOS, 26, 28, 22, 6, 8.2, 0.4, 0.2, 0.8, 0.4, 3.1, 1.9, 2.7, 8.2, 0.0, 0.1, 0.4, 0.2
373, Thanasis Antetokounmpo , MIL, 31, 28, 18, 10, 4.8, 0.1, 0.1, 0.2, 0.9, 2.4, 1.9, 1.7, 3.7, 0.1, 0.1, 0.8, 0.2
378, Terry Taylor , CHI, 24, 27, 11, 16, 6.4, 0.0, 0.4, 0.2, 1.3, 1.9, 2.2, 1.6, 5.6, 0.1, 0.1, 0.6, 0.1
378, Tre Mann , CHA, 23, 27, 17, 10, 20.6, 1.1, 0.6, 0.8, 3.8, 6.7, 6.1, 5.9, 20.1, 0.0, 0.4, 1.1, 1.6
378, Wesley Matthews , ATL, 37, 27, 7, 20, 11.1, 0.2, 0.4, 0.5, 0.4, 2.8, 4.3, 4.0, 11.7, 0.3, 0.1, 1.1, 0.6
381, Cory Joseph , GSW, 32, 26, 10, 16, 11.4, 0.4, 0.2, 0.3, 0.5, 3.9, 2.8, 3.2, 11.7, 0.1, 0.1, 1.0, 0.3
381, Jarace Walker , IND, 20, 26, 12, 14, 10.3, 0.6, 0.3, 0.2, 0.9, 3.7, 2.8, 3.8, 11.8, 0.4, 0.0, 1.0, 0.4
